"fiscal_year","cig_tax_collections","cig_real_tax_collections","cig_real_per_capita","cig_tax_rate_per_pack","cig_packs_sold","tobacco_tax_collections","tobacco_real_tax_collections","tobacco_real_per_capita","tobacco_tax_rate","taxable_sales","notes"
"1923","69000","410714","0.88","0.02","3450000",,,,,,"1"
"1924","106000","619883","1.31","0.02","5300000",,,,,,
"1925","61000","356725","0.74","0.02","3050000",,,,,,
"1926","129000","737143","1.51","0.02","6450000",,,,,,
"1927","128000","723164","1.46","0.02","6400000",,,,,,
"1928","136000","781609","1.56","0.02","6800000",,,,,,
"1929","143000","836257","1.66","0.02","7150000",,,,,,
"1930","193000","1128655","2.2200000000000002","0.02","9650000",,,,,,
"1931","197000","1179641","2.3199999999999998","0.02","9850000",,,,,,
"1932","150251","988493","1.92","0.02","7512550",,,,,,
"1933","120045","876241","1.69","0.02","6002250",,,,,,
"1934","189396","1456892","2.81","0.02","9469800",,,,,,"2"
"1935","243165","1814664","3.5","0.02","12158250",,,,,,
"1936","284493","2076591","4","0.02","14224650",,,,,,
"1937","326264","2347223","4.5199999999999996","0.02","16313200",,,,,,
"1938","348473","2419951","4.66","0.02","17423650",,,,,,
"1939","348921","2474617","4.7699999999999996","0.02","17446050",,,,,,
"1940","380442","2736993","5.27","0.02","19022100",,,,,,
"1941","369427","2638764","5.08","0.02","18471350",,,,,,
"1942","438577","2983517","5.75","0.02","21928850",,,,,,
"1943","634137","3890411","7.5","0.02","31706850",,,,,,
"1944","646326","3735988","7.2","0.02","32316300",,,,,,
"1945","553147","3142881","6.06","0.02","27657350",,,,,,
"1946","757165","4206472","8.1","0.02","37858250",,,,,,
"1947","826940","4240718","8.17","0.02","41347000",,,,,,
"1948","888009","3982103","7.67","0.02","44400450",,,,,,
"1949","903123","3747398","7.22","0.02","45156150",,,,,,
"1950","905489","3804576","7.33","0.02","45274450",,,,,,
"1951","931213","3863954","7.44","0.02","46560650",,,,,,
"1952","951777","3660681","7.05","0.02","47588850",,,,,,
"1953","978855","3693792","7.12","0.02","48942750",,,,,,
"1954","1231463","4612221","8.89","0.0258","47675687",,,,,,"34"
"1955","1824278","6781703","13.07","0.04","45606950",,,,,,
"1956","1917469","7154735","13.79","0.04","47936725",,,,,,
"1957","1996378","7339625","14.14","0.04","49909450",,,,,,
"1958","2045613","7279762","14.03","0.04","51140325",,,,,,
"1959","2206133","7633678","14.71","0.04","55153325",,,,,,
"1960","2329515","7991475","15.4","0.04","58237875",,,,,,
"1961","2465414","8333324","16.059999999999999","0.04","61635350",,,,,,
"1962","2471708","8266121","15.93","0.04","61792700",,,,,,
"1963","2630727","8695660","16.75","0.041700000000000001","63147552",,,,,,"5"
"1964","4667788","15237610","29.36","0.08","58347350","179658","586479","0.6","25","718632",
"1965","4995076","16093248","31.01","0.08","62438450","225934","727919","0.74","25","903736",
"1966","5042644","15994008","30.82","0.08","63033050","193444","613556","0.62","25","773776",
"1967","4993168","15377394","29.63","0.08","62414600","183155","564060","0.56000000000000005","25","732620",
"1968","5028470","15066577","29.03","0.08","62855875","179572","538043","0.53","25","718288",
