"fmid","marketname","website","county","season1date","season1time","x","y","location","credit","wic","wiccash","sfmnp","snap","bakedgoods","cheese","crafts","flowers","eggs","seafood","herbs","vegetables","honey","jams","maple","meat","nursery","nuts","plants","poultry","prepared","soap","trees","location_1"
"1002614","South Jordan Farmers Market","http://www.southjordanfarmersmarket.com","Salt Lake","08/03/2013 to 10/26/2013","Sat: 8:00 AM-2:00 PM;","-111.93746400000001","40.558383999999997","Local government building grounds","Y","N","N","N","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","Y","N","N","South Jordan Towne Center Drive (1600 W. & Redwood Rd.)
South Jordan, Utah 84095
(40.5590770930005, -111.95522913199972)"
"1001436","Lindon Farmers Market",,"Utah",,,"-111.71599999999999","40.338500000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","60 N. State Street
Lindon, Utah 84042
(40.33689077300045, -111.71614541199972)"
"1003928","Kanab Farmer's Market",,"Kane","03/16/2013 to 10/12/2013","Sat: 9:00 AM-12:00 PM;","-112.52670000000001","37.046610000000001","Local government building grounds","Y","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","N","N","N","N","Y","N","N","Y","Y","78 S. 100 E.
Kanab, Utah 84741
(37.04672906000047, -112.52641689299969)"
"20146","Happy Valley Farmers Market","http://www.localharvest.org/happy-valley-farmers-market-M45200",,,,"-111.658","40.299199999999999",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","4801 N. University Ave
Provo, Utah 84604
(40.29771895200048, -111.65700454899968)"
"1003958","Bountiful Farmers Market",,"Davis",,,"-111.878","40.888399999999997",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","First East and First South above Main Street
Bountiful, Utah 84532
(38.552297198000474, -109.52510666099971)"
"1005684","Park City Farmers Market at the Canyons","http://www.parkcityfarmersmarket.com","Summit",,,"-111.55","40.686300000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4000 The Canyons Resort Drive
Park City, Utah 84098
(40.72696810600047, -111.53960763099968)"
"1007190","Spring City Farmers' Market",,"Sanpete County",,,"-111.495","39.479500000000002",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","35 West 100 North
Spring City, Utah 
(39.479515800000456, -111.49673039599969)"
"1005003","Syracuse Farmers Market","http://www.syracuseut.com","Davis",,,"-112.063","41.089199999999998",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1891 West 1700 South
Syracuse, Utah 84660
(41.089170082000464, -112.06123689699967)"
"1007360","High Desert Growers' Farmers' Market","http://www.extension.usu.edu/carbon/htm/smac/farmers-markets","Carbon","07/20/2013 to 10/26/2013","Sat: 9:00 AM-12:00 PM;","-110.809","39.599800000000002","Local government building grounds","Y","N","N","N","N","Y","N","N","Y","Y","N","Y","Y","Y","Y","N","N","N","N","Y","N","N","N","N","100 East Main
Price, Utah 84501
(39.599525938000454, -110.8090418379997)"
"1005040","Salt Lake City Downtown Farmers Market","http://www.slcfarmersmarket.org","Salt Lake","06/08/2013 to 10/19/2013","Tue: 4:00 PM-8:00 PM;Sat: 8:00 AM-2:00 PM;","-111.90111400000001","40.762118000000001","Other","Y","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","Y","Historic Pioneer Park (300 S. 300 W.)
Salt Lake City, Utah 84101
(40.760607139000456, -111.89735800399967)"
"1004616","Petersen's Farmers Market",,"Sevier",,,"-111.876","41.683",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2759 S. Hwy 89/91
Nibley, Utah 
(41.67577077700048, -111.83337874299968)"
"1005079","Park Silly Sunday Market","http://www.parksillysundaymarket.com","Summit","June to September","sun:10 - 5;","-111.496","40.644199999999998","Closed-off public street","Y","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Main Street
Park City, Utah 84060
(40.64440756400046, -111.49627400499969)"
"1001705","Wayne County Farmers Market",,"Wayne","May to September","Sat:4:00 PM - 6:30 PM;","-111.425","38.299030000000002","Private business parking lot","Y","N","N","N","N","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","Y","Y","N","N","N","Y","N","N","185 West Main St.
Torrey, Utah 84775
(38.29902186100048, -111.42505342699968)"
