"water_name","county","species","quantity","ave_length","date_stocked"
"BRIAN HEAD POND","IRON","RAINBOW","2021","10.63","2015-05-05T00:00:00.000"
"BRIAN HEAD POND","IRON","RAINBOW","1998","10.63","2015-05-06T00:00:00.000"
"BRIAN HEAD POND","IRON","TIGER TROUT","1001","8.94","2015-09-01T00:00:00.000"
"FOREBAY POND","IRON","RAINBOW","697","8.6199999999999992","2015-05-07T00:00:00.000"
"FOREBAY POND","IRON","RAINBOW","508","8.98","2015-06-11T00:00:00.000"
"FOREBAY POND","IRON","RAINBOW","496","9.43","2015-07-13T00:00:00.000"
"HENDRICKSON L","IRON","BROOK TROUT","0","2.97","2015-06-29T00:00:00.000"
"HENDRICKSON L","IRON","BROOK TROUT","1001","2.97","2015-06-30T00:00:00.000"
"LEIGH HILL RES","IRON","RAINBOW","4494","8.2200000000000006","2015-03-16T00:00:00.000"
"LEIGH HILL RES","IRON","BROOK TROUT","600","14.94","2015-03-16T00:00:00.000"
"LEIGH HILL RES","IRON","RAINBOW","591","11.07","2015-05-21T00:00:00.000"
"LEIGH HILL RES","IRON","BASS SMALLMOUTH","31","11.37","2015-05-28T00:00:00.000"
"LEIGH HILL RES","IRON","CRAPPIE BLACK","32","4.45","2015-05-28T00:00:00.000"
"LEIGH HILL RES","IRON","BASS LARGEMOUTH","51","18.739999999999998","2015-05-28T00:00:00.000"
"LEIGH HILL RES","IRON","SUNFISH BLUEGILL","50","7.31","2015-05-28T00:00:00.000"
"LEIGH HILL RES","IRON","BULLHEAD CHANNEL CAT","875","12.6","2015-06-04T00:00:00.000"
"LEIGH HILL RES","IRON","BULLHEAD CHANNEL CAT","304","14.56","2015-06-18T00:00:00.000"
"LEIGH HILL RES","IRON","CRAPPIE BLACK","8","9.6300000000000008","2015-06-22T00:00:00.000"
"LEIGH HILL RES","IRON","BULLHEAD CHANNEL CAT","1280","12.5","2015-08-27T00:00:00.000"
"LEIGH HILL RES","IRON","BULLHEAD CHANNEL CAT","3498","3.23","2015-09-01T00:00:00.000"
"LEIGH HILL RES","IRON","BULLHEAD CHANNEL CAT","1332","12.5","2015-09-10T00:00:00.000"
"LEIGH HILL RES","IRON","RAINBOW","2579","8.52","2015-09-29T00:00:00.000"
"LEIGH HILL RES","IRON","SUNFISH BLUEGILL","10000","3.15","2015-10-15T00:00:00.000"
"LEIGH HILL RES","IRON","RAINBOW","2498","8.65","2015-11-04T00:00:00.000"
"LOUDER RANGER STA","IRON","TIGER TROUT","204","6.05","2015-10-05T00:00:00.000"
"NEWCASTLE RES","IRON","WIPER","3500","1.71","2015-07-15T00:00:00.000"
"NEWCASTLE RES","IRON","RAINBOW","5940","7.79","2015-10-07T00:00:00.000"
"NEWCASTLE RES","IRON","RAINBOW","14588","7.79","2015-10-07T00:00:00.000"
"PAROWAN POND","IRON","RAINBOW","1315","8.1300000000000008","2015-04-02T00:00:00.000"
"PAROWAN POND","IRON","RAINBOW","647","8.1199999999999992","2015-04-27T00:00:00.000"
"PAROWAN POND","IRON","RAINBOW","596","8.7100000000000009","2015-05-27T00:00:00.000"
"PAROWAN POND","IRON","BULLHEAD CHANNEL CAT","405","14.56","2015-06-18T00:00:00.000"
"PAROWAN POND","IRON","BULLHEAD CHANNEL CAT","640","12.5","2015-08-27T00:00:00.000"
"PAROWAN POND","IRON","RAINBOW","898","8.52","2015-09-29T00:00:00.000"
"PAROWAN POND","IRON","RAINBOW","851","8.65","2015-11-05T00:00:00.000"
"QUIETER POND","IRON","TIGER TROUT","60","6.05","2015-10-05T00:00:00.000"
"SCOUT L","IRON","RAINBOW","508","9.64","2015-06-23T00:00:00.000"
"SCOUT L","IRON","RAINBOW","500","9.25","2015-07-07T00:00:00.000"
"THUNDER RIDGE POND","IRON","RAINBOW","526","8.98","2015-06-11T00:00:00.000"
"WOODS POND","IRON","RAINBOW","650","8.77","2015-05-06T00:00:00.000"
"WOODS POND","IRON","RAINBOW","446","9.33","2015-06-24T00:00:00.000"
"WOODS POND","IRON","RAINBOW","141","9.5399999999999991","2015-06-24T00:00:00.000"
"WOODS POND","IRON","RAINBOW","611","9.5500000000000007","2015-07-07T00:00:00.000"
"WOODS POND","IRON","RAINBOW","666","9.3800000000000008","2015-07-21T00:00:00.000"
"YANKEE MEADOW RES","IRON","RAINBOW","2501","8.6199999999999992","2015-05-07T00:00:00.000"
"YANKEE MEADOW RES","IRON","RAINBOW","1506","8.98","2015-06-11T00:00:00.000"
"YANKEE MEADOW RES","IRON","BROOK TROUT","2000","2.97","2015-06-25T00:00:00.000"
"YANKEE MEADOW RES","IRON","RAINBOW","2000","3.97","2015-07-09T00:00:00.000"
"YANKEE MEADOW RES","IRON","CUTTHROAT","4017","2.1","2015-09-15T00:00:00.000"
