"age","income","race","sex","year","id","name","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49035","Salt Lake County, UT","33878","3751","10.7","1.2","283400","3751","89.3","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49035","Salt Lake County, UT","34866","3776","11","1.2","281176","3776","89","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2011","49035","Salt Lake County, UT","35588","4132","11.3","1.3","278302","4132","88.7","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2010","49035","Salt Lake County, UT","34612","3944","11.1","1.3","276313","3944","88.9","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2009","49035","Salt Lake County, UT","35453","4322","11.4","1.4","276263","4322","88.6","1.4"
"Under 19 years","All Incomes","All Races","Both Sexes","2008","49035","Salt Lake County, UT","44027","4963","14","1.6","270098","4963","86","1.6"
"Under 19 years","All Incomes","All Races","Both Sexes","2007","49035","Salt Lake County, UT","41674","6235","13.1","2","276162","8928","86.9","2.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2006","49035","Salt Lake County, UT","40945","6008","13.1","1.9","272091","8982","86.9","2.9"
