"fiscal_year","tax_year","primary_res_property","other_property","total_taxable_assessed_value","total_direct_tax_rate","estimated_actual_value","assessed_value_as_a_percentage_of_actual_value"
"2005","2004","1232740513","1023615165","2256355678","0.0013270000000000001","3264961552","69.11"
"2006","2005","1482152584","1138082850","2620235434","0.001469","3832905730","68.36"
"2007","2006","1919868960","1327534969","3247403929","0.001274","4818205805","67.40"
"2008","2007","2522056612","1557932548","4079989160","0.001616","6143490024","66.41"
"2009","2008","2813106199","1754281505","4567387704","0.0015280000000000001","6869020049","66.49"
"2010","2009","2222092030","1721482935","3943574965","0.001818","5761650262","68.45"
"2011","2010","2165506188","1696353040","3861859228","0.0018959999999999999","5633637018","68.55"
"2012","2011","2029669287","1488211613","3517880900","0.0019959999999999999","5178519408","67.93"
"2013","2012","2027602106","1493230644","3520832750","0.0020089999999999999","5179779928","67.97"
"2014","2013","2189569543","1620562159","3810131702","0.0020089999999999999","5601597692","68.02"
