"year","month","tract","block","type","consumption","connections"
"2020","1","103500","3011","Fourplex","50","1"
"2020","1","102000","1013","Apartment","6","1"
"2020","1","114700","1001","Single Residence","80","8"
"2020","1","101102","2007","Single Residence","34","7"
"2020","1","102300","1001","Apartment","21","1"
"2020","1","114500","3123","Miscellaneous","0","2"
"2020","1","104900","2002","Fourplex","83","3"
"2020","1","100500","3004","Duplex","13","1"
"2020","1","104400","1000","Parks & Municipals","13","1"
"2020","1","103900","1006","Duplex","8","1"
"2020","1","114000","1035","Single Residence","2","2"
"2020","1","101600","2001","Apartment","291","5"
"2020","1","101800","3004","Fourplex","24","2"
"2020","1","101101","1012","Apartment","32","2"
"2020","1","103300","2018","Single Residence","36","9"
"2020","1","102600","3011","Duplex","0","1"
"2020","1","101200","4010","Hotel or Motel","223","2"
"2020","1","103000","1015","Triplex","7","1"
"2020","1","100700","2008","Parks & Municipals","0","1"
"2020","1","103400","3009","Duplex","44","6"
"2020","1","101200","4002","Apartment","42","2"
"2020","1","100200","1021","Apartment","84","1"
"2020","1","102900","3013","Duplex","61","1"
"2020","1","114500","3172","Business","1566","11"
"2020","1","100500","5010","Single Residence","44","7"
"2020","1","104800","2010","Single Residence","66","19"
"2020","1","102900","2012","Business","2","1"
"2020","1","103100","3007","Business","0","3"
"2020","1","102801","1017","Business","20","1"
"2020","1","104000","3001","Triplex","12","1"
"2020","1","104800","4003","Miscellaneous","0","1"
"2020","1","102802","3013","Single Residence","150","22"
"2020","1","111802","1006","Duplex","10","1"
"2020","1","100600","2008","Duplex","30","2"
"2020","1","104200","1008","Single Residence","170","30"
"2020","1","101800","3003","Duplex","9","1"
"2020","1","100700","2014","Duplex","19","3"
"2020","1","100600","4000","Duplex","45","4"
"2020","1","101600","1000","Apartment","34","1"
"2020","1","102802","3011","Miscellaneous","0","2"
"2020","1","103100","1013","Duplex","4","1"
"2020","1","104700","1011","Miscellaneous","0","1"
"2020","1","101102","3009","Fourplex","21","2"
"2020","1","102000","1012","Duplex","84","8"
"2020","1","101600","2006","Miscellaneous","0","1"
"2020","1","101600","3015","Duplex","14","3"
"2020","1","102000","3002","Single Residence","84","24"
"2020","1","101800","1005","Single Residence","82","28"
"2020","1","102900","1016","Single Residence","13","3"
"2020","1","101200","1006","Fourplex","56","2"
"2020","1","114800","2001","Single Residence","252","49"
"2020","1","104700","2016","Single Residence","180","34"
"2020","1","114700","1069","Single Residence","209","12"
"2020","1","114000","1041","Business","4","1"
"2020","1","102900","1043","Single Residence","5","2"
"2020","1","104000","3004","Single Residence","169","33"
"2020","1","103000","2015","Duplex","8","2"
"2020","1","102702","2010","Duplex","7","1"
"2020","1","103400","1000","Business","203","2"
"2020","1","103000","1008","Duplex","7","1"
"2020","1","101101","2014","Business","59","5"
"2020","1","101600","2005","Restaurant","18","1"
"2020","1","103300","2016","Parks & Municipals","0","1"
"2020","1","114000","1075","Restaurant","14","1"
"2020","1","104000","3008","Duplex","16","2"
"2020","1","102600","1011","Miscellaneous","0","1"
"2020","1","101102","2004","Triplex","10","1"
"2020","1","103300","2004","Triplex","11","1"
"2020","1","101700","2001","Apartment","117","2"
