"county","zip_code","_4_pci_l_1","_4_pci_l_2","maximum","average","total_tests"
"Sanpete","84621","33.3","66.7","9.2","7.3","3"
"Sanpete","84622","57.1","42.9","8.6","4.2","7"
"Sanpete","84623","50.0","50.0","6.1","3.8","2"
"Sanpete","84627","28.6","71.4","22.0","7.5","70"
"Sanpete","84629","29.6","70.4","27.0","8.0","27"
"Sanpete","84630","33.3","66.7","6.3","4.6","3"
"Sanpete","84632","25.0","75.0","11.7","7.7","8"
"Sanpete","84634","38.5","61.5","32.0","8.1","26"
"Sanpete","84642","56.0","44.0","33.7","6.3","25"
"Sanpete","84643","28.6","71.4","8.7","4.4","7"
"Sanpete","84646","71.4","28.6","6.4","3.1","7"
"Sanpete","84647","63.9","36.1","11.1","3.5","36"
"Sanpete","84662","41.7","58.3","9.2","4.3","12"
"Sanpete","84665","100.0","0.0","3.6","1.7","3"
"Sanpete","84667","25.0","75.0","7.6","4.3","4"
