"data_items","gender","american_indian_alaska_native_1","american_indian_alaska_native_2","asian_pacific_islander_1","asian_pacific_islander_2","hispanic_1","hispanic_2","black_non_hispanic_1","black_non_hispanic_2","white_non_hispanic_1","white_non_hispanic_2","total_1","total_2","disabled_idea_1","disabled_idea_2","lep_1","lep_2","_21_time_1","_21_time_2","_21_60_time_1","_21_60_time_2","_60_time_1","_60_time_2"
"Membership1","Male","3707","0.79","6720","1.43","21734","4.62","2370","0.5","207425","44.09","241956","51.43","32267","6.86",,,,,,,,
,"Female","3558","0.76","6301","1.34","20005","4.25","2184","0.46","196469","41.76","228517","48.57","16982","3.61",,,,,,,,
,"Total","7265","1.54","13021","2.77","41739","8.8699999999999992","4554","0.97","403894","85.85","470473","100","49249","10.47",,,,,,,,
"Corporal Punishment*2","Male",,,,,,,,,,,,,,,,,,,,,,
,"Female",,,,,,,,,,,,,,,,,,,,,,
,"Total",,,,,,,,,,,,,,,,,,,,,,
"Suspension-Out of School2","Male","247","1.88","404","3.08","1674","12.76","191","1.46","7368","56.16","9883","75.33",,,"785","5.98",,,,,,
,"Female","100","0.76","157","1.2","662","5.05","76","0.57999999999999996","2241","17.079999999999998","3236","24.67",,,"257","1.96",,,,,,
,"Total","347","2.65","561","4.28","2336","17.809999999999999","267","2.04","9609","73.239999999999995","13119","100",,,"1042","7.94",,,,,,
"Total Expulsion2","Male","16","0.99","150","9.2899999999999991","322","19.95","62","3.84","713","44.18","1263","78.25",,,"316","19.579999999999998",,,,,,
,"Female","7","0.43","40","2.48","127","7.87","21","1.3","156","9.67","351","21.75",,,"130","8.0500000000000007",,,,,,
,"Total","23","1.43","190","11.77","449","27.82","83","5.14","869","53.84","1614","100",,,"446","27.63",,,,,,
"Expulsions -- Total Cessation of Educational Services2","Male","3","4.3499999999999996","0","0","13","18.84","2","2.9","39","56.52","57","82.61",,,"3","4.3499999999999996",,,,,,
,"Female","0","0","0","0","0","0","0","0","12","17.39","12","17.39",,,"0","0",,,,,,
,"Total","3","4.3499999999999996","0","0","13","18.84","2","2.9","51","73.91","69","100",,,"3","4.3499999999999996",,,,,,
