"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49001","Beaver County, UT","2157","0","278","60","12.9","2.8","1879","60","87.1","2.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49003","Box Elder County, UT","17188","0","1393","291","8.1","1.7","15795","291","91.9","1.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49005","Cache County, UT","37433","0","3406","653","9.1","1.7","34027","653","90.9","1.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49007","Carbon County, UT","5846","0","453","102","7.8","1.7","5392","102","92.2","1.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49009","Daggett County, UT","275","0","34","8","12.5","2.9","241","8","87.5","2.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49011","Davis County, UT","112053","0","7215","1414","6.4","1.3","104837","1414","93.6","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49013","Duchesne County, UT","7116","0","791","150","11.1","2.1","6325","150","88.9","2.1"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49015","Emery County, UT","3492","0","355","76","10.199999999999999","2.2000000000000002","3137","76","89.8","2.2000000000000002"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49017","Garfield County, UT","1296","0","197","42","15.2","3.2","1099","42","84.8","3.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49019","Grand County, UT","2182","0","298","58","13.7","2.7","1884","58","86.3","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49021","Iron County, UT","13987","0","1555","315","11.1","2.2999999999999998","12432","315","88.9","2.2999999999999998"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49023","Juab County, UT","3729","0","331","76","8.9","2","3398","76","91.1","2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49025","Kane County, UT","1747","0","199","46","11.4","2.7","1548","46","88.6","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49027","Millard County, UT","4073","0","546","106","13.4","2.6","3527","106","86.6","2.6"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49029","Morgan County, UT","3691","0","298","71","8.1","1.9","3392","71","91.9","1.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49031","Piute County, UT","377","0","72","16","19.100000000000001","4.0999999999999996","305","16","80.900000000000006","4.0999999999999996"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49033","Rich County, UT","719","0","108","23","15","3.2","611","23","85","3.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49035","Salt Lake County, UT","317278","0","33878","3751","10.7","1.2","283400","3751","89.3","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49037","San Juan County, UT","5088","0","665","130","13.1","2.6","4423","130","86.9","2.6"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49039","Sanpete County, UT","8097","0","1037","201","12.8","2.5","7060","201","87.2","2.5"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49041","Sevier County, UT","6520","0","607","130","9.3000000000000007","2","5913","130","90.7","2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49043","Summit County, UT","10766","0","1266","240","11.8","2.2000000000000002","9499","240","88.2","2.2000000000000002"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49045","Tooele County, UT","21879","0","1720","381","7.9","1.7","20160","381","92.1","1.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49047","Uintah County, UT","12310","0","1417","275","11.5","2.2000000000000002","10894","275","88.5","2.2000000000000002"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49049","Utah County, UT","198410","0","16578","2444","8.4","1.2","181832","2444","91.6","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49051","Wasatch County, UT","9097","0","1338","252","14.7","2.8","7759","252","85.3","2.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49053","Washington County, UT","43052","0","5218","934","12.1","2.2000000000000002","37834","934","87.9","2.2000000000000002"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49055","Wayne County, UT","782","0","131","29","16.8","3.8","651","29","83.2","3.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2013","49057","Weber County, UT","71937","0","6762","1184","9.4","1.6","65176","1184","90.6","1.6"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49001","Beaver County, UT","2178","0","282","59","12.9","2.7","1896","59","87.1","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49003","Box Elder County, UT","17188","0","1572","320","9.1","1.9","15616","320","90.9","1.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49005","Cache County, UT","36773","0","3444","641","9.4","1.7","33329","641","90.6","1.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49007","Carbon County, UT","5894","0","539","113","9.1","1.9","5355","113","90.9","1.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49009","Daggett County, UT","262","0","32","7","12.2","2.7","230","7","87.8","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49011","Davis County, UT","110558","0","7209","1394","6.5","1.3","103349","1394","93.5","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49013","Duchesne County, UT","6694","0","813","148","12.1","2.2000000000000002","5881","148","87.9","2.2000000000000002"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49015","Emery County, UT","3536","0","363","77","10.3","2.2000000000000002","3174","77","89.7","2.2000000000000002"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49017","Garfield County, UT","1327","0","170","36","12.8","2.7","1156","36","87.2","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49019","Grand County, UT","2224","0","316","61","14.2","2.8","1908","61","85.8","2.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49021","Iron County, UT","14209","0","1646","331","11.6","2.2999999999999998","12563","331","88.4","2.2999999999999998"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49023","Juab County, UT","3854","0","374","81","9.6999999999999993","2.1","3480","81","90.3","2.1"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49025","Kane County, UT","1726","0","250","51","14.5","3","1477","51","85.5","3"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49027","Millard County, UT","4053","0","586","111","14.5","2.7","3467","111","85.5","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49029","Morgan County, UT","3520","0","319","71","9.1","2","3201","71","90.9","2"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49031","Piute County, UT","397","0","67","15","16.899999999999999","3.8","330","15","83.1","3.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49033","Rich County, UT","722","0","93","20","12.9","2.8","629","20","87.1","2.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49035","Salt Lake County, UT","316042","0","34866","3776","11","1.2","281176","3776","89","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49037","San Juan County, UT","5079","0","763","143","15","2.8","4316","143","85","2.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49039","Sanpete County, UT","8452","0","1062","203","12.6","2.4","7389","203","87.4","2.4"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49041","Sevier County, UT","6648","0","776","154","11.7","2.2999999999999998","5872","154","88.3","2.2999999999999998"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49043","Summit County, UT","10668","0","1186","229","11.1","2.1","9482","229","88.9","2.1"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49045","Tooele County, UT","21881","0","1971","408","9","1.9","19910","408","91","1.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49047","Uintah County, UT","12074","0","1510","274","12.5","2.2999999999999998","10564","274","87.5","2.2999999999999998"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49049","Utah County, UT","193249","0","18621","2514","9.6","1.3","174628","2514","90.4","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49051","Wasatch County, UT","8614","0","1212","232","14.1","2.7","7402","232","85.9","2.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49053","Washington County, UT","43470","0","5954","1001","13.7","2.2999999999999998","37516","1001","86.3","2.2999999999999998"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49055","Wayne County, UT","794","0","146","30","18.399999999999999","3.8","648","30","81.599999999999994","3.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2012","49057","Weber County, UT","72391","0","7433","1270","10.3","1.8","64959","1270","89.7","1.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2011","49000","Utah","910421","0","99457","7769","10.9","0.9","810964","7769","89.1","0.9"
