"county","return_type","number","utah_taxable_income","federal_adjusted_gross_income","average_federal_adjusted_gross_income","utah_income_tax","average_income_tax","share_of_income_tax"
"Beaver","N","38","1665842","1667903","43892","17681","465","0.00"
"Beaver","R","2346","91812504","93285049","39763","3197943","1363","0.15"
"Box Elder","N","246","11187014","11402114","46350","171120","696","0.01"
"Box Elder","R","18855","885323855","888225139","47108","31302182","1660","1.47"
"Cache","N","1153","52398429","52809151","45802","660775","573","0.03"
"Cache","R","39793","1975658324","1980783965","49777","69947555","1758","3.28"
"Carbon","N","114","5797917","5801707","50892","116942","1026","0.01"
"Carbon","R","7842","381770010","384035700","48972","14456309","1843","0.68"
"Daggett","N","21","1147564","1147564","54646","23227","1106","0.00"
"Daggett","R","343","15445853","15548571","45331","542046","1580","0.03"
"Davis","N","2512","128146290","150397009","59871","2206367","878","0.10"
"Davis","R","112141","6759914750","6790236791","60551","261759846","2334","12.28"
"Duchesne","N","137","6098309","6199370","45251","120860","882","0.01"
"Duchesne","R","7213","431377358","436483553","60513","16043174","2224","0.75"
"Emery","N","43","2104875","2106864","48997","40833","950","0.00"
"Emery","R","3825","174376170","174996988","45751","6472456","1692","0.30"
"Garfield","N","46","2115844","2228058","48436","23812","518","0.00"
"Garfield","R","1883","66170387","66480223","35305","2263458","1202","0.11"
"Grand","N","151","6230683","6251196","41399","107671","713","0.01"
"Grand","R","4163","211990206","211868010","50893","7892175","1896","0.37"
"Iron","N","477","21141614","21274208","44600","234397","491","0.01"
"Iron","R","14582","573843545","575928533","39496","19124168","1311","0.90"
"Juab","N","45","1947519","1952627","43392","21346","474","0.00"
"Juab","R","3443","153811250","154489480","44871","5304090","1541","0.25"
"Kane","N","107","5960593","5953480","55640","88708","829","0.00"
"Kane","R","2552","103728428","104204851","40833","3306371","1296","0.16"
"Millard","N","67","3364425","3372892","50342","46793","698","0.00"
"Millard","R","4423","169789768","170502095","38549","6691665","1513","0.31"
"Morgan","N","78","11040438","11381909","145922","87577","1123","0.00"
"Morgan","R","3667","254340048","255470999","69668","10198548","2781","0.48"
"Piute","N","14","679223","715523","51109","4404","315","0.00"
"Piute","R","470","15523766","15633566","33263","498659","1061","0.02"
"Rich","N","22","1152953","1163988","52909","18057","821","0.00"
"Rich","R","783","33010458","33902030","43298","1238327","1582","0.06"
"Salt Lake","N","9791","555636335","560042163","57200","10989233","1122","0.52"
"Salt Lake","R","418116","23053172924","23115343067","55285","899318912","2151","42.19"
"San Juan","N","78","3193773","3257963","41769","53134","681","0.00"
"San Juan","R","3234","120549535","137665938","42568","4043900","1250","0.19"
"Sanpete","N","134","8305221","8245839","61536","90547","676","0.00"
"Sanpete","R","7965","321684538","322832495","40531","10692528","1342","0.50"
"Sevier","N","78","3621498","3661087","46937","46166","592","0.00"
"Sevier","R","7175","318958078","320105416","44614","11154095","1555","0.52"
"Summit","N","1026","112053214","112323013","109477","1564951","1525","0.07"
"Summit","R","17664","1555390286","1553087754","87924","66017081","3737","3.10"
"Tooele","N","484","25115896","26090389","53906","441075","911","0.02"
"Tooele","R","20345","1068919525","1072855044","52733","40098041","1971","1.88"
"Uintah","N","416","27714893","27836162","66914","447833","1077","0.02"
"Uintah","R","11286","647507738","664681950","58894","24430526","2165","1.15"
"Utah","N","4897","212536030","213850581","43670","3355655","685","0.16"
"Utah","R","169987","8985612898","9015091647","53034","326760536","1922","15.33"
"Wasatch","N","274","17206903","17339825","63284","232071","847","0.01"
"Wasatch","R","8459","473571012","474920467","56144","17861817","2112","0.84"
"Washington","N","1645","96319341","96767436","58825","1315405","800","0.06"
"Washington","R","48021","2153468529","2156978910","44917","74355968","1548","3.49"
"Wayne","N","20","1114318","1116556","55828","13576","679","0.00"
"Wayne","R","985","33094401","33169528","33675","1130918","1148","0.05"
"Weber","N","1705","77150766","84028622","49284","1237182","726","0.06"
"Weber","R","92750","4626333553","4651881854","50155","171576184","1850","8.05"
