"city","country","county","countyfips","id","latitude","lines","longitude","max_infer","max_volt","min_infer","min_volt","naics_code","naics_desc","name","objectid","source","sourcedate","state","status","type","val_date","val_method","zip","point"
"WEST VALLEY CITY","USA","SALT LAKE","49035","202772","40.663826978","1","-112.062891076","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN202772","51115","https://www.openstreetmap.org/","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","UNVERIFIED","84118","POINT (-112.06289107599997 40.663826978000024)"
"SALT LAKE CITY","USA","SALT LAKE","49035","201751","40.7493924560001","1","-111.812865512","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","HOGAL","50133","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84108","POINT (-111.81286551199997 40.74939245600006)"
"NOT AVAILABLE","USA","CARBON","49007","207428","39.689277384","1","-110.853280802","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","HELPER CITY","55689","IMAGERY","2017-06-22T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2017-06-22T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-110.85328080199997 39.68927738400002)"
"SALT LAKE CITY","USA","SALT LAKE","49035","205278","40.733657786","3","-111.988827758","Y","138","Y","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205278","53580","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","TAP","2015-06-29T00:00:00.000Z","IMAGERY","84104","POINT (-111.98882775799996 40.73365778600004)"
"WEST VALLEY CITY","USA","SALT LAKE","49035","201734","40.706132564","2","-111.950734066","Y","138","Y","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","DECKER LAKE","50117","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84119","POINT (-111.95073406599994 40.70613256400003)"
"NOT AVAILABLE","USA","WEBER","49057","206694","41.161966007","3","-112.064301481","Y","230","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206694","54957","IMAGERY","2017-05-31T00:00:00.000Z","UT","IN SERVICE","TAP","2017-05-31T00:00:00.000Z","IMAGERY","84067","POINT (-112.06430148099997 41.16196600700004)"
"PROVO","USA","UTAH","49049","205480","40.254976049","1","-111.645645693","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205480","53773","IMAGERY","2015-08-29T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-08-29T00:00:00.000Z","IMAGERY","84604","POINT (-111.64564569299995 40.25497604900004)"
"SOUTH JORDAN","USA","SALT LAKE","49035","201294","40.557766627","1","-112.061241954","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201294","49681","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84095","POINT (-112.06124195399995 40.55776662700004)"
"NOT AVAILABLE","USA","SALT LAKE","49035","207988","40.5551865460001","3","-112.050820121","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP207942","56247","IMAGERY","2018-02-13T00:00:00.000Z","UT","IN SERVICE","TAP","2018-02-13T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.05082012099997 40.55518654600006)"
"SPRINGVILLE","USA","UTAH","49049","201637","40.140827551","2","-111.607235978","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201637","50020","IMAGERY","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY","84663","POINT (-111.60723597799996 40.14082755100003)"
