"county","ansi_code","total","age","blind_and_disabled","under_18","_18_64","_65_or_older","ssi_recipients_also_receiving_oasdi","amount_of_payments_thousands_of_dollars_a"
"Beaver","49001","81","(X)","(X)","(X)","61","(X)","27","49"
"Box Elder","49003","503","16","487","92","371","40","157","277"
"Cache","49005","814","47","767","179","552","83","226","439"
"Carbon","49007","486","16","470","63","368","55","164","264"
"Daggett","49009",,"(X)","(X)","(X)",,"(X)",,
"Davis","49011","2343","114","2,229","518","1606","219","669","1307"
"Duchesne","49013","318","(X)","(X)","67","228","23","88","171"
"Emery","49015","139","(X)","(X)","24","102","13","40","79"
"Garfield","49017","48","(X)","(X)","(X)","35","(X)","16","26"
"Grand","49019","150","16","134","27","98","25","59","82"
"Iron","49021","592","21","571","101","431","60","205","328"
"Juab","49023","110","(X)","(X)","(X)","85","(X)","39","55"
"Kane","49025","66","(X)","(X)","(X)","53","(X)","25","46"
"Millard","49027","124","(X)","(X)","19","86","19","44","60"
"Morgan","49029","38","(X)","(X)","(X)","28","(X)",,"20"
"Piute","49031","19","(X)","(X)","(X)","10","(X)",,"8"
"Rich","49033",,"(X)","(X)","(X)",,"(X)",,
"Salt Lake","49035","13198","1,720","11,478","2,239","8139","2,820","3837","7234"
"San Juan","49037","581","84","497","59","247","275","249","291"
"Sanpete","49039","335","20","315","72","224","39","114","176"
"Sevier","49041","288","(X)","(X)","54","215","19","94","163"
"Summit","49043","102","10","92","18","65","19","30","52"
"Tooele","49045","666","33","633","156","449","61","189","388"
"Uintah","49047","342","11","331","47","260","35","108","183"
"Utah","49049","4449","281","4,168","994","2997","458","1181","2390"
"Wasatch","49051","105","(X)","(X)","(X)","72","(X)","25","61"
"Washington","49053","1281","78","1,203","303","823","155","417","702"
"Wayne","49055","26","(X)","(X)","(X)","15","(X)",,"14"
"Weber","49057","3529","170","3,359","584","2550","395","1126","1933"
"Utah ","49","30747","2,686","28,061","5,706","20180","4,861","9153","16806"
