"county","beaver","box_elder","cache","carbon","daggett","davis","duchesne","emery","garfield","grand","iron","juab","kane","millard","morgan","piute","rich","salt_lake","san_juan","sanpete","sevier","summit","tooele","uintah","utah","wasatch","washington","wayne","weber"
"2005","4.20","4.30","3.30","4.90","5.10","4.00","4.40","5.10","7.20","6.30","3.90","4.80","4.90","4.10","4.20","4.00","3.20","4.10","8.00","5.30","4.50","4.00","4.40","3.80","4.00","4.20","4.10","5.40","4.60"
"2006","3.00","3.20","2.30","3.50","4.70","2.90","2.90","3.50","4.90","4.70","2.80","3.60","3.50","2.90","3.00","3.10","2.30","2.90","6.00","3.70","3.20","2.80","3.20","2.50","2.80","3.10","2.90","4.30","3.30"
"2007","2.70","2.80","2.10","3.60","3.70","2.60","2.50","3.40","4.80","4.70","2.70","3.10","3.20","2.60","2.70","2.50","2.20","2.60","5.30","3.20","2.80","2.30","2.90","2.20","2.40","2.70","2.70","4.10","3.10"
"2008","3.40","3.90","2.70","4.30","3.70","3.30","2.60","3.60","5.90","5.60","4.70","5.00","4.00","3.20","3.20","2.80","2.50","3.30","6.00","4.00","3.80","3.20","3.80","2.20","3.20","3.50","4.60","5.30","4.10"
"2009","5.10","6.20","4.20","5.30","3.50","4.70","5.20","4.30","8.90","8.20","6.20","7.70","6.10","4.30","5.00","4.40","3.90","5.00","8.40","6.80","6.40","4.60","5.90","4.70","4.80","5.70","7.10","7.70","6.20"
"2010","8.50","9.20","5.00","7.30","9.40","6.40","6.30","7.20","14.10","15.70","8.50","10.90","9.70","6.20","6.90","7.10","6.20","6.90","14.20","8.50","8.50","5.60","7.60","5.60","6.80","8.30","9.70","12.80","8.40"
"2011","6.30","6.70","3.90","6.00","5.90","5.10","4.30","6.80","14.40","14.10","6.70","6.90","8.40","4.40","5.20","5.50","4.70","5.40","11.70","6.40","6.20","4.30","5.90","3.80","5.30","6.40","7.60","14.10","6.80"
"2012","5.40","6.50","4.30","7.20","5.80","5.10","4.00","7.60","10.30","8.80","7.10","6.30","6.70","4.70","4.90","5.70","4.70","5.20","10.30","7.40","6.30","5.40","6.00","4.10","5.30","6.50","6.30","12.80","6.30"
