"licensenumber","licensetype","businessname","expirationstatus","expirationdate","location","lat_long","naicscode","naicsdesc","hyperlink","location_1"
"RNT2011-01797","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","266 E 11TH Ave
Salt Lake City, UT 84103-2516
(40.781914, -111.881481)","(40.781914, -111.881481)","53111","SINGLE FAMILY RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00003&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01798","Rental Dwelling",,"Active","2017-08-31T00:00:00.000","681 E 8400 S
Salt Lake City, UT 84070
(40.598681, -111.872846)","(40.598681, -111.872846)","53111","MUTLI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00004&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01810","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","1445 S AMBASSADOR Way
Salt Lake City, UT 84108
(40.738996, -111.810388)","(40.738996, -111.810388)","53111","SINGLE FAMILY RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00005&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01869","Rental Dwelling",,"Active","2018-03-31T00:00:00.000","5965 S 900 E
Salt Lake City, UT 84121
(40.642916, -111.865958)","(40.642916, -111.865958)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00008&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01908","Rental Dwelling",,"Active","2017-09-30T00:00:00.000","72 N R St
Salt Lake City, UT 84103-4129
(40.771192, -111.858057)","(40.771192, -111.858057)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00011&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01909","Rental Dwelling",,"Active","2018-03-31T00:00:00.000","2607 S WINDSOR Cir
Salt Lake City, UT 84106-1700
(40.713628, -111.866764)","(40.713628, -111.866764)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00012&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01911","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","3528 DAYBREAKER Dr
Salt Lake City, UT 84098
(40.7667, -111.579485)","8
(40.7667, -111.579485)","53111","MULTI-UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00013&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01912","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","1114 S 400 E
Salt Lake City, UT 84111
(40.744652, -111.879576)","(40.744652, -111.879576)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00014&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01913","Rental Dwelling",,"Active","2018-07-31T00:00:00.000","6691 S AQUA VISTA CV
Salt Lake City, UT 84121
(40.62952, -111.810919)","
(40.62952, -111.810919)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00015&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01923","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","85 HONEYFLOWER
Salt Lake City, UT 92620
","alt Lake City, UT 92620
","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00016&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01925","Rental Dwelling",,"Active","2017-07-31T00:00:00.000",,,"53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00017&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01933","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","219 S ELIZABETH St
Salt Lake City, UT 84102-2515
(40.764603, -111.858037)","(40.764603, -111.858037)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00019&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01936","Rental Dwelling",,"Active","2018-01-31T00:00:00.000","11418 S OBERLAND Rd
Salt Lake City, UT 84092
(40.543943, -111.810044)","(40.543943, -111.810044)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00020&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2012-03250","Rental Dwelling",,"Active","2018-07-31T00:00:00.000",,,"53111","MULTI UNIT RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=12RNT&capID2=00000&capID3=00571&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01939","Rental Dwelling",,"Active","2017-10-31T00:00:00.000","1656 E SHORT Ct
Salt Lake City, UT 84020
(40.517663, -111.84371)","
(40.517663, -111.84371)","53111","MULTI-UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00022&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01943","Rental Dwelling",,"Active","2017-10-31T00:00:00.000","1863 E HOLLYWOOD Ave
Salt Lake City, UT 84108-3103
","ake City, UT 84108-3103
","53111","MULTI-UNIT RENTAL DWELLINGS","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00023&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01945","Rental Dwelling",,"Active","2016-09-30T00:00:00.000","3296 E ENCHANTED HILLS Dr
Salt Lake City, UT 84121
(40.61641, -111.800929)","
(40.61641, -111.800929)","53111","MULTI-UNIT RENTAL PROPERTIES ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00024&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01947","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","2136 SCENIC Dr
Salt Lake City, UT 84109
(40.724939, -111.81084)","
(40.724939, -111.81084)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00026&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-01948","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","3528 S KIRK Cir
Salt Lake City, UT 84106
(40.694697, -111.834601)","(40.694697, -111.834601)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00027&agencyCode=SLCREF&IsToShowInspection=yes",
