"no","fiscal_year","mode","average_speed","year_date","date_created"
"1","2016","EXPRESS","20.9","2016-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"2","2016","LOCAL","14","2016-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"3","2016","RAPID","14.1","2016-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"4","2017","EXPRESS","21","2017-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"5","2017","LOCAL","13.7","2017-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"6","2017","RAPID","14.4","2017-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"7","2018","EXPRESS","23.7","2018-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"8","2018","LOCAL","13.7","2018-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"9","2018","RAPID","14.5","2018-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"10","2019","EXPRESS","25.2","2019-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"11","2019","LOCAL","13.3","2019-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"12","2019","RAPID","14.2","2019-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"13","2020","EXPRESS","22.4","2020-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"14","2020","LOCAL","13.5","2020-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"15","2020","RAPID","14.3","2020-01-01T00:00:00.000","2020-11-25T00:00:00.000"
"16","2021","EXPRESS","24.4","2021-01-01T00:00:00.000","2022-05-06T00:00:00.000"
"17","2021","LOCAL","13.8","2021-01-01T00:00:00.000","2022-05-06T00:00:00.000"
"18","2021","RAPID","14.3","2021-01-01T00:00:00.000","2022-05-06T00:00:00.000"
