"masterincidentnumber","calendaryear","month","dayofmonth","call_type","problem","battalion","jurisdiction","responsearea","prioritydescription","response_status","districts","location_1"
"16000015","2016","Jan","1","Fire","TRASH - Trash Fire","B4","AFD","00-2004","3F","Code 3","5","(30218836, 97806156)"
"16000017","2016","Jan","1","Fire","TRASH - Trash Fire","B4","AFD","00-3606","3F","Code 1","2","(30183275, 97786233)"
"16000038","2016","Jan","1","Fire","BBQ - Unsafe Cooking","B2","AFD","00-3102","4F","Code 1","10","(30363743, 97791275)"
"16000045","2016","Jan","1","Fire","DUMP - Dumpster Fire","B3","AFD","00-1801","3F","Code 3","1","(30318719, 97665985)"
"16000069","2016","Jan","1","Fire","TRASH - Trash Fire","B5","AFD","00-2402","3F","Code 1","2","(30195769, 97739084)"
"16000165","2016","Jan","1","Fire","DUMP - Dumpster Fire","B3","AFD","00-4001","3F","Code 3","7","(30393587, 97649663)"
"16000184","2016","Jan","1","Fire","TRASH - Trash Fire","B3","AFD","00-3001","3F","Code 3","4","(30370324, 97696376)"
"16000188","2016","Jan","1","Fire","ELEC - Electrical Fire","B3","AFD","00-0804","3F","Code 3","7","(30359634, 97718073)"
"16000211","2016","Jan","1","Fire","BBQ - Unsafe Cooking","B4","AFD","00-1705","4F","Code 1","3","(30233463, 97777628)"
"16000248","2016","Jan","1","Fire","TRASH - Trash Fire","B3","AFD","00-3004","3F","Code 3","1","(30377427, 97666296)"
"16000266","2016","Jan","1","Fire","TRASH - Trash Fire","B4","AFD","00-1701","3F","Code 3","3","(30225325, 97769329)"
"16000328","2016","Jan","1","Fire","TRASH - Trash Fire","B2","AFD","00-1604","3F","Code 3","4","(30330048, 97721903)"
"16000334","2016","Jan","1","Fire","TRASH - Trash Fire","B3","AFD","00-2806","3F","Code 3","7","(30410332, 97717048)"
"16000392","2016","Jan","2","Fire","TRASH - Trash Fire","B1","AFD","00-1002","3F","Code 3","10","(30295365, 97764785)"
"16000411","2016","Jan","2","Fire","GRASS - Small Grass Fire","B3","AFD","00-2301","3F","Other","1","(30369955, 97680524)"
"16000412","2016","Jan","2","Fire","GRASS - Small Grass Fire","B3","AFD","00-2301","3F","Code 3","1","(30375077, 97677241)"
"16000426","2016","Jan","2","Fire","GRASS - Small Grass Fire","B3","AFD","00-3004","3F","Code 3","7","(30399162, 97673044)"
"16000455","2016","Jan","2","Fire","TRASH - Trash Fire","B5","AFD","00-0701","3F","Code 3","3","(30255766, 97729886)"
"16000466","2016","Jan","2","Fire","AUTO - Auto Fire","B2","AFD","00-3906","2F","Code 3","6","(30421362, 97845226)"
"16000641","2016","Jan","2","Fire","DUMP - Dumpster Fire","B1","AFD","00-0202","3F","Code 3","9","(30281008, 97746701)"
"16000657","2016","Jan","3","Fire","TRASH - Trash Fire","B2","AFD","00-4401","3F","Code 3","610","(30426843, 97784889)"
"16000744","2016","Jan","3","Fire","ELEC - Electrical Fire","B3","AFD","00-2804","3F","Code 3","7","(30404888, 97712213)"
"16000774","2016","Jan","3","Fire","BBQ - Unsafe Cooking","B3","AFD","00-2304","4F","Code 1","4","(30354368, 97685714)"
"16000885","2016","Jan","3","Fire","TRASH - Trash Fire","B3","AFD","00-2601","3F","Code 3","1","(30300989, 97642928)"
"16000946","2016","Jan","4","Fire","TRASH - Trash Fire","B1","AFD","00-0203","3F","Code 3","1","(30275542, 97715149)"
"16000948","2016","Jan","4","Fire","DUMP - Dumpster Fire","B3","AFD","00-0803","3F","Code 3","4","(30354524, 97704068)"
"16000985","2016","Jan","4","Fire","ELEC - Electrical Fire","B3","AFD","00-4001","3F","Code 3","1","(30390033, 97646857)"
"16001024","2016","Jan","4","Fire","TRASH - Trash Fire","B4","AFD","00-2903","3F","Code 3","5","(30189876, 97828222)"
"16001193","2016","Jan","4","Fire","ELEC - Electrical Fire","B4","AFD","00-1703","3F","Code 3","5","(30219112, 97785154)"
"16001206","2016","Jan","4","Fire","TRASH - Trash Fire","B2","AFD","00-1903","3F","Code 1","10","(30343473, 97764725)"
"16001271","2016","Jan","5","Fire","DUMP - Dumpster Fire","B5","AFD","00-2203","3F","Code 3","3","(30240419, 97711549)"
"16001339","2016","Jan","5","Fire","ELEC - Electrical Fire","B5","AFD","00-2201","3F","Code 3","3","(30229511, 97712633)"
"16001343","2016","Jan","5","Fire","AUTO - Auto Fire","B3","AFD","00-4001","2F","Code 3","7","(30408553, 97673715)"
"16001402","2016","Jan","5","Fire","DUMP - Dumpster Fire","B5","AFD","00-2203","3F","Code 3","3","(30240419, 97711549)"
"16001495","2016","Jan","5","Fire","ELEC - Electrical Fire","B5","AFD","00-0501","3F","Code 3","1","(30278138, 97677308)"
"16001612","2016","Jan","6","Fire","TRASH - Trash Fire","B5","AFD","00-2201","3F","Code 3","3","(30226897, 97726456)"
"16001619","2016","Jan","6","Fire","ELEC - Electrical Fire","B3","AFD","00-0802","3F","Code 3","4","(30362655, 97700842)"
"16001684","2016","Jan","6","Fire","TRASH - Trash Fire","B5","AFD","00-2204","3F","Code 3","3","(30230203, 97700384)"
"16001735","2016","Jan","6","Fire","ELEC - Electrical Fire","B3","AFD","00-2304","3F","Code 1","4","(30352067, 97678101)"
"16001824","2016","Jan","7","Fire","TRASH - Trash Fire","B4","AFD","00-1701","3F","Code 3","3","(30227318, 97773388)"
"16001844","2016","Jan","7","Fire","TRASH - Trash Fire","B1","AFD","00-0202","3F","Code 3","9","(30278568, 97743937)"
"16001847","2016","Jan","7","Fire","ELEC - Electrical Fire","B4","AFD","00-2704","3F","Code 3","8","(30214607, 97831801)"
"16001899","2016","Jan","7","Fire","TRASH - Trash Fire","B4","AFD","00-3601","3F","Code 3","2","(30170889, 97792501)"
"16001943","2016","Jan","7","Fire","AUTO - Auto Fire","B3","AFD","00-1407","2F","Code 3","4","(30315301, 97707925)"
"16002102","2016","Jan","7","Fire","AUTO - Auto Fire","B3","AFD","00-4004","2F","Code 3","17","(30387004, 97648592)"
"16002252","2016","Jan","8","Fire","AUTO - Auto Fire","B4","AFD","00-1712","2F","Code 3","5","(30231998, 97802464)"
"16002417","2016","Jan","8","Fire","ELEC - Electrical Fire","B5","AFD","00-2403","3F","Code 3","2","(30178246, 97763044)"
"16002418","2016","Jan","8","Fire","TRASH - Trash Fire","B2","AFD","00-2101","3F","Code 3","10","(30355054, 97752137)"
"16002428","2016","Jan","8","Fire","AUTO - Auto Fire","B5","AFD","00-0503","2F","Code 3","1","(30285862, 97682628)"
"16002438","2016","Jan","9","Fire","TRASH - Trash Fire","B2","AFD","00-2101","3F","Code 3","10","(30363081, 97756427)"
"16002452","2016","Jan","9","Fire","TRASH - Trash Fire","B5","AFD","00-0501","3F","Code 1","3","(30267899, 97680994)"
"16002532","2016","Jan","9","Fire","ELEC - Electrical Fire","B3","AFD","00-3002","3F","Code 3","7","(30404051, 97698788)"
"16002597","2016","Jan","9","Fire","BBQ - Unsafe Cooking","B3","AFD","00-1401","4F","Code 1","9","(30298072, 97707141)"
"16002600","2016","Jan","9","Fire","DUMP - Dumpster Fire","B1","AFD","00-0303","3F","Code 3","9","(30293238, 97736105)"
"16002660","2016","Jan","9","Fire","BBQ - Unsafe Cooking","B5","AFD","00-2201","4F","Code 3","3","(30228521, 97721427)"
"16002665","2016","Jan","9","Fire","GRASS - Small Grass Fire","B3","AFD","00-1801","3F","Code 3","1","(30319061, 97670803)"
"16002681","2016","Jan","10","Fire","TRASH - Trash Fire","B2","AFD","00-3802","3F","Code 3","6","(30456125, 97793444)"
"16002735","2016","Jan","10","Fire","TRASH - Trash Fire","B5","AFD","00-0602","3F","Code 3","9","(30228627, 97746432)"
"16002792","2016","Jan","10","Fire","TRASH - Trash Fire","B3","AFD","00-1801","3F","Code 3","1","(30319038, 97670847)"
"16002798","2016","Jan","10","Fire","BBQ - Unsafe Cooking","B3","AFD","00-2607","4F","Code 1","1","(30309367, 97666542)"
"16002801","2016","Jan","10","Fire","DUMP - Dumpster Fire","B5","AFD","00-0702","3F","Code 3","3","(30255782, 97716096)"
"16002807","2016","Jan","10","Fire","TRASH - Trash Fire","B3","AFD","00-1801","3F","Code 1","1","(30319038, 97670847)"
"16002811","2016","Jan","10","Fire","TRASH - Trash Fire","B1","AFD","00-0901","3F","Code 1","9","(30303342, 97729336)"
"16002827","2016","Jan","10","Fire","AUTO - Auto Fire","B5","AFD","00-0501","2F","Code 3","1","(30278983, 97687021)"
"16002856","2016","Jan","10","Fire","TRASH - Trash Fire","B1","AFD","00-0903","3F","Code 3","9","(30320782, 97726228)"
"16002867","2016","Jan","10","Fire","TRASH - Trash Fire","B1","AFD","00-0903","3F","Code 1","9","(30320782, 97726228)"
"16002891","2016","Jan","10","Fire","TRASH - Trash Fire","B3","AFD","00-1402","3F","Code 1","1","(30285668, 97702302)"
"16002901","2016","Jan","10","Fire","BBQ - Unsafe Cooking","B2","AFD","00-3802","4F","Code 3","6","(30458059, 97797196)"
"16002940","2016","Jan","11","Fire","TRASH - Trash Fire","B1","AFD","00-0102","3F","Code 3","9","(30267068, 97739335)"
"16003006","2016","Jan","11","Fire","ELEC - Electrical Fire","B3","AFD","00-3001","3F","Code 3","4","(30371067, 97706358)"
"16003043","2016","Jan","11","Fire","TRASH - Trash Fire","B4","AFD","00-3604","3F","Code 3","5","(30156647, 97790886)"
"16003057","2016","Jan","11","Fire","AUTO - Auto Fire","B4","AFD","00-1708","2F","Code 3","3","(30219319, 97757728)"
"16003167","2016","Jan","11","Fire","ELEC - Electrical Fire","B5","AFD","00-2201","3F","Code 3","3","(30229469, 97719104)"
"16003186","2016","Jan","11","Fire","TRASH - Trash Fire","B5","AFD","00-2402","3F","Code 1","2","(30193861, 97755596)"
"16003195","2016","Jan","11","Fire","TRASH - Trash Fire","B5","AFD","00-1505","3F","Code 3","1","(30264878, 97657558)"
"16003213","2016","Jan","11","Fire","GRASS - Small Grass Fire","B4","AFD","00-3602","3F","Left Blank","5","(30099726, 97812796)"
"16003224","2016","Jan","11","Fire","ELEC - Electrical Fire","B4","AFD","00-2903","3F","Code 1","5","(30179501, 97820377)"
"16003228","2016","Jan","11","Fire","TRASH - Trash Fire","B3","AFD","00-0805","3F","Code 3","7","(30365339, 97730114)"
"16003262","2016","Jan","11","Fire","ELEC - Electrical Fire","B2","AFD","00-1603","3F","Code 3","4","(30321757, 97709937)"
"16003400","2016","Jan","12","Fire","GRASS - Small Grass Fire","B2","AFD","00-3106","3F","Left Blank","10","(30315459, 97826068)"
"16003422","2016","Jan","12","Fire","AUTO - Auto Fire","B3","AFD","00-1804","2F","Code 3","4","(30336022, 97695921)"
"16003480","2016","Jan","12","Fire","TRASH - Trash Fire","B4","AFD","00-1101","3F","Code 3","5","(30248413, 97769947)"
"16003505","2016","Jan","12","Fire","TRASH - Trash Fire","B3","AFD","00-1804","3F","Code 3","4","(30329753, 97701271)"
"16003507","2016","Jan","12","Fire","TRASH - Trash Fire","B5","AFD","00-2205","3F","Code 1","3","(30229669, 97694768)"
"16003521","2016","Jan","12","Fire","TRASH - Trash Fire","B4","AFD","00-3604","3F","Left Blank","5","(30159961, 97800316)"
"16003537","2016","Jan","12","Fire","TRASH - Trash Fire","B1","AFD","00-0401","3F","Left Blank","9","(30279018, 97756624)"
"16003548","2016","Jan","12","Fire","TRASH - Trash Fire","B4","AFD","00-2002","3F","Code 3","5","(30198421, 97830325)"
"16003567","2016","Jan","12","Fire","BBQ - Unsafe Cooking","B3","AFD","00-0801","4F","Code 1","4","(30375791, 97711007)"
"16003575","2016","Jan","12","Fire","TRASH - Trash Fire","B5","AFD","00-2205","3F","Code 3","3","(30229669, 97694768)"
"16003593","2016","Jan","12","Fire","ELEC - Electrical Fire","B5","AFD","00-2202","3F","Code 3","3","(30235454, 97724774)"
"16003601","2016","Jan","12","Fire","TRASH - Trash Fire","B5","AFD","00-2205","3F","Code 1","3","(30229752, 97694706)"
"16003631","2016","Jan","13","Fire","DUMP - Dumpster Fire","B5","AFD","00-2403","3F","Code 3","2","(30188225, 97764379)"
"16003758","2016","Jan","13","Fire","TRASH - Trash Fire","B1","AFD","00-1003","3F","Code 3","10","(30285369, 97772122)"
"16003853","2016","Jan","13","Fire","TRASH - Trash Fire","B5","AFD","00-2401","3F","Left Blank","2","(30187613, 97751893)"
"16003984","2016","Jan","14","Fire","AUTO - Auto Fire","B2","AFD","00-4502","2F","Code 3","6","(30477874, 97760624)"
"16004004","2016","Jan","14","Fire","ELEC - Electrical Fire","B3","AFD","00-1803","3F","Code 3","4","(30312722, 97697012)"
"16004012","2016","Jan","14","Fire","ELEC - Electrical Fire","B2","AFD","00-1601","3F","Code 3","7","(30354011, 97732189)"
"16004033","2016","Jan","14","Fire","AUTO - Auto Fire","B3","AFD","00-0807","2F","Code 3","7","(30395775, 97745819)"
"16004075","2016","Jan","14","Fire","GRASS - Small Grass Fire","B5","AFD","00-2205","3F","Code 3","3","(30219245, 97690466)"
"16004076","2016","Jan","14","Fire","GRASS - Small Grass Fire","B5","AFD","00-2206","3F","Code 3","3","(30215896, 97699564)"
"16004101","2016","Jan","14","Fire","AUTO - Auto Fire","B4","AFD","00-1701","2F","Code 3","3","(30227638, 97773438)"
"16004205","2016","Jan","14","Fire","TRASH - Trash Fire","B5","AFD","00-3502","3F","Code 3","3","(30222316, 97742147)"
"16004250","2016","Jan","14","Fire","ELEC - Electrical Fire","B3","AFD","00-0804","3F","Code 3","7","(30355163, 97715415)"
"16004251","2016","Jan","14","Fire","TRASH - Trash Fire","B1","AFD","00-0101","3F","Code 3","19","(30268695, 97733968)"
"16004478","2016","Jan","15","Fire","AUTO - Auto Fire","B3","AFD","00-1403","2F","Code 3","1","(30282989, 97727207)"
"16004490","2016","Jan","15","Fire","ELEC - Electrical Fire","B4","AFD","00-1701","3F","Code 3","3","(30222716, 97771837)"
"16004510","2016","Jan","15","Fire","TRASH - Trash Fire","B2","AFD","00-3901","3F","Left Blank","6","(30405086, 97853305)"
"16004525","2016","Jan","15","Fire","TRASH - Trash Fire","B3","AFD","00-3005","3F","Code 3","4","(30371033, 97687905)"
"16004539","2016","Jan","15","Fire","ELEC - Electrical Fire","B3","AFD","00-4001","3F","Code 3","7","(30403232, 97672444)"
"16004568","2016","Jan","15","Fire","TRASH - Trash Fire","B1","AFD","00-1204","3F","Code 3","7","(30323148, 97738304)"
"16004569","2016","Jan","15","Fire","TRASH - Trash Fire","B3","AFD","00-2304","3F","Code 3","4","(30355673, 97683941)"
"16004573","2016","Jan","15","Fire","ELEC - Electrical Fire","B4","AFD","00-3209","3F","Left Blank",,"(30279896, 97836278)"
"16004696","2016","Jan","16","Fire","TRASH - Trash Fire","B5","AFD","00-0701","3F","Code 1","3","(30253502, 97723269)"
"16004711","2016","Jan","16","Fire","ELEC - Electrical Fire","B3","AFD","00-0803","3F","Code 3","4","(30355955, 97703248)"
"16004799","2016","Jan","16","Fire","GRASS - Small Grass Fire","B3","AFD","00-2305","3F","Code 3","4","(30347599, 97699283)"
"16004823","2016","Jan","16","Fire","BBQ - Unsafe Cooking","B3","AFD","00-2301","4F","Code 1","4","(30359599, 97685152)"
"16004825","2016","Jan","16","Fire","BBQ - Unsafe Cooking","B5","AFD","00-2201","4F","Code 1","3","(30232621, 97721286)"
"16004827","2016","Jan","16","Fire","BBQ - Unsafe Cooking","B5","AFD","00-0501","4F","Code 1","1","(30283012, 97681605)"
"16004847","2016","Jan","16","Fire","TRASH - Trash Fire","B4","AFD","00-1101","3F","Code 1","5","(30258749, 97782787)"
"16004857","2016","Jan","16","Fire","ELEC - Electrical Fire","B4","AFD","00-3203","3F","Code 3","8","(30259389, 97788674)"
"16004894","2016","Jan","17","Fire","AUTO - Auto Fire","B1","AFD","00-0101","2F","Code 3","3","(30262952, 97735563)"
"16004907","2016","Jan","17","Fire","TRASH - Trash Fire","B4","AFD","00-2002","3F","Code 1","5","(30194421, 97829034)"
"16005092","2016","Jan","17","Fire","TRASH - Trash Fire","B5","AFD","00-3502","3F","Code 3","3","(30226272, 97728512)"
"16005109","2016","Jan","17","Fire","TRASH - Trash Fire","B4","AFD","00-1706","3F","Code 3","3","(30230771, 97762554)"
"16005123","2016","Jan","17","Fire","ELEC - Electrical Fire","B3","AFD","00-2601","3F","Code 3","1","(30294097, 97629577)"
"16005145","2016","Jan","17","Fire","DUMP - Dumpster Fire","B4","AFD","00-1705","3F","Code 3","3","(30233463, 97777628)"
"16005202","2016","Jan","18","Fire","AUTO - Auto Fire","B3","AFD","00-1803","2F","Code 3","4","(30311754, 97708687)"
"16005220","2016","Jan","18","Fire","GRASS - Small Grass Fire","B4","AFD","00-3603","3F","Code 3","5","(30137075, 97797708)"
"16005290","2016","Jan","18","Fire","AUTO - Auto Fire","B5","AFD","00-4201","2F","Code 3","2","(30225171, 97672443)"
