"fiscal_year","city_of_austin_property_tax","median_assessed_value","city_of_austin_homestead","city_of_austin_taxable_net","median_city_property_tax","median_family_income","median_city_property_tax_1"
"2010-10-01T00:00:00.000","0.4571","205553","0.0","205553","940","74900","0.013"
"2011-10-01T00:00:00.000","0.4811","201656","0.0","201656","970","75900","0.013"
"2012-10-01T00:00:00.000","0.5029","199218","0.0","199218","1002","73200","0.014"
"2013-10-01T00:00:00.000","0.5027","207130","0.0","207130","1041","75400","0.014"
"2014-10-01T00:00:00.000","0.4809","227000","0.0","227000","1092","76800","0.014"
"2015-10-01T00:00:00.000","0.4589","252031","0.06","236909","1087","77800","0.014"
"2016-10-01T00:00:00.000","0.4418","278741","0.08","256442","1133","81400","0.014"
"2017-10-01T00:00:00.000","0.4448","305510","0.08","281069","1250","86000","0.015"
"2018-10-01T00:00:00.000","0.4403","332366","0.1","299129","1317","95900","0.014"
"2019-10-01T00:00:00.000","0.4431","353265","0.1","317939","1409","97600","0.014"
"2020-10-01T00:00:00.000","0.5335","362631","0.1","326368","1741","98910","0.018"
