"fiscal_year","sys_avg_psa"
"FY 2007","2.905 cents per kWh"
"FY 2008","3.655 cents per kWh"
"FY 2009","3.371 cents per kWh"
"FY 2010","3.446 cents per kWh"
"FY 2011","3.523 cents per kWh"
"FY 2012","3.225 cents per kWh"
"FY 2013","3.495 cents per kWh"
"FY 2014","3.815 cents per kWh"
"FY 2015","3.314 cents per kWh"
"FY 2016","3.279 cents per kWh"
"FY 2017","3.317 cents per kWh"
"FY 2018","3.265 cents per kWh"
"FY 2019","3.363 cents per kWh"
