"race","count","of_total_citations","population_data_year","city_of_austin_over_18","city_of_austin_over_18_1","difference_population_vs","year"
"Caucasian","26943","0.4518","2010","329500","0.5358","-0.084","2018-01-01T00:00:00.000"
"Black/African American","7446","0.1249","2010","48230","0.0784","0.0465","2018-01-01T00:00:00.000"
"Hispanic or Latino","21470","0.36","2010","188318","0.3062","0.0538","2018-01-01T00:00:00.000"
"Asian","2118","0.0355","2010","39777","0.0647","-0.0292","2018-01-01T00:00:00.000"
"Caucasian","21782","0.4188","2010","329500","0.5358","-0.117","2019-01-01T00:00:00.000"
"Black/African American","6843","0.1316","2010","48230","0.0784","0.0532","2019-01-01T00:00:00.000"
"Hispanic or Latino","20352","0.3913","2010","188318","0.3062","0.0851","2019-01-01T00:00:00.000"
"Asian","1875","0.0361","2010","39777","0.0647","-0.0286","2019-01-01T00:00:00.000"
"Asian","672.00","0.031","2020","69435","0.0895","-0.0586","2020-01-01T00:00:00.000"
"Black/African American","3115.00","0.1436","2020","53645","0.0692","0.0745","2020-01-01T00:00:00.000"
"Caucasian","8111.00","0.374","2020","390847","0.504","-0.13","2020-01-01T00:00:00.000"
"Hispanic or Latino","9418.00","0.4343","2020","229709","0.2962","0.1381","2020-01-01T00:00:00.000"
