"fy","mw","date_set"
"2006","2430","2007-08-24T00:00:00.000"
"2007","2391","2008-08-13T00:00:00.000"
"2008","2514","2009-08-04T00:00:00.000"
"2009","2602","2010-06-29T00:00:00.000"
"2010","2628","2011-08-23T00:00:00.000"
"2011","2714","2012-08-29T00:00:00.000"
"2012","2702","2013-06-26T00:00:00.000"
"2013","2592","2014-08-07T00:00:00.000"
"2014","2578","2015-08-25T00:00:00.000"
"2015","2735","2016-08-12T00:00:00.000"
"2016","2755","2016-08-12T00:00:00.000"
"2017","2654","2017-06-23T00:00:00.000"
"2019","2810","2019-08-13T00:00:00.000"
