"transaction_date","race","female","male","blank","total"
"2015-10-01T00:00:00.000","Asian","259","486","1","746"
"2015-10-01T00:00:00.000","Black","1357","1727","23","3107"
"2015-10-01T00:00:00.000","Hispanic","3279","4821","10","8110"
"2015-10-01T00:00:00.000","Mid East","41","195","5","241"
"2015-10-01T00:00:00.000","N American","10","4","0","14"
"2015-10-01T00:00:00.000","Other","156","304","1","461"
"2015-10-01T00:00:00.000","White","6908","10574","24","17506"
"2015-10-01T00:00:00.000","(blank)","83","136","87907","88126"
"2015-10-01T00:00:00.000","no data",,,,"25239"
"2015-10-01T00:00:00.000","none",,,,"268636"
"2016-10-01T00:00:00.000","Asian","252","452","0","704"
"2016-10-01T00:00:00.000","Black","1156","1526","6","2688"
"2016-10-01T00:00:00.000","Hispanic","3135","5056","4","8195"
"2016-10-01T00:00:00.000","Mid East","42","180","7","229"
"2016-10-01T00:00:00.000","N American","12","5","0","17"
"2016-10-01T00:00:00.000","Other","222","358","2","582"
"2016-10-01T00:00:00.000","White","6243","9340","15","15598"
"2016-10-01T00:00:00.000","(blank)","81","106","91843","92030"
"2016-10-01T00:00:00.000","no data",,,,"23774"
"2016-10-01T00:00:00.000","none",,,,"244197"
"2017-10-01T00:00:00.000","Asian","218","380","0","598"
"2017-10-01T00:00:00.000","Black","1011","1424","3","2438"
"2017-10-01T00:00:00.000","Hispanic","2906","4030","1","6937"
"2017-10-01T00:00:00.000","Mid East","48","160","0","208"
"2017-10-01T00:00:00.000","N American","2","14","0","16"
"2017-10-01T00:00:00.000","Other","79","113","0","192"
"2017-10-01T00:00:00.000","White","4840","7220","1","12061"
"2017-10-01T00:00:00.000","(blank)","81","124","81228","81433"
"2017-10-01T00:00:00.000","no data",,,,"16229"
"2017-10-01T00:00:00.000","none",,,,"191472"
"2018-10-01T00:00:00.000","Asian","196","311","0","507"
"2018-10-01T00:00:00.000","Black","878","1123","9","2010"
"2018-10-01T00:00:00.000","Hispanic","2216","3749","3","5968"
"2018-10-01T00:00:00.000","Mid East","41","144","1","186"
"2018-10-01T00:00:00.000","N American","2","6","0","8"
"2018-10-01T00:00:00.000","Other","24","29","0","53"
"2018-10-01T00:00:00.000","White","3731","5558","15","9304"
"2018-10-01T00:00:00.000","(blank)","53","37","70184","70274"
"2018-10-01T00:00:00.000","no data",,,,"11162"
"2018-10-01T00:00:00.000","none",,,,"155285"
"2019-10-01T00:00:00.000","Asian","104","193","0","297"
"2019-10-01T00:00:00.000","Black","560","663","2","1225"
"2019-10-01T00:00:00.000","Hispanic","1610","2441","2","4053"
"2019-10-01T00:00:00.000","Mid East","16","97","0","113"
"2019-10-01T00:00:00.000","N American","1","5","0","6"
"2019-10-01T00:00:00.000","Other","9","16","0","25"
"2019-10-01T00:00:00.000","White","1926","2956","3","4885"
"2019-10-01T00:00:00.000","(blank)","10","27","52643","52680"
"2019-10-01T00:00:00.000","no data",,,,"4109"
"2019-10-01T00:00:00.000","none",,,,"88484"
"2020-10-01T00:00:00.000","Asian","72","171",,"243"
"2020-10-01T00:00:00.000","Black","383","509","1","893"
"2020-10-01T00:00:00.000","Hispanic","1098","1944",,"3042"
"2020-10-01T00:00:00.000","Mid East","11","70","1","82"
"2020-10-01T00:00:00.000","N American","2","4",,"6"
"2020-10-01T00:00:00.000","Other","4","14",,"18"
"2020-10-01T00:00:00.000","White","1306","1873",,"3179"
"2020-10-01T00:00:00.000","(blank)","17","14","57122","57153"
"2020-10-01T00:00:00.000","no data",,,,"3507"
"2020-10-01T00:00:00.000","none",,,,"76340"
