"fuel_type","fiscal_year","fuel_cost","fuel_cost_percentage"
"Bilaterals","2006-01-01T00:00:00.000","34748961","9"
"Bilaterals","2007-01-01T00:00:00.000","42158639","12"
"Bilaterals","2008-01-01T00:00:00.000","90621318","19"
"Bilaterals","2009-01-01T00:00:00.000","54863996","12"
"Bilaterals","2010-01-01T00:00:00.000","53409677","12"
"Bilaterals","2011-01-01T00:00:00.000","57820582","12"
"Bilaterals","2012-01-01T00:00:00.000","10831546","3"
"Bilaterals","2013-01-01T00:00:00.000","13408348","3"
"Bilaterals","2014-01-01T00:00:00.000","18818855","4"
"Bilaterals","2015-01-01T00:00:00.000","4489538","1"
"Bilaterals","2016-01-01T00:00:00.000","6714095","2"
"Bilaterals","2017-09-30T00:00:00.000","3138999","1"
"Bilaterals","2018-09-30T00:00:00.000","8511050","2"
"Coal","2006-01-01T00:00:00.000","49519262","13"
"Coal","2007-01-01T00:00:00.000","50360624","14"
"Coal","2008-01-01T00:00:00.000","87063860","18"
"Coal","2009-01-01T00:00:00.000","84635000","19"
"Coal","2010-01-01T00:00:00.000","91590706","21"
"Coal","2011-01-01T00:00:00.000","88068421","19"
"Coal","2012-01-01T00:00:00.000","85032243","20"
"Coal","2013-01-01T00:00:00.000","72637969","16"
"Coal","2014-01-01T00:00:00.000","83030951","17"
"Coal","2016-01-01T00:00:00.000","56256560","13"
"Coal","2017-09-30T00:00:00.000","73707381","16"
"Coal","2018-09-30T00:00:00.000","74670989","16"
"ERCOT","2006-01-01T00:00:00.000","5830181","2"
"ERCOT","2007-01-01T00:00:00.000","-10892545","-3"
"ERCOT","2008-01-01T00:00:00.000","10165180","2"
"ERCOT","2009-01-01T00:00:00.000","21889298","5"
"ERCOT","2010-01-01T00:00:00.000","21617196","5"
"ERCOT","2011-01-01T00:00:00.000","66372518","14"
"ERCOT","2012-01-01T00:00:00.000","69831165","16"
"ERCOT","2013-01-01T00:00:00.000","71546000","16"
"ERCOT","2014-01-01T00:00:00.000","98379271","20"
"ERCOT","2015-01-01T00:00:00.000","76936494","17"
"ERCOT","2016-01-01T00:00:00.000","70813880","16"
"ERCOT","2018-09-30T00:00:00.000","25066513","6"
"ERCOT","2017-09-30T00:00:00.000","50541493","11"
"Fuel Oil","2006-01-01T00:00:00.000","525532","0"
"Fuel Oil","2007-01-01T00:00:00.000","1382440","0"
"Fuel Oil","2008-01-01T00:00:00.000","420142","0"
"Fuel Oil","2009-01-01T00:00:00.000","566981","0"
"Fuel Oil","2010-01-01T00:00:00.000","2405166","1"
"Fuel Oil","2011-01-01T00:00:00.000","2698718","1"
"Fuel Oil","2012-01-01T00:00:00.000","897703","0"
"Fuel Oil","2013-01-01T00:00:00.000","912889","0"
"Fuel Oil","2014-01-01T00:00:00.000","1062854","0"
"Fuel Oil","2015-01-01T00:00:00.000","951298","0"
"Fuel Oil","2016-01-01T00:00:00.000","580194","0"
"Fuel Oil","2017-09-30T00:00:00.000","466756","0"
"Fuel Oil","2018-09-30T00:00:00.000","655230","0"
"Gas","2006-01-01T00:00:00.000","258452424","68"
"Gas","2007-01-01T00:00:00.000","235403993","67"
"Gas","2008-01-01T00:00:00.000","250721680","52"
"Gas","2009-01-01T00:00:00.000","214711985","49"
"Gas","2010-01-01T00:00:00.000","203976741","46"
"Gas","2011-01-01T00:00:00.000","190320211","40"
"Gas","2012-01-01T00:00:00.000","148047838","35"
"Gas","2013-01-01T00:00:00.000","114096518","25"
"Gas","2014-01-01T00:00:00.000","104981588","21"
"Gas","2012-01-01T00:00:00.000","81258000","19"
"Gas","2013-01-01T00:00:00.000","75477402","17"
"Gas","2014-01-01T00:00:00.000","82110525","16"
"Gas","2015-01-01T00:00:00.000","68845441","16"
"Gas","2016-01-01T00:00:00.000","58467616","13"
"Gas","2017-09-30T00:00:00.000","58921456","13"
"Gas","2018-09-30T00:00:00.000","80992003","18"
"Hedging P/L","2012-01-01T00:00:00.000","66789838","16"
"Hedging P/L","2013-01-01T00:00:00.000","38619117","8"
"Hedging P/L","2014-01-01T00:00:00.000","22871063","5"
"Hedging P/L","2015-01-01T00:00:00.000","28344272","6"
"Hedging P/L","2016-01-01T00:00:00.000","28651412","7"
"Hedging P/L","2017-09-30T00:00:00.000","8175889","2"
"Hedging P/L","2018-09-30T00:00:00.000","8473528","2"
"Nuclear","2006-01-01T00:00:00.000","13485443","3"
"Nuclear","2007-01-01T00:00:00.000","14197169","4"
"Nuclear","2008-01-01T00:00:00.000","15823059","3"
"Nuclear","2009-01-01T00:00:00.000","16866183","4"
"Nuclear","2010-01-01T00:00:00.000","16655851","4"
"Nuclear","2011-01-01T00:00:00.000","18295747","4"
"Nuclear","2012-01-01T00:00:00.000","14087793","3"
"Nuclear","2013-01-01T00:00:00.000","16359128","4"
"Nuclear","2014-01-01T00:00:00.000","16646703","3"
"Nuclear","2016-01-01T00:00:00.000","17074852","4"
"Nuclear","2017-09-30T00:00:00.000","17380334","4"
"Nuclear","2018-09-30T00:00:00.000","18706134","4"
"Nuclear","2015-01-01T00:00:00.000","17868515","4"
"Renewable","2006-01-01T00:00:00.000","18828277","5"
"Renewable","2007-01-01T00:00:00.000","18559209","6"
"Renewable","2008-01-01T00:00:00.000","26183662","6"
"Renewable","2009-01-01T00:00:00.000","49567759","11"
"Renewable","2010-01-01T00:00:00.000","48631116","11"
"Renewable","2011-01-01T00:00:00.000","48212653","10"
"Renewable","2012-01-01T00:00:00.000","97167511","23"
"Renewable","2013-01-01T00:00:00.000","166314243","36"
"Renewable","2014-01-01T00:00:00.000","178672934","36"
"Renewable","2015-01-01T00:00:00.000","178033027","40"
"Renewable","2016-01-01T00:00:00.000","199671965","46"
"Renewable","2017-09-30T00:00:00.000","237118331","53"
"Renewable","2018-09-30T00:00:00.000","238231514","52"
