"citation_number","offensedate","offensetime","location","race_known","reason_for_stop_tcole_form","sex","race","search_yn","search_based_on","search_found"
"01565850","2018-01-23T00:00:00.000","17:47","12900 NORTH IH 35 SERVICE ROAD","false",,"M","W","false",,
"05212018","2018-05-21T00:00:00.000","10:25","2952 BARTON SKYWAY","false",,"M","W","false",,
"8005204","2017-04-04T00:00:00.000","12:53","700 Block East 7th Street","false",,"M","W","false",,
"8025407","2017-03-08T00:00:00.000","06:30","900 Block Congress","false",,"M","W","false",,
"8026587","2017-07-10T00:00:00.000","16:22","700 Block Red River Street","false",,"M","B","false",,
"8028926","2018-10-04T00:00:00.000","10:46","600 Block North Ih 35","false",,"M","W","false",,
"12071347","2017-07-26T00:00:00.000","18:15","5760 AIRPORT BOULEVARD","false",,"M","B","false",,
"12391325","2017-01-04T00:00:00.000","14:43",,"false",,"M","W","false",,
"12391326","2017-01-04T00:00:00.000","14:43","500 TRINITY","false",,"M","H","false",,
"12900046","2019-10-17T00:00:00.000","00:00","9405 COLLAZO WAY","false",,,,"false",,
"13250202","2017-11-21T00:00:00.000","00:00","9400 BLOCK METRIC BOULEVARD","false",,"M","H","false",,
"13418913","2017-03-14T00:00:00.000","00:00","600 BLOCK NECHES STREET","true",,"M","B","false",,
"13465311","2018-06-02T00:00:00.000","16:38","7700 BLOCK OLD MANOR ROAD","true",,"M","H","true","PROBABLE CAUSE","DRUGS"
"13465312","2018-07-02T00:00:00.000","00:00","7000 BLOCK NORTH IH 35 SERVICE ROAD","true",,"F","W","true","PROBABLE CAUSE","OTHER"
"13465314","2018-08-03T00:00:00.000","17:02","907 EAST ST. JOHNS AVENUE","true",,"M","B","true","PROBABLE CAUSE","OTHER"
"13636835","2017-03-31T00:00:00.000","11:52","12707 NORTH MOPAC EXPRESSWAY SERVICE RD","false",,"M","H","true","FRISK FOR SAFETY","NOTHING"
"13645651","2017-05-02T00:00:00.000","14:30","600 BLOCK NECHES","false",,"M","W","true","PROBABLE CAUSE","OTHER"
"13645652","2017-05-02T00:00:00.000","14:30","600 BLOCK NECHES","false",,"M","W","true","PROBABLE CAUSE","OTHER"
"13654222","2017-08-06T00:00:00.000","00:00","1200 BLOCK WEST HOWARD LANE","false",,"F","B","false",,
"13654223","2017-08-08T00:00:00.000","20:15","8700 BLOCK GEORGIAN DRIVE","false",,"F","W","false",,
"13654224","2017-08-09T00:00:00.000","15:00","EAST ST. JOHNS AT AND BENNETT AVENUE","false",,"F","B","false",,
"13659671","2018-03-14T00:00:00.000","14:20","4th Street At Brushy Street","false",,"M","B","true","ARREST OF PERSON IN VEHICLE","NOTHING"
"13659672","2018-03-16T00:00:00.000","15:30","1100 BLOCK JUNIPER ST","false",,"M","W","false",,
"13659673","2018-04-18T00:00:00.000","22:15","1000 EAST 41ST STREET","false",,"F","W","false",,
"13659674","2018-05-14T00:00:00.000","17:05","700 BLOCK EAST BEN WHITE BOULEVARD","true",,"M","W","false",,
"13659675","2018-07-04T00:00:00.000","09:00","2730 EAST 7TH STREET","false",,"M","B","false",,
"13659676","2018-07-04T00:00:00.000","09:00","2730 BLOCK EAST 7TH STREET","false",,"M","B","false",,
"13659677","2018-07-17T00:00:00.000","10:30","2700 BLOCK EAST 7TH STREET","false",,"M","W","false",,
"13659678","2018-07-17T00:00:00.000","10:30","2700 BLOCK EAST 7TH STREET","false",,"M","H","false",,
"13659679","2018-10-12T00:00:00.000","10:15","4401 PACK SADDLE PASS","false",,"M","W","false",,
"13728674","2018-05-14T00:00:00.000","18:10","2525 WEST ANDERSON LANE-WALMART SUPER","false",,"M","H","false",,
"13735024","2017-05-31T00:00:00.000","14:00","3200 BLOCK EAST 18TH STREET","false",,"M","H","true","PROBABLE CAUSE","NOTHING"
"13831859","2017-07-01T00:00:00.000","23:35","WOODLAND AVENUE AND BURTON DRIVE","true",,"M",,"false",,
"13843421","2017-02-21T00:00:00.000","08:56","11100 BLOCK BLUFF BEN DRIVE","true",,"M","W","true","FRISK FOR SAFETY","DRUGS"
"13851925","2017-03-27T00:00:00.000","18:19","7007 LAKEWOOD DRIVE","false",,"M","H","false",,
"13851926","2017-03-27T00:00:00.000","18:19","7007 LAKEWOOD DRIVE","false",,"M","H","false",,
"13853718","2017-03-18T00:00:00.000","12:10","525 NORTH LAMAR BJOULEVARD","true",,"M","H","false",,
"13853843","2017-04-07T00:00:00.000","03:30","1620 EAST RIVERSIDE DRIVE","false",,"F",,"false",,
"13859565","2017-02-09T00:00:00.000","13:37","5465 NORTH I H 35 SERVICE ROAD","false",,"F","W","true","FRISK FOR SAFETY","NOTHING"
"13865761","2017-05-23T00:00:00.000","14:45","9400 NORTH LAMAR BOULEVARD","true",,"M","B","false",,
"13869810","2017-04-25T00:00:00.000","12:30","EAST 12TH STREET AND PEREZ STREET","false",,"M","W","false",,
"13869814","2017-05-23T00:00:00.000","04:57","7104 GRAND CANYON DRIVE","false",,"F","B","false",,
"13899898","2017-03-28T00:00:00.000","23:45","1030 NORWOOD PARK BOULEVARD","false",,"F","B","true","PROBABLE CAUSE","OTHER"
"13914232","2017-06-28T00:00:00.000","20:07","2000 BLOCK EAST OLTORF STREET","true",,"M","H","false",,
"13914707","2017-02-01T00:00:00.000","12:05","3600 BLOCK SOUTH I H 35","true",,"M","W","true","PROBABLE CAUSE","NOTHING"
"13916361","2017-05-08T00:00:00.000","16:41","2001 BLOCK EAST RIVERSIDE DRIVE","false",,"M","ME","false",,
"13916362","2017-05-08T00:00:00.000","18:04","2508 BLOCK EAST RIVERSDIE DRIVE","false",,"F","H","false",,
"13916364","2017-05-08T00:00:00.000","19:30","6100 BLOCK EAST RIVERSIDE DRIVE SUIT 102","false",,"F","W","false",,
"13917642","2017-01-03T00:00:00.000","10:15","US HIGHWAY 290 SERVICE ROAD AND CAMERON ROAD","false",,"M","B","false",,
"13917643","2017-01-03T00:00:00.000","13:40","5300 BLOCK CAMERON ROAD","true",,"F","W","false",,
"13946163","2017-01-23T00:00:00.000","13:08","10107 RESEARCH BOULEVARD","false",,"F","H","false",,
"13946167","2017-09-23T00:00:00.000","11:28","10401 RESEARCH BOULEVARD SERVICE ROAD","false",,"M","A","false",,
"13955880","2017-05-18T00:00:00.000","15:30","3600 PRESIDENTIAL BOULEVARD","false",,"F","W","false",,
"13958318","2017-05-08T00:00:00.000","11:15","1030 NORWOOD  PARK BOULEVARD","false",,"F","H","true","PROBABLE CAUSE","OTHER"
"13959042","2017-07-12T00:00:00.000","20:45","2201 ANDREW ZILKER","true",,"F","W","false",,
"13959043","2017-07-12T00:00:00.000","21:00","2201 ANDREW ZILKER","false",,"M","W","false",,
"13960727","2017-03-22T00:00:00.000","16:23","500 Block East 7th Street","false",,"M","B","false",,
"13960728","2017-03-22T00:00:00.000","17:26","East 7th Street And Neches Street","false",,"M","H","false",,
"13964105","2017-09-30T00:00:00.000","10:25","2000 BLOCK CONGRESS AVENUE","false",,"M","B","false",,
"13964385","2017-01-13T00:00:00.000","13:27","710 EAST BEN WHITE","true",,"F","H","false",,
"13965166","2017-04-03T00:00:00.000","13:00","9414 NORTH LAMAR BOULEVARD","false",,"M","W","true","PROBABLE CAUSE","NOTHING"
"14154702","2018-03-08T00:00:00.000","21:35","RAINEY AND DAVIS","false",,"M","W","false",,
"13965167","2017-04-23T00:00:00.000","17:13","9414 NORTH LAMAR BOULEVARD","false",,"F","H","true","PROBABLE CAUSE","OTHER"
"13965168","2017-05-18T00:00:00.000","23:30","9414 NORTH LAMAR BOULEVARD","false",,"F","B","false",,
"13965169","2017-06-23T00:00:00.000","22:15","9414 BLOCK NORTH LAMAR BOUVLARD","false",,"M","H","true","PROBABLE CAUSE","OTHER"
"13965171","2017-08-05T00:00:00.000","16:00","9414 NORTH LAMAR BOULEVARD","false",,"M","W","false",,
"13965172","2017-08-16T00:00:00.000","17:30","9414 NORTH LAMAR","false",,"F","W","true","PROBABLE CAUSE","NOTHING"
"13965173","2017-09-13T00:00:00.000","14:35","9414 NORTH LAMAR BOULEVARD","false",,"M","W","false",,
"13965174","2017-10-05T00:00:00.000","14:15","9414 NORTH LAMAR BOULEVARD","false",,"F","W","false",,
"13965175","2017-10-08T00:00:00.000","16:50","9414 NORTH LAMAR BOULEVARD","false",,"M","W","true","PROBABLE CAUSE","OTHER"
"13965538","2017-05-28T00:00:00.000","15:50","LADY BIRD LAKE ZONE 3","false",,"M","W","false",,
"13966412","2017-03-05T00:00:00.000","17:05","8801 SOUTH I H 35 SERVICE ROAD","false",,"M","W","false",,
"13968036","2017-02-27T00:00:00.000","19:15","9414 NORTH LAMAR","false",,"M","H","true","PROBABLE CAUSE","NOTHING"
"13968037","2017-03-06T00:00:00.000","16:47","9414 NORTH LAMAR","false",,"F","H","false",,
"13968038","2017-03-19T00:00:00.000","14:00","9414 NORTH LAMAR BOULEVARD","false",,"F","W","false",,
"13968039","2017-07-11T00:00:00.000","17:25","9400 BLOCK NORTH LAMAR BOULEVARD","false",,"F","H","false",,
"13968040","2017-07-17T00:00:00.000","14:34","9414 NORTH LAMAR BOULEVARD","true",,"M","B","true","PROBABLE CAUSE","OTHER"
"13968041","2017-07-25T00:00:00.000","12:00","9414 NORTH LAMAR BOUELVARD","false",,"F","W","false",,
"13968042","2017-07-25T00:00:00.000","12:57","9414 NORTH LAMAR BOULEVARD","false",,"M","W","false",,
"13968044","2017-08-13T00:00:00.000","19:40","9400 BLOCK NORTH LAMAR BOULEVARD","false",,"F","H","false",,
"13976476","2017-08-12T00:00:00.000","19:20","2700 BLOCK SPIRIT OF TEXAS","true",,"M","W","false",,
"13977263","2017-08-02T00:00:00.000","04:50","1030 NORWOOD PARK","true",,"F","B","false",,
"13978373","2017-07-04T00:00:00.000","22:10","2797 SOUTH LAMAR BOULEVARD","false",,"F","W","false",,
