"fiscal_year","streetlight_poles_hit","streetlight_poles_cost_of_repair_or_replacement","power_poles_hit","power_poles_cost_of_repair_or_replacement"
"2015","216","540908.92","137","648112.17"
"2014","151","307201.44","141","522018.48"
"2013","109","262059.38","214","666524.88"
"2012","92","92823.28","228","448998.46"
"2011","113","185673.26","166","481377.34"
"2010","122","164554.87","172","484533.43"
"2009","134","318116.14","137","476947.47"
"2008","203","446422.37","130","286254.20"
"2007","212","237707.15","110","274708.93"
"2006","161","248662.41","143","379363.10"
