"fiscal_year_2","system_average_interruption_frequency_index_saifi","system_average_interruption_duration_index_saidi","system_average_transmission_line_performance_index_satlpi"
"2006-09-30T00:00:00.000","1.00","84.68","3.56"
"2007-09-30T00:00:00.000","1.03","82.13","3.24"
"2008-09-30T00:00:00.000","0.63","46.48","1.46"
"2009-09-30T00:00:00.000","0.89","63.41","2.10"
"2010-09-30T00:00:00.000","0.69","51.57","1.94"
"2011-09-30T00:00:00.000","0.77","54.54","1.78"
"2012-09-30T00:00:00.000","0.77","60.74","2.90"
"2013-09-30T00:00:00.000","0.59","46.24","1.44"
"2014-09-30T00:00:00.000","0.57","45.25","4.17"
"2015-09-30T00:00:00.000","0.65","56.04","3.36"
"2016-09-30T00:00:00.000","0.68","48.87","3.84"
"2017-09-30T00:00:00.000","0.81","65.16","2.24"
"2018-09-30T00:00:00.000","0.62","41.43","1.43"
"2019-09-30T00:00:00.000","0.94","71.51","1.75"
