"fiscal_year","_residential","_commercial","_industrial","_other","_total"
"FY2019","443792","49587","114","2765","496258"
"FY2018","433411","48966","112","2715","485204"
"FY2017","421752","48285","104","2560","472701"
"FY2016","411366","47352","110","2515","461343"
"FY2015","401556","46253","127","2507","450443"
"FY2014","391410","45436","151","2406","439403"
"FY2013","383257","44847","138","2340","430582"
"FY 2012","376614","44006","82","1668","422370"
"FY 2011","372329","43815","81","1640","417865"
"FY 2010","368700","43489","80","1601","413870"
"FY 2009","363217","43049","81","1579","407926"
"FY 2008","352574","42585","78","1553","396790"
"FY 2007","345197","41825","75","1523","388620"
