"reporting_date","fiscal_year","structures_with_reduced_risk","roadways_with_reduced_risk","buyouts_completed","total"
"2020-09-30T00:00:00.000","2020","7","0","60","67"
"2009-10-01T00:00:00.000","2010","36","1","37","74"
"2010-10-01T00:00:00.000","2011","29","3","30","62"
"2011-10-01T00:00:00.000","2012","81","1","23","105"
"2012-10-01T00:00:00.000","2013","62","0","25","87"
"2013-10-01T00:00:00.000","2014","27","3","98","128"
"2014-10-01T00:00:00.000","2015","12","5","153","170"
"2015-10-01T00:00:00.000","2016","56","10","204","270"
"2016-10-01T00:00:00.000","2017","3","0","76","79"
"2017-10-01T00:00:00.000","2018","3","0","38","41"
"2018-10-01T00:00:00.000","2019","7","0","46","53"
