"publish_date","fiscal_year","pard_total","apl_total","edd_total","cll_e_2_outcome"
"2019-09-30T00:00:00.000","2019","75630","201225","127","276982"
"2020-09-30T00:00:00.000","2020","334956","116535","7046","458537"
"2021-09-30T00:00:00.000","2021","47647","15077","8004","70728"
