"type_of_green_infrastructure","zip","location"
"Rain Garden","78756","
,  78756
(30.324683, -97.733944)"
"Rain Garden","78745","
,  78745
(30.201632, -97.822351)"
"Rain Garden","78704","
,  78704
(30.250074, -97.759873)"
"Rain Garden","78757","
,  78757
(30.273563, -97.748157)"
"Rain Garden","78731","
,  78731
(30.308467, -97.754288)"
"Green Roof","78723","
,  78723
(30.3034015, -97.706748)"
"Rain Garden","78701","
,  78701
(30.268483, -97.750203)"
"Rain Garden","78701","
,  78701
(30.28157, -97.745344)"
"Rain Garden","78704","
,  78704
(30.244449, -97.745328)"
"Rain Garden","78723","
,  78723
(30.301855, -97.691543)"
"Rain Garden","78704","
,  78704
(30.248301, -97.762093)"
"Green Roof","78723","
,  78723
(30.3048426, -97.7059259)"
"Rain Garden","78704","
,  78704
(30.307761, -97.753401)"
"Rain Garden","78704","
,  78704
(30.252822, -97.75695)"
"Rain Garden","78702","
,  78702
(30.307764, -97.753401)"
"Rain Garden","78752","
,  78752
(30.333291, -97.693508)"
"Rain Garden","78753","
,  78753
(30.354549, -97.679377)"
"Rain Garden","78724","
,  78724
(30.30114, -97.646591)"
"Rain Garden","78724","
,  78724
(30.311296, -97.640729)"
"Rain Barrel","78702","
,  78702
(30.28156, -97.705411)"
"Rain Barrel","78702","
,  78702
(30.28157, -97.705384)"
"Rain Barrel","78702","
,  78702
(30.281548, -97.705402)"
"Rain Barrel","78702","
,  78702
(30.281552, -97.705397)"
"Rain Garden","78757","
,  78757
(30.346636, -97.736538)"
"Rain Garden","78741","
,  78741
(30.215378, -97.747164)"
"Rain Garden","78749","
,  78749
(30.232594, -97.840521)"
"Rain Barrel / Cistern","78749","
,  78749
(30.196452, -97.775354)"
"Rain Garden","78749","
,  78749
(30.196406, -97.774941)"
"Rain Garden","78757","
,  78757
(30.337477, -97.75132)"
"Porous Pavement","78702","
,  78702
(30.268823, -97.726454)"
"Rain Garden","78727","
,  78727
(30.422591, -97.685299)"
"Green Roof","78701","
,  78701
(30.2759817, -97.7401715)"
"Green Roof","78705","
,  78705
(30.291367, -97.7438593)"
"Rain Garden","78701","
,  78701
(30.271872, -97.748932)"
"Rain Garden","78757","
,  78757
(30.3625862, -97.7364959)"
"Rain Garden","78757","
,  78757
(30.364078, -97.735538)"
"Rain Garden","78701","
,  78701
(30.271755, -97.748778)"
"Green Roof","78739","
,  78739
(30.185384, -97.873197)"
"Green Roof","78705","
,  78705
(30.2923126, -97.7429227)"
"Green Roof","78749","
,  78749
(30.203453, -97.879033)"
"Rain Garden","78757","
,  78757
(30.3641159, -97.735438)"
"Green Roof","78704","
,  78704
(30.234248, -97.757597)"
"Rain Garden","78757","
,  78757
(30.3625962, -97.7363959)"
"Green Roof","78705","
,  78705
(30.285155, -97.746122)"
"Green Roof","78704","
,  78704
(30.25585, -97.745926)"
"Green Roof","78746","
,  78746
(30.298552, -97.829875)"
"Rain Garden","78757","
,  78757
(30.3441356, -97.725226)"
"Green Roof","78701","
,  78701
(30.259563, -97.7399552)"
"Green Roof","78701","
,  78701
(30.264434, -97.739552)"
"Green Roof","78733","
,  78733
(30.314191, -97.841095)"
"Green Roof","78701","
,  78701
(30.264554, -97.74445)"
"Green Roof","78705","
,  78705
(30.292365, -97.743826)"
"Green Roof","78703","
,  78703
(30.269177, -97.754131)"
"Green Roof","78703","
,  78703
(30.3075788, -97.7636729)"
"Rain Garden","78748","
,  78748
(30.160417, -97.824793)"
"Rain Garden","78702","
,  78702
(30.259735, -97.730038)"
"Rain Garden","78721","
,  78721
(30.256748, -97.682074)"
"Rain Garden","78704","
,  78704
(30.252763, -97.774649)"
"Vegetated Filter Strip","78704","
,  78704
(30.332804, -97.748188)"
"Rain Barrel / Cistern","78749","
,  78749
(30.206622, -97.855134)"
"Rain Garden","78723","
,  78723
(30.313577, -97.680732)"
"Rain Garden","78704","
,  78704
(30.25821, -97.74944)"
"Rain Barrel","78704","
,  78704
(30.248785, -97.762463)"
"Rain Garden","78757","
,  78757
(30.34067, -97.722826)"
"Rain Garden","78702","
,  78702
(30.257187, -97.719867)"
"Rain Garden","78702","
,  78702
(30.268697, -97.713164)"
"Rain Garden","78725","
,  78725
(30.262038, -97.67152)"
"Rain Garden","78702","
,  78702
(30.268527, -97.72372)"
