"arrive_date","depart_date","location","event_name","attendance","phone_number","website"
"2022-09-02T00:00:00.000","2022-09-04T00:00:00.000","Palmer Events Center","2022 Austin Tattoo Invitational",,"","www.austintattooinvitational.com"
"2022-09-03T00:00:00.000","2022-09-03T00:00:00.000","Palmer Events Center","Austin Fit Fest",,"","www.austinfitfest.com"
"2022-09-07T00:00:00.000","2022-09-08T00:00:00.000","Palmer Events Center","DeveloperWeek Cloud 2022",,"","www.developerweek.com/Austin"
"2022-09-09T00:00:00.000","2022-09-12T00:00:00.000","Austin Convention Center","2022 ASBMR Annual Meeting",,"",""
"2022-09-10T00:00:00.000","2022-09-11T00:00:00.000","Palmer Events Center","2022 City-Wide Vintage Sale",,"","www.citywidevintagesale.com"
"2022-09-12T00:00:00.000","2022-09-13T00:00:00.000","Palmer Events Center","2022 AAFAME EXPO",,"","www.aafame.org"
"2022-09-15T00:00:00.000","2022-09-15T00:00:00.000","Palmer Events Center","2022 Health Expo",,"","www.austintexas.gov/departments/humanresources"
"2022-09-16T00:00:00.000","2022-09-17T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-09-18T00:00:00.000","2022-09-18T00:00:00.000","Palmer Events Center","2022 Bridal Extravaganza",,"","www.texasweddings.com"
"2022-09-19T00:00:00.000","2022-09-21T00:00:00.000","Austin Convention Center","NPA 2022 Convention & Expo",,"","www.weareparking.org"
"2022-09-20T00:00:00.000","2022-09-21T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-09-22T00:00:00.000","2022-09-23T00:00:00.000","Palmer Events Center","2022 Modern Nirvana Conference",,"",""
"2022-09-22T00:00:00.000","2022-09-25T00:00:00.000","Palmer Events Center","Austin Area Quilt Guild 2022 QuiltFest",,"","www.aaqg.org"
"2022-09-24T00:00:00.000","2022-09-24T00:00:00.000","Austin Convention Center","Ringling College of Art and Design",,"",""
"2022-09-24T00:00:00.000","2022-09-24T00:00:00.000","Palmer Events Center","2022 Texas Roller Derby",,"","www.txrd.com"
"2022-09-24T00:00:00.000","2022-09-24T00:00:00.000","Palmer Events Center","NAMIWalks Central Texas 2022",,"","namiwalkscentraltx.org"
"2022-09-26T00:00:00.000","2022-09-27T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-09-26T00:00:00.000","2022-09-30T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-09-27T00:00:00.000","2022-09-28T00:00:00.000","Palmer Events Center","MOVE America 2022",,"","www.terrapinn.com"
"2022-09-28T00:00:00.000","2022-09-30T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-09-29T00:00:00.000","2022-09-29T00:00:00.000","Austin Convention Center","The Whisky X",,"",""
"2022-09-30T00:00:00.000","2022-10-02T00:00:00.000","Palmer Events Center","2022 Austin Record Convention",,"","www.austinrecords.com"
"2022-10-01T00:00:00.000","2022-10-02T00:00:00.000","Palmer Events Center","The Great American Franchise Expo 2022",,"","www.franexpousa.com"
"2022-10-04T00:00:00.000","2022-10-05T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-10-05T00:00:00.000","2022-10-07T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-10-05T00:00:00.000","2022-10-05T00:00:00.000","Palmer Events Center","2022 Culinary Arts Career Conference",,"","https://www.austinfoodandwinealliance.org/"
"2022-10-16T00:00:00.000","2022-10-18T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-10-18T00:00:00.000","2022-10-18T00:00:00.000","Palmer Events Center","2022 NECA Closing Party",,"",""
"2022-10-21T00:00:00.000","2022-10-22T00:00:00.000","Palmer Events Center","2022 Austin ISD All-District Fair",,"","www.austinisd.org"
"2022-10-21T00:00:00.000","2022-10-23T00:00:00.000","Palmer Events Center","2022 Austin Gem and Mineral Show",,"","www.agms-tx.org"
"2022-10-23T00:00:00.000","2022-10-23T00:00:00.000","Palmer Events Center","2022 Livestrong Challenge",,"","www.livestrongchallenge.org"
"2022-10-24T00:00:00.000","2022-10-26T00:00:00.000","Austin Convention Center","Private",,"",""
"2022-10-25T00:00:00.000","2022-10-25T00:00:00.000","Palmer Events Center","Private",,"",""
"2022-10-27T00:00:00.000","2022-10-27T00:00:00.000","Palmer Events Center","2022 AAA Trade Show",,"","www.austinaptassoc.com"
"2022-10-28T00:00:00.000","2022-10-31T00:00:00.000","Austin Convention Center","Independent National Convention 2022",,"",""
"2022-11-02T00:00:00.000","2022-11-03T00:00:00.000","Austin Convention Center","Informa Business Media, Inc 2022 The AI Summit",,"","www.theaisummit.com"
"2022-11-03T00:00:00.000","2022-11-06T00:00:00.000","Palmer Events Center","2022 Settlement Club Garage & Estate Sale",,"","www.settlementhome.org"
"2022-11-06T00:00:00.000","2022-11-06T00:00:00.000","Austin Convention Center","Fall Bridal and Wedding Expo",,"",""
"2022-11-09T00:00:00.000","2022-11-09T00:00:00.000","Palmer Events Center","Texas Conference For Women Offsite Shuttling",,"",""
"2022-11-10T00:00:00.000","2022-11-10T00:00:00.000","Austin Convention Center","2022 The Texas Conference for Women",,"","https://www.txconferenceforwomen.org"
"2022-11-10T00:00:00.000","2022-11-10T00:00:00.000","Palmer Events Center","2022 Veterans Appreciation Luncheon",,"",""
"2022-11-13T00:00:00.000","2022-11-16T00:00:00.000","Austin Convention Center","Private",,"",""
