"race","count","of_total_arrests","population_data_year","city_of_austin_over_18","city_of_austin_over_18_1","difference_population_vs","year"
"Asian","42.00","0.0103","2020","69435","0.0895","-0.0792","2020-01-01T00:00:00.000"
"Black/African American","858.00","0.2109","2020","53645","0.0692","0.1417","2020-01-01T00:00:00.000"
"Caucasian","1286.00","0.316","2020","390847","0.504","-0.188","2020-01-01T00:00:00.000"
"Hispanic or Latino","1866.00","0.4586","2020","229709","0.2962","0.1624","2020-01-01T00:00:00.000"
"Caucasian","3406","0.3037","2010","329500","0.5358","-0.2321","2018-01-01T00:00:00.000"
"Black/African American","2804","0.25","2010","48230","0.0784","0.1716","2018-01-01T00:00:00.000"
"Hispanic or Latino","4812","0.4291","2010","188318","0.3062","0.1229","2018-01-01T00:00:00.000"
"Asian","106","0.0095","2010","39777","0.0647","-0.0552","2018-01-01T00:00:00.000"
"Caucasian","2328","0.3005","2010","329500","0.5358","-0.2353","2019-01-01T00:00:00.000"
"Black/African American","1927","0.2487","2010","48230","0.0784","0.1703","2019-01-01T00:00:00.000"
"Hispanic or Latino","3364","0.4342","2010","188318","0.3062","0.128","2019-01-01T00:00:00.000"
"Asian","87","0.0112","2010","39777","0.0647","-0.0535","2019-01-01T00:00:00.000"
