"record_number","year","age_group_in_years","gender"
"1","2012","≤ 29","FEMALE"
"2","2012","≤ 29","FEMALE"
"3","2012","≤ 29","MALE"
"4","2012","≤ 29","MALE"
"5","2012","≤ 29","MALE"
"6","2012","≤ 29","MALE"
"7","2012","≤ 29","MALE"
"8","2012","≤ 29","FEMALE"
"9","2012","≤ 29","MALE"
"10","2012","≤ 29","MALE"
"11","2012","≤ 29","MALE"
"12","2012","≤ 29","MALE"
"13","2012","≤ 29","MALE"
"14","2012","≤ 29","MALE"
"15","2012","≤ 29","FEMALE"
"16","2012","≤ 29","MALE"
"17","2012","≤ 29","MALE"
"18","2012","≤ 29","MALE"
"19","2012","≤ 29","MALE"
"20","2012","≤ 29","MALE"
"21","2012","≤ 29","MALE"
"22","2012","≤ 29","FEMALE"
"23","2012","≤ 29","MALE"
"24","2012","≤ 29","MALE"
"25","2012","≤ 29","MALE"
"26","2012","≤ 29","MALE"
"27","2012","30-49","MALE"
"28","2012","30-49","FEMALE"
"29","2012","30-49","MALE"
"30","2012","30-49","MALE"
"31","2012","30-49","MALE"
"32","2012","30-49","MALE"
"33","2012","30-49","MALE"
"34","2012","30-49","MALE"
"35","2012","30-49","FEMALE"
"36","2012","30-49","MALE"
"37","2012","30-49","MALE"
"38","2012","30-49","FEMALE"
"39","2012","30-49","FEMALE"
"40","2012","30-49","MALE"
"41","2012","30-49","MALE"
"42","2012","30-49","FEMALE"
"43","2012","30-49","MALE"
"44","2012","30-49","MALE"
"45","2012","30-49","MALE"
"46","2012","30-49","MALE"
"47","2012","30-49","FEMALE"
"48","2012","30-49","MALE"
"49","2012","30-49","MALE"
"50","2012","30-49","MALE"
"51","2012","30-49","FEMALE"
"52","2012","30-49","FEMALE"
"53","2012","30-49","MALE"
"54","2012","30-49","MALE"
"55","2012","30-49","MALE"
"56","2012","30-49","FEMALE"
"57","2012","30-49","FEMALE"
"58","2012","30-49","MALE"
"59","2012","30-49","MALE"
"60","2012","30-49","MALE"
"61","2012","30-49","MALE"
"62","2012","30-49","MALE"
"63","2012","30-49","MALE"
"64","2012","30-49","MALE"
"65","2012","30-49","MALE"
"66","2012","30-49","MALE"
"67","2012","30-49","FEMALE"
"68","2012","30-49","MALE"
"69","2012","30-49","MALE"
"70","2012","50-69","MALE"
"71","2012","50-69","MALE"
"72","2012","50-69","MALE"
"73","2012","50-69","MALE"
"74","2012","50-69","MALE"
"75","2012","50-69","MALE"
"76","2012","50-69","FEMALE"
"77","2012","50-69","FEMALE"
"78","2012","50-69","FEMALE"
"79","2012","50-69","MALE"
"80","2012","50-69","MALE"
"81","2012","50-69","MALE"
"82","2012","50-69","MALE"
"83","2012","50-69","MALE"
"84","2012","50-69","FEMALE"
"85","2012","50-69","MALE"
"86","2012","50-69","MALE"
"87","2012","50-69","MALE"
"88","2012","50-69","MALE"
"89","2012","50-69","MALE"
"90","2012","50-69","FEMALE"
"91","2012","50-69","MALE"
"92","2012","50-69","FEMALE"
"93","2012","50-69","MALE"
"94","2012","50-69","MALE"
"95","2012","50-69","FEMALE"
"96","2012","50-69","MALE"
"97","2012","50-69","MALE"
"98","2012","50-69","MALE"
"99","2012","50-69","MALE"
"100","2012","50-69","MALE"
"101","2012","≥ 70","MALE"
"102","2012","≥ 70","MALE"
"103","2012","≥ 70","MALE"
"104","2012","≥ 70","MALE"
"105","2012","≥ 70","MALE"
"106","2012","≥ 70","FEMALE"
"107","2012","≥ 70","MALE"
"108","2012","≥ 70","MALE"
"109","2012","≥ 70","FEMALE"
"110","2012","≥ 70","MALE"
"111","2012","≥ 70","MALE"
"112","2012","≥ 70","MALE"
"113","2012","≥ 70","MALE"
"114","2012","≥ 70","MALE"
"115","2012","≥ 70","MALE"
"116","2013","≤ 29","MALE"
"117","2013","≤ 29","FEMALE"
"118","2013","≤ 29","MALE"
"119","2013","≤ 29","FEMALE"
"120","2013","≤ 29","MALE"
"121","2013","≤ 29","MALE"
"122","2013","≤ 29","MALE"
"123","2013","≤ 29","MALE"
"124","2013","≤ 29","FEMALE"
"125","2013","≤ 29","MALE"
"126","2013","≤ 29","MALE"
"127","2013","≤ 29","FEMALE"
"128","2013","≤ 29","MALE"
"129","2013","≤ 29","FEMALE"
"130","2013","≤ 29","MALE"
"131","2013","≤ 29","MALE"
"132","2013","≤ 29","MALE"
"133","2013","≤ 29","MALE"
"134","2013","≤ 29","FEMALE"
"135","2013","≤ 29","MALE"
"136","2013","≤ 29","MALE"
"137","2013","≤ 29","FEMALE"
"138","2013","≤ 29","MALE"
"139","2013","≤ 29","FEMALE"
"140","2013","≤ 29","MALE"
"141","2013","≤ 29","FEMALE"
"142","2013","≤ 29","FEMALE"
"143","2013","≤ 29","MALE"
"144","2013","≤ 29","MALE"
"145","2013","≤ 29","MALE"
"146","2013","≤ 29","MALE"
"147","2013","≤ 29","MALE"
"148","2013","≤ 29","MALE"
"149","2013","≤ 29","MALE"
"150","2013","≤ 29","FEMALE"
"151","2013","≤ 29","MALE"
"152","2013","30-49","FEMALE"
"153","2013","30-49","MALE"
"154","2013","30-49","FEMALE"
"155","2013","30-49","MALE"
"156","2013","30-49","FEMALE"
"157","2013","30-49","MALE"
"158","2013","30-49","FEMALE"
"159","2013","30-49","MALE"
"160","2013","30-49","MALE"
"161","2013","30-49","MALE"
"162","2013","30-49","MALE"
"163","2013","30-49","MALE"
"164","2013","30-49","FEMALE"
"165","2013","30-49","FEMALE"
"166","2013","30-49","MALE"
"167","2013","30-49","MALE"
"168","2013","30-49","MALE"
"169","2013","30-49","MALE"
"170","2013","30-49","FEMALE"
"171","2013","30-49","FEMALE"
"172","2013","30-49","MALE"
"173","2013","30-49","FEMALE"
"174","2013","30-49","MALE"
"175","2013","30-49","FEMALE"
"176","2013","30-49","MALE"
"177","2013","30-49","MALE"
"178","2013","30-49","MALE"
"179","2013","30-49","MALE"
"180","2013","30-49","MALE"
"181","2013","30-49","FEMALE"
"182","2013","30-49","MALE"
"183","2013","30-49","MALE"
"184","2013","30-49","MALE"
"185","2013","30-49","MALE"
"186","2013","30-49","FEMALE"
"187","2013","30-49","FEMALE"
"188","2013","30-49","MALE"
"189","2013","30-49","MALE"
"190","2013","30-49","FEMALE"
"191","2013","50-69","FEMALE"
"192","2013","50-69","FEMALE"
"193","2013","50-69","MALE"
"194","2013","50-69","MALE"
"195","2013","50-69","MALE"
"196","2013","50-69","MALE"
"197","2013","50-69","FEMALE"
"198","2013","50-69","FEMALE"
"199","2013","50-69","FEMALE"
"200","2013","50-69","MALE"
"201","2013","50-69","MALE"
"202","2013","50-69","MALE"
"203","2013","50-69","MALE"
"204","2013","50-69","MALE"
"205","2013","50-69","MALE"
"206","2013","50-69","FEMALE"
"207","2013","50-69","MALE"
"208","2013","50-69","MALE"
"209","2013","50-69","MALE"
"210","2013","50-69","MALE"
"211","2013","50-69","MALE"
"212","2013","50-69","MALE"
"213","2013","50-69","MALE"
"214","2013","50-69","FEMALE"
"215","2013","50-69","MALE"
"216","2013","50-69","MALE"
"217","2013","50-69","FEMALE"
"218","2013","50-69","MALE"
"219","2013","50-69","MALE"
"220","2013","50-69","MALE"
"221","2013","50-69","MALE"
"222","2013","50-69","MALE"
"223","2013","50-69","MALE"
"224","2013","50-69","MALE"
"225","2013","50-69","FEMALE"
"226","2013","50-69","MALE"
"227","2013","50-69","MALE"
"228","2013","50-69","MALE"
"229","2013","≥ 70","MALE"
"230","2013","≥ 70","MALE"
"231","2013","≥ 70","FEMALE"
"232","2013","≥ 70","MALE"
"233","2013","≥ 70","MALE"
"234","2013","≥ 70","MALE"
"235","2013","≥ 70","MALE"
"236","2013","≥ 70","MALE"
"237","2014","≤ 29","FEMALE"
"238","2014","≤ 29","FEMALE"
"239","2014","≤ 29","MALE"
"240","2014","≤ 29","MALE"
"241","2014","≤ 29","MALE"
"242","2014","≤ 29","MALE"
"243","2014","≤ 29","MALE"
"244","2014","≤ 29","FEMALE"
"245","2014","≤ 29","MALE"
"246","2014","≤ 29","MALE"
"247","2014","≤ 29","FEMALE"
"248","2014","≤ 29","MALE"
"249","2014","≤ 29","MALE"
"250","2014","≤ 29","FEMALE"
"251","2014","≤ 29","MALE"
"252","2014","≤ 29","MALE"
"253","2014","≤ 29","MALE"
"254","2014","≤ 29","FEMALE"
"255","2014","≤ 29","MALE"
"256","2014","≤ 29","MALE"
"257","2014","≤ 29","MALE"
"258","2014","≤ 29","MALE"
"259","2014","≤ 29","MALE"
"260","2014","≤ 29","FEMALE"
"261","2014","≤ 29","MALE"
