"offense_case_type","offense_date","charges_description","offense_street_name","offense_cross_street","case_closed","agency","officer_code","race","defendant_gender"
"CM","2020-10-01T00:00:00.000","PUBLIC INTOXICATION","East 6th Street And","Congress Avenue","false","APD","7245","Black","Male"
"CM","2020-10-01T00:00:00.000","FAILURE TO IDENTIFY - REFUSE","1102 East 2nd Street",,"false","APD","7597","Black","Male"
"CM","2020-10-02T00:00:00.000","PUBLIC INTOXICATION","300 Block East 6th Street",,"false","APD","7945","White","Male"
"CM","2020-10-02T00:00:00.000","SIMPLE ASSAULT BY CONTACT","North Ih 35 Service Road And","Clermont Avenue","true","APD","9105","White","Female"
"CM","2020-10-03T00:00:00.000","SIMPLE ASSAULT BY CONTACT","411 East 6th Street",,"false","APD","8674","White","Male"
"CM","2020-10-03T00:00:00.000","DISORDERLY CONDUCT - FIGHTING","200 Block East 6th Street",,"false","APD","8674","White","Female"
"CM","2020-10-03T00:00:00.000","DISORDERLY CONDUCT - FIGHTING","200 Block East 6th Street",,"false","APD","8674","White","Female"
"CM","2020-10-07T00:00:00.000","PUBLIC INTOXICATION","North Ih 35 Service Road And","East 15th Street","true","APD","6471","White","Female"
"CM","2020-10-08T00:00:00.000","PUBLIC INTOXICATION","1500 Block Red River Street",,"false","APD","8418","White","Male"
"CM","2020-10-08T00:00:00.000","SIMPLE ASSAULT BY CONTACT","6th Street And","Congress Avenue","false","APD","8105","Black","Male"
"CM","2020-10-09T00:00:00.000","PUBLIC INTOXICATION","20 North Ih 35 Service Road",,"false","APD","8152","White","Male"
"CM","2020-10-10T00:00:00.000","PUBLIC INTOXICATION","510 West 10th Street",,"false","APD","7616","Hispanic","Male"
"CO","2020-10-11T00:00:00.000","Obstruction in the DACC Area Prohibited","700 Block Neches Street",,"false","APD","7796","Hispanic","Male"
"TR","2020-10-11T00:00:00.000","PEDESTRIAN ON ROADWAY","600 Block Trinity Street",,"false","APD","7796","Hispanic","Male"
"CM","2020-10-11T00:00:00.000","PUBLIC INTOXICATION","600 Block East 6th Street",,"false","APD","8398","Black","Male"
"CM","2020-10-11T00:00:00.000","DISORDERLY CONDUCT-GESTURE P.C. 42 01","600 Block Neches Street",,"false","APD","8674","Black","Male"
"CO","2020-10-12T00:00:00.000","Camping in Public Area","Camping",,"false","APD","5193","Black","Male"
"CO","2020-10-13T00:00:00.000","Possess, Consume, Sell Alcohol in Prohibited Park Area","600 Block Sabine Street",,"false","APD","8594","Black","Male"
"CM","2020-10-13T00:00:00.000","Possession of Drug Paraphernalia","200 Block Brazos Street",,"false","APD","8594","Black","Female"
"CO","2020-10-14T00:00:00.000","CONSUMING ALCOHOL IN A PUBLIC STREET","300 Block East 6th Street",,"false","APD","7400","Hispanic","Male"
"CM","2020-10-14T00:00:00.000","MISDEMEANOR THEFT C - LESS THAN $100","917  N LAMAR BLVD",,"false",,"6627","Hispanic","Male"
"CM","2020-10-16T00:00:00.000","Possession of Drug Paraphernalia","500 Block Brazos Street",,"false","APD","3968","No Data","Male"
"TR","2020-10-17T00:00:00.000","PEDESTRIAN ON ROADWAY","700 To 600 Block Congress Avenue",,"false","APD","4556","White","Male"
"CM","2020-10-17T00:00:00.000","DISORDERLY CONDUCT - FIGHTING","300 Block East 6th Street",,"false","APD","5159","White","Male"
"CM","2020-10-17T00:00:00.000","Interference with a police service animal","300 Block East 6th Street",,"false","APD","8140","Hispanic","Male"
"CM","2020-10-17T00:00:00.000","DISORDERLY CONDUCT - FIGHTING","300 Block East 6th Street",,"true","APD","8674","Black","Male"
"CM","2020-10-18T00:00:00.000","PUBLIC INTOXICATION","West 6th Street And","Rio Grande Street","false","APD","8570","Hispanic","Male"
"CM","2020-10-18T00:00:00.000","SIMPLE ASSAULT BY CONTACT","West 6th Street And","Rio Grande Street","false","APD","8570","Hispanic","Male"
"CM","2020-10-18T00:00:00.000","PUBLIC INTOXICATION","500 Block West 6th Street",,"false","APD","8674","Black","Male"
"CM","2020-10-18T00:00:00.000","PUBLIC INTOXICATION","1213 Sabine Street",,"false","APD","9109","Hispanic","Male"
"CM","2020-10-18T00:00:00.000","DISORDERLY CONDUCT - FIGHTING","400 Block East 6th Street",,"false","APD","7401","Black","Male"
"CM","2020-10-18T00:00:00.000","DISORDERLY CONDUCT - FIGHTING","400 Block East 6th Street",,"false","APD","8140","Black","Male"
"CM","2020-10-18T00:00:00.000","Possession of Drug Paraphernalia","600 Sabine Street",,"false","APD","7950","Black","Male"
"CM","2020-10-18T00:00:00.000","Possession of Drug Paraphernalia","600 Bock Sabine Street",,"false","APD","7796","Black","Male"
"CM","2020-10-19T00:00:00.000","Possession of Drug Paraphernalia","501 West 3rd Street",,"false","APD","8139","White","Male"
"CM","2020-10-20T00:00:00.000","DISORDERLY CONDUCT-INDECENT EXPOSURE #","6th Street And","Rio Grande Street","false","APD","8346","White","Male"
"CM","2020-10-20T00:00:00.000","FAILURE TO IDENTIFY - REFUSE","East 7th Street And","North Ih 35 Service Road","false","APD","8554","Black","Male"
"CM","2020-10-20T00:00:00.000","FAILURE TO IDENTIFY - REFUSE","201 West 2nd Street",,"false","APD","8139","Hispanic","Female"
"CO","2020-10-20T00:00:00.000","Possess, Consume, Sell Alcohol in Prohibited Park Area","600 Block Sabine Street",,"false","APD","3968","Black","Female"
"CM","2020-10-20T00:00:00.000","Possession of Drug Paraphernalia","200 Block East 6th Street",,"false","APD","6136","Black","Male"
"CM","2020-10-20T00:00:00.000","Possession of Drug Paraphernalia","500 Block Brazos Street",,"false","APD","3968","Black","Female"
