"class","fiscal_year","number_of_projects_aegb_rated","total_square_footage_aegb_rated_projects","number_of_residential_units_aegb_rated","number_of_smart_housing_units_aegb_rated","estimated_demand_savings_kw","estimated_electric_energy_savings_kwh","indoor_potable_water_reduction_gallons","irrigation_potable_water_reduction_gallons_month_of_july","construction_waste_diverted_from_landfill_tons"
"Multifamily","2007","9","1590010","1288","1267","801",,,,
"Multifamily","2008","10","1877331","1607","1017","1301",,,,
"Multifamily","2009","8","2069179","1721","218","950","1812","1164",,"926"
"Multifamily","2010","7","1550817","970","36","504","641","3008","17761","2605"
"Multifamily","2011","5","407991","370","334","90","208","5575","2975","4844"
"Multifamily","2012","5","721401","711","711","191","1813","5205","1822","28731"
"Multifamily","2013","12","1648527","1548","696","1176","3751","13540","630","9293"
"Multifamily","2014","13","2359673","2067","411","1053","4788","20127","4099","18042"
"Multifamily","2015","14","3305387","2554","1045","1724","6135","23053","5076","24665"
"Multifamily","2016","11","3061867","2738","1001","1420","4073","21525","8160","15327"
"Multifamily","2017","11","1653233","1462","813","1068","2731","13101","23894","6696"
"Multifamily","2018","14","3139624","2658","1629","1460","5078","21128","9694","14171"
"Multifamily","2019","12","1795745","1617","1117","474","1322","15267","10984","5676"
"Multifamily","2020","15","4252634","3233","965","1509","3887","26776","10608","20485"
"Multifamily","2021","14","2893444","2458","1619","969","3151","18813","10025","11290"
