"region","per_10_000","over_homelessness_2018","over_homelessness_2017","over_homelessness_2016","over_homelessness_2015","over_homelessness_2014","over_homelessness_2013","over_homelessness_2012","over_homelessness_2011","over_homelessness_2010","over_homelessness_2009","over_homelessness_2009_1","over_homelessness_2007"
"US","17","552830","550996","549928","564708","576450","590364","621553","623788","637077","630227","639784","647258"
"TX","9","25310","23548","23122","23678","28495","29615","34052","36911","35121","36761","40190","39788"
"Austin","22","2147","2036","2138","1832","1987","2090","2244","2362","2087","529","919","224"
