"fy_id","fiscal_year","ops_incidents","ops_responses","ops_responsetimecompliance_all","ops_pt_contacts","ops_pt_transports","comm_911_calls","ce_contact_hrs","academy_cadets","spevents_unit_hrs","spevents_revenue","emermgmt_eoc_activ","cr_car_seats_distributed","cr_injury_prevention_citizens","cr_cpr_citizens_trained","chp_clients","chp_contacts","fleet_maintenance","facebook_likes","twitter_followers","youtube_views","response_time_compliance_target"
"2013","FY2013","114288","115663","95.64","93540","74797","126495","8.5","48","8015","233589","6","581","10000","4195","330","356","77.21","1295","2261","582","90"
"2014","FY2014","121067","121840","95.36","96311","76797","126106","30","61","8536","568855","10","1976","15000","5005","541","662","86.92","2953","7376","7288","90"
"2015","FY2015","130269","131204","94.87","104102","86889","140212","31.5","78","9506","991388","5","1286","30000","1673","878","1261","95.10","5000","13981","15826","90"
"2016","FY2016","131007","132073","94.7","100506","78937","143804","30.5",,"7605","911864",,"922","29698",,"917","1903",,"7716","19656","36762","90"
"2017","FY2017","131784","131811","94.71","103905","78308","146456","31",,"6582","1068796.30",,,,,"1078","2046",,"13640","24390","29260","90"
