"naics_code","cad_defined_sector","industry","sales_2016","jobs_2016","total_earnings","earnings_by_sector","earnings_per_job_2015","earnings_per_job_2016","change_of_earnings_per_job","national_lq_2016","white","black_or_african_american","amer_indian_or_ak_native","asian","hawaiian_or_other_pac_island","hispanic_or_latino","two_or_more_races","male","female","_0_24_age","_25_34_age","_35_44_age","_45_54_age","_55_64_age","_65_99_age"
"541810","Advertising, Public Relations, and Talent Management","Advertising agencies","842404090","3380","266461355",,"77452","78822","0.018","1.76","2485","92","5","182","2","540","75","1486","1895","266","991","857","645","379","243"
"711310","Advertising, Public Relations, and Talent Management","Promoters of performing arts, sports, and similar events with facilities","55191742","648","15079923",,"21605","23265","0.077","0.73","459","57","1","9","0","107","14","393","255","97","167","153","109","74","48"
"711320","Advertising, Public Relations, and Talent Management","Promoters of performing arts, sports, and similar events without facilities","72176697","754","18889606",,"23260","25026","0.076","1.22","539","76","0","7","0","113","20","469","286","56","206","208","133","96","55"
"711410","Advertising, Public Relations, and Talent Management","Agents and managers for artists, athletes, entertainers, and other public figures","160324259","821","39412887","339843772","43185","47983","0.111","1.36","603","70","0","13","1","115","19","466","356","57","225","231","147","102","60"
"512110","Film, TV, Radio","Motion picture and video production","808826039","2444","173582500",,"67939","71007","0.045","1.12","1588","146","5","111","2","564","27","1672","773","500","725","578","401","172","70"
"512120","Film, TV, Radio","Motion picture and video distribution","3695481","12","729834",,"32473","60231","0.855","0.20","9","0","0","0","0","3","0","11","1","1","5","4","2","0","0"
"512131","Film, TV, Radio","Motion picture theaters (except drive-Ins)","285999898","2157","66268643",,"28513","30709","0.077","2.16","1405","131","8","89","2","488","35","1409","749","579","685","453","264","126","51"
"512132","Film, TV, Radio","Drive-in motion picture theaters *","2485445","14","581119",,"50160","40218","-0.198","0.74","11","1","0","0","0","3","0","12","3","2","4","5","3","1","0"
"512191","Film, TV, Radio","Teleproduction and other postproduction services","243654938","521","58846610",,"72331","112798","0.559","3.01","341","31","1","24","0","118","6","357","165","101","161","126","84","36","14"
"512199","Film, TV, Radio","Other motion picture and video industries","5312011","26","1265695",,"63875","48529","-0.24","0.99","18","1","0","0","0","6","0","20","6","4","7","7","6","1","0"
"515111","Film, TV, Radio","Radio networks","12705051","85","2473496",,"40120","28897","-0.28","0.47","62","5","0","3","0","16","0","63","22","3","11","15","22","30","4"
"515112","Film, TV, Radio","Radio stations","197680600","574","38467824","342215722","66118","66959","0.013","0.90","390","39","1","14","1","122","7","360","214","40","142","132","119","120","21"
"711510","Independent artists, writers, and performers","Independent artists, writers, and performers","523740043","14823","336122737","336122737","20286","22675","0.118","1.62","10446","1654","0","82","0","2222","420","9243","5580","1067","3467","4001","2851","2180","1259"
"519120","Museums, Libraries, and Arts Education","Libraries and archives","1696099","86","830355",,"10139","9647","-0.049","0.35","65","11","2","1","0","7","0","46","40","6","22","22","15","13","7"
"611610","Museums, Libraries, and Arts Education","Fine arts schools (private)","51146701","2480","27975370",,"10869","11277","0.038","1.29","1644","237","2","221","1","311","64","697","1784","346","567","485","523","259","301"
"712110","Museums, Libraries, and Arts Education","Museums","20905713","253","8967886","37773611","29893","35428","0.185","0.36","184","7","1","9","0","48","4","103","151","58","82","38","30","29","17"
"339992","Music","Musical instrument manufacturing","22201542","133","7352710",,"54882","55036","0.003","1.21","88","5","0","7","0","32","1","86","48","10","28","27","28","28","13"
"451140","Music","Musical instrument and supplies stores","39837085","316","13534387",,"40482","42722","0.055","0.98","217","13","1","5","0","74","6","197","120","80","61","51","38","39","47"
"512230","Music","Music publishers","74483290","113","5544825",,"51731","48748","-0.058","2.00","86","7","0","2","0","11","8","92","22","6","38","28","26","13","3"
"512240","Music","Sound recording studios","78502658","385","9840527",,"25927","25495","-0.017","3.20","283","24","0","7","0","40","32","311","75","23","123","94","86","47","14"
"512250","Music","Record Production and Distribution","31614585","68","4060949",,"55164","59041","0.07","0.96","53","4","0","1","0","7","4","54","14","3","22","18","17","8","2"
"512290","Music","Other sound recording industries","16607908","68","2142067",,"36405","31481","-0.135","1.90","52","4","0","0","0","6","6","58","10","2","24","17","16","8","2"
"711130","Music","Musical groups and artists","105120576","1401","31801131","74276596","20495","22697","0.107","1.72","1000","144","1","11","0","207","39","861","540","107","347","366","261","207","112"
"711110","Performing Arts","Theater companies and dinner theaters","59669396","886","20738721",,"21977","23407","0.065","1.15","659","69","1","12","0","123","22","534","352","70","263","219","152","124","58"
"711120","Performing Arts","Dance companies","12879071","219","4498452",,"21732","20481","-0.058","1.41","164","18","0","2","0","30","5","136","84","16","63","57","38","31","15"
"711190","Performing Arts","Other performing arts companies","13896753","165","4652520","29889694","23874","28051","0.175","1.67","127","12","0","3","0","21","3","102","64","11","52","41","29","23","10"
"323113","Printing, Publishing,  and Related Activities","Commercial screen printing","62391035","496","20397411",,"38283","41077","0.073","0.82","312","26","1","17","1","134","5","326","171","21","112","110","110","103","41"
"323117","Printing, Publishing,  and Related Activities","Books printing","8387105","53","2738034",,"49379","51659","0.046","0.38","37","2","0","1","0","13","0","35","18","1","13","12","11","13","4"
"323120","Printing, Publishing,  and Related Activities","Support activities for printing","5486813","57","2641806",,"45284","46224","0.021","0.29","42","2","0","1","0","12","0","41","17","0","16","11","8","16","6"
