"fiscal_year","calendar_year","calendar_month","calendar_date_utc","dollars_dispersed","households_served"
"FY 2018","2017","October","2017-10-01T00:00:00.000","150717.53","513"
"FY 2018","2017","November","2017-11-01T00:00:00.000","192953.85","592"
"FY 2018","2017","December","2017-12-01T00:00:00.000","145937.28","471"
"FY 2018","2018","January","2018-01-01T00:00:00.000","124398.44","445"
"FY 2018","2018","February","2018-02-01T00:00:00.000","170119.51","599"
"FY 2018","2018","March","2018-03-01T00:00:00.000","167985.98","540"
"FY 2018","2018","April","2018-04-01T00:00:00.000","156709.64","488"
"FY 2018","2018","May","2018-05-01T00:00:00.000","164912.69","471"
"FY 2018","2018","June","2018-06-01T00:00:00.000","178504.813","550"
"FY 2018","2018","July","2018-07-01T00:00:00.000","186006.4","589"
"FY 2018","2018","August","2018-08-01T00:00:00.000","418609.08","1130"
"FY 2018","2018","September","2018-09-01T00:00:00.000","167047.54","474"
"FY 2019","2018","October","2018-10-01T00:00:00.000","72024.6","203"
"FY 2019","2018","November","2018-11-01T00:00:00.000","238370.03","734"
"FY 2019","2018","December","2018-12-01T00:00:00.000","163953.76","567"
"FY 2019","2019","January","2019-01-01T00:00:00.000","257528.74","793"
"FY 2019","2019","February","2019-02-01T00:00:00.000","218998.15","668"
"FY 2019","2019","March","2019-03-01T00:00:00.000","152789.49","471"
"FY 2019","2019","April","2019-04-01T00:00:00.000","230029.63","717"
"FY 2019","2019","May","2019-05-01T00:00:00.000","183999.03","599"
"FY 2019","2019","June","2019-06-01T00:00:00.000","141220.87","486"
"FY 2019","2019","July","2019-07-01T00:00:00.000","217716.76","748"
"FY 2019","2019","August","2019-08-01T00:00:00.000","295506.45","977"
"FY 2019","2019","September","2019-09-01T00:00:00.000","204048.92","663"
"FY 2017","2017","September","2017-09-01T00:00:00.000","151049.25","509"
"FY 2017","2017","August","2017-08-01T00:00:00.000","216832.58","720"
"FY 2017","2017","July","2017-07-01T00:00:00.000","128268.42","502"
"FY 2017","2017","June","2017-06-01T00:00:00.000","113298.22","392"
"FY 2017","2017","May","2017-05-01T00:00:00.000","119844.12","452"
"FY 2017","2017","April","2017-04-01T00:00:00.000","98918.19","406"
"FY 2017","2017","March","2017-03-01T00:00:00.000","95868.66","328"
"FY 2017","2017","February","2017-02-01T00:00:00.000","127802.31","473"
"FY 2017","2017","January","2017-01-01T00:00:00.000","117665.23","455"
"FY 2017","2016","December","2016-12-01T00:00:00.000","132832.99","430"
"FY 2017","2016","November","2016-11-01T00:00:00.000","118616.9","370"
"FY 2017","2016","October","2016-10-01T00:00:00.000","143159.93","444"
"FY 2016","2016","September","2016-09-01T00:00:00.000","45541.73","213"
"FY 2016","2016","August","2016-08-01T00:00:00.000","140707.31","450"
"FY 2016","2016","July","2016-07-01T00:00:00.000","162205.35","565"
"FY 2016","2016","June","2016-06-01T00:00:00.000","94998.65","346"
"FY 2016","2016","May","2016-05-01T00:00:00.000","90390.09","316"
"FY 2016","2016","April","2016-04-01T00:00:00.000","123252.78","462"
"FY 2016","2016","March","2016-03-01T00:00:00.000","137150.92","425"
"FY 2016","2016","February","2016-02-01T00:00:00.000","97548.62","365"
"FY 2016","2016","January","2016-01-01T00:00:00.000","117342.34","424"
"FY 2016","2015","December","2015-12-01T00:00:00.000","118502.19","359"
"FY 2016","2015","November","2015-11-01T00:00:00.000","104814.83","355"
"FY 2016","2015","October","2015-10-01T00:00:00.000","102233.19","371"
"FY 2015","2014","Oct","2014-10-01T00:00:00.000","51034.76","188"
"FY 2015","2014","Nov","2014-11-01T00:00:00.000","107382.51","352"
"FY 2015","2015","Feb","2015-02-01T00:00:00.000","64338.68","247"
"FY 2015","2015","Jun","2015-06-01T00:00:00.000","92686.11","330"
"FY 2015","2015","Jul","2015-07-01T00:00:00.000","137847.63","472"
"FY 2015","2015","Aug","2015-08-01T00:00:00.000","180966.1","551"
"FY 2015","2015","Sep","2015-09-01T00:00:00.000","86089.2","311"
"FY 2015","2014","Dec","2014-12-01T00:00:00.000","96488.32","373"
"FY 2015","2015","Jan","2015-01-01T00:00:00.000","94667.04","358"
"FY 2015","2015","Mar","2015-03-01T00:00:00.000","85455.37","322"
"FY 2015","2015","Apr","2015-04-01T00:00:00.000","109073.07","383"
"FY 2015","2015","May","2015-05-01T00:00:00.000","81629.45","313"
"FY 2014","2013","Oct","2013-10-01T00:00:00.000","5000","6"
"FY 2014","2013","Nov","2013-11-01T00:00:00.000","83775.68","282"
"FY 2014","2013","Dec","2013-12-01T00:00:00.000","41437.52","184"
"FY 2014","2014","Jan","2014-01-01T00:00:00.000","41681.75","189"
"FY 2014","2014","Feb","2014-02-01T00:00:00.000","59145.9","220"
"FY 2014","2014","Mar","2014-03-01T00:00:00.000","78400.34","231"
"FY 2014","2014","Apr","2014-04-01T00:00:00.000","91241.15","295"
"FY 2014","2014","May","2014-05-01T00:00:00.000","63459.66","266"
"FY 2014","2014","Jun","2014-06-01T00:00:00.000","55755.58","239"
"FY 2014","2014","Jul","2014-07-01T00:00:00.000","104869.26","342"
"FY 2014","2014","Aug","2014-08-01T00:00:00.000","218809.71","575"
"FY 2014","2014","Sep","2014-09-01T00:00:00.000","123325.24","289"
"FY 2013","2012","Oct","2012-10-01T00:00:00.000","1789.95","9"
"FY 2013","2012","Nov","2012-11-01T00:00:00.000","54298.36","203"
"FY 2013","2012","Dec","2012-12-01T00:00:00.000","30344.15","128"
"FY 2013","2013","Jan","2013-01-01T00:00:00.000","42659.03","196"
"FY 2013","2013","Feb","2013-02-01T00:00:00.000","63435.82","207"
"FY 2013","2013","Mar","2013-03-01T00:00:00.000","71424.47","282"
"FY 2013","2013","Apr","2013-04-01T00:00:00.000","58713.54","229"
"FY 2013","2013","May","2013-05-01T00:00:00.000","64519.78","281"
"FY 2013","2013","Jun","2013-06-01T00:00:00.000","42828.86","216"
"FY 2013","2013","Jul","2013-07-01T00:00:00.000","56744.79","234"
"FY 2013","2013","Aug","2013-08-01T00:00:00.000","82823.73","289"
"FY 2013","2013","Sep","2013-09-01T00:00:00.000","65048.88","203"
"FY 2012","2011","Oct","2011-10-01T00:00:00.000","11672.81","73"
"FY 2012","2011","Nov","2011-11-01T00:00:00.000","26324.44","184"
"FY 2012","2011","Dec","2011-12-01T00:00:00.000","20884.64","129"
"FY 2012","2012","Jan","2012-01-01T00:00:00.000","30067.01","170"
"FY 2012","2012","Feb","2012-02-01T00:00:00.000","46881.39","257"
"FY 2012","2012","Mar","2012-03-01T00:00:00.000","32295.91","216"
"FY 2012","2012","Apr","2012-04-01T00:00:00.000","33131.47","198"
"FY 2012","2012","May","2012-05-01T00:00:00.000","32246.42","197"
"FY 2012","2012","Jun","2012-06-01T00:00:00.000","27364.71","179"
"FY 2012","2012","Jul","2012-07-01T00:00:00.000","49497.17","254"
"FY 2012","2012","Aug","2012-08-01T00:00:00.000","41412.7","231"
"FY 2012","2012","Sep","2012-09-01T00:00:00.000","24720.66","159"
"FY 2011","2010","Oct","2010-10-01T00:00:00.000","0",
"FY 2011","2010","Nov","2010-11-01T00:00:00.000","29332.42","204"
"FY 2011","2010","Dec","2010-12-01T00:00:00.000","20124.12","139"
"FY 2011","2011","Jan","2011-01-01T00:00:00.000","29894.84","160"
"FY 2011","2011","Feb","2011-02-01T00:00:00.000","31036.98","180"
"FY 2011","2011","Mar","2011-03-01T00:00:00.000","42484.04","219"
"FY 2011","2011","Apr","2011-04-01T00:00:00.000","21474.96","171"
"FY 2011","2011","May","2011-05-01T00:00:00.000","17804.45","134"
"FY 2011","2011","Jun","2011-06-01T00:00:00.000","35580.82","186"
"FY 2011","2011","Jul","2011-07-01T00:00:00.000","51809.83","265"
"FY 2011","2011","Aug","2011-08-01T00:00:00.000","55888.72","271"
"FY 2011","2011","Sep","2011-09-01T00:00:00.000","29894.84","160"
