"publish_date","fiscal_year","site","total_participants"
"2019-09-30T00:00:00.000","2019","AARC","9422"
"2019-09-30T00:00:00.000","2019","CARVER","7697"
"2019-09-30T00:00:00.000","2019","DAC","33846"
"2019-09-30T00:00:00.000","2019","MACC","12377"
"2019-09-30T00:00:00.000","2019","DICKINSON","3927"
"2019-09-30T00:00:00.000","2019","O'HENRY","6045"
"2019-09-30T00:00:00.000","2019","NEY","2215"
"2019-09-30T00:00:00.000","2019","OBE","0"
"2019-09-30T00:00:00.000","2019","OAKWOOD","101"
"2019-09-30T00:00:00.000","2019","TOTAL","75630"
"2020-09-30T00:00:00.000","2020","AARC","18253"
"2020-09-30T00:00:00.000","2020","CARVER","37640"
"2020-09-30T00:00:00.000","2020","DAC","17759"
"2020-09-30T00:00:00.000","2020","MACC","244992"
"2020-09-30T00:00:00.000","2020","DICKINSON","1889"
"2020-09-30T00:00:00.000","2020","O'HENRY","2470"
"2020-09-30T00:00:00.000","2020","NEY","7421"
"2020-09-30T00:00:00.000","2020","OBE","477"
"2020-09-30T00:00:00.000","2020","OAKWOOD","4055"
"2020-09-30T00:00:00.000","2020","TOTAL","334956"
"2021-09-30T00:00:00.000","2021","AARC","2245"
"2021-09-30T00:00:00.000","2021","CARVER","5754"
"2021-09-30T00:00:00.000","2021","DAC","2159"
"2021-09-30T00:00:00.000","2021","MACC","26547"
"2021-09-30T00:00:00.000","2021","DICKINSON","0"
"2021-09-30T00:00:00.000","2021","O'HENRY","0"
"2021-09-30T00:00:00.000","2021","NEY","0"
"2021-09-30T00:00:00.000","2021","OBE","16"
"2021-09-30T00:00:00.000","2021","OAKWOOD","10926"
"2021-09-30T00:00:00.000","2021","TOTAL","47647"
