"age_group","female","male"
"10-14","0","1"
"90-94","0","2"
"20-24","21","49"
"45-49","4","18"
"30-34","16","44"
"65-69","6","8"
"70-74","5","11"
"60-64","13","9"
"55-59","7","25"
"85-89","2","1"
"50-54","5","17"
"15-19","1","6"
"75-79","1","3"
"35-39","7","24"
"40-44","9","13"
"80-84","2","1"
"25-29","22","39"
