"month","domestic_enplaned_passengers_revenue","domestic_deplaned_passengers_revenue","international_enplaned_passengers_revenue","international_deplaned_passengers_revenue","domestic_enplaned_passengers_non_revenue","domestic_deplaned_passengers_non_revenue","international_enplaned_passengers_non_revenue","international_deplaned_passengers_non_revenue","international_enplaned_pre_cleared_passengers_revenue","international_deplaned_pre_cleared_passengers_revenue","international_enplaned_pre_cleared_passengers_non_revenue","international_deplaned_pre_cleared_passengers_non_revenue","south_terminal_domestic_enplaned_revenue","south_terminal_domestic_deplaned_revenue","south_terminal_domestic_enplaned_non_revenue","south_terminal_domestic_deplaned_non_revenue","total_passengers","air_carrier_operations","commuter_and_air_taxi_operations","military_operations","general_aviation_itinerant_operations","general_aviation_local_operations","general_aviation_total_operations","total_operations","domestic_enplaned_mail","domestic_deplaned_mail","international_enplaned_mail","international_deplaned_mail","south_terminal_intl_enplaned_mail","south_terminal_intl_deplaned_mail","mail_totals","domestic_enplaned_cargo","domestic_deplaned_cargo","international_enplaned_cargo","international_deplaned_cargo","south_terminal_intl_enplaned_cargo","south_terminal_intl_deplaned_cargo","cargo_totals","domestic_enplaned_belly_freight","domestic_deplaned_belly_freight","international_enplaned_belly_freight","international_deplaned_belly_freight","south_terminal_intl_enplaned_belly_freight","south_terminal_intl_deplaned_belly_freight","belly_freight_totals","cargo_totals_cargo_mail_belly_freight","landing_totals","weight_totals","south_terminal_international_enplaned_revenue","south_terminal_international_deplaned_revenue"
"2020-07-01T00:00:00.000","187837","178486","1182","857","6123","5715","12","14","0","0","0","0","13351","12424","34","30","406065","6466","1203","434","2961","0","2961","11064","160380","401020","0","0","0","0","561400","7252651","10923019","16311","0","0","0","18191981","241551","333661","1319","0","0","0","576531","19329912","3401","458639882","0","0"
"2020-06-01T00:00:00.000","130614","122614","0","0","5409","5221","0","0","0","0","0","0","14079","13448","93","100","291578","4044","1106","373","2988","54","3042","8565","148965","210114","0","0","0","0","359079","6484471","10316918","12401","9164","0","0","16822954","117047","168668","0","0","0","0","285715","17467748","2119","293669395","0","0"
"2020-05-01T00:00:00.000","56118","54962","0","0","4812","4397","0","0","0","0","0","0","5124","5321","50","42","130826","2995","782","315","2599","126","2725","6817","107219","216154","0","0","0","0","323373","5129157","7567363","65628","28113","0","0","12790261","199147","275233","0","0","0","0","474380","13588014","1608","223266578","0","0"
"2020-04-01T00:00:00.000","19269","18218","0","0","4693","4309","0","0","0","0","0","0","674","607","7","4","47781","3562","419","332","1036","0","1036","5349","8492","126454","0","0","0","0","134946","4993382","7518444","178024","70163","0","0","12760013","414086","463957","0","0","0","0","878043","13773002","1884","264508162","0","0"
"2020-03-01T00:00:00.000","311943","312765","7913","9364","11945","11186","198","159","1218","737","26","14","16123","16898","91","75","700655","10329","1049","392","2215","4","2219","13989","224273","573266","0","0","0","0","797539","4742209","7546086","271665","138578","0","0","12698538","232930","379628","235880","583655","0","0","1432093","14928170","5278","742099772","0","0"
"2020-02-01T00:00:00.000","569623","575003","10513","10679","13662","12975","159","146","2239","2003","43","41","24759","25383","122","119","1247469","10593","1204","429","3284","28","3312","15538","253146","688612","0","0","0","0","941758","4637665","6396393","250440","143490","0","0","11427988","233724","475967","504491","859512","0","0","2073694","14443440","5382","764833023","0","0"
"2020-01-01T00:00:00.000","575807","595321","12391","13958","14126","12918","124","104","2026","1886","39","45","23804","25744","86","94","1278473","11320","1314","435","3254","56","3310","16379","281638","809745","0","0","0","0","1091383","4966817","7168641","245172","129243","0","0","12509873","248640","474866","293349","613008","0","0","1629863","15231119","5762","812175948","0","0"
"2019-12-01T00:00:00.000","676495","657508","18437","17424","13422","12462","159","141","2513","1972","42","48","35524","34731","91","84","1471053","11936","1343","297","3382","0","3382","16958","247703","634007","0","0","0","0","881710","5056258","7805153","206508","126092","0","0","13194011","315813","503681","326009","969520","0","0","2115023","16190744","6078","848973148","0","0"
"2019-11-01T00:00:00.000","658192","641949","17514","16730","12668","12333","166","165","2908","2463","36","36","44136","43874","126","121","1453417","11726","1491","405","3986","256","4242","17864","240327","718291","0","0","0","0","958618","4965636","7093286","2105227","132001","0","0","14296150","302400","460369","455121","875314","0","0","2093204","17347972","5924","836527780","0","0"
"2019-10-01T00:00:00.000","689021","700155","16516","18998","14237","13284","138","317","4380","4688","53","63","53784","55015","178","229","1571056","12732","1518","545","4207","30","4237","19032","189045","783449","0","0","0","0","972494","5103655","8664751","359777","211997","0","0","14340180","327341","516893","378600","806739","0","0","2029573","17342247","6459","916700076","0","0"
