"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","sump","curb_op","height","depressed","depression_a","st_length","st_width","width","inlet_loc","grate_length","grate_width","depth_to_bottom","manhole","grate_open_percent","inlet_type","marked","globalid","edit_status","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gutter_break","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","dem_calculated_sump","maximo_asset_number","maximo_site_id"
"POINT (-97.743936645468 30.287959872966)","106083","0","1","70957","2224227","95",,,"1939","SSM",,"MMCDONALD","2017-09-15T08:19:29.000Z","MAMARAL","2021-05-05T10:31:27.000Z","GDELANO","SHL","J24","585E","5701192","CITY","CITY","PHYS_INSP","DEM","GPS","3113782.0727","10077974.269","DIG07","SUB-M",,"588.86999512","N","CONCRETE","586.90997314","27","7","T","6","29","27","17","GRADE","30","18","27","NOTPRESENT","40","G3","GOOD","e3622037-fe6d-4bbc-9c41-98631867eaeb","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","DDAVIS","2008-10-09T00:00:00.000Z",,"08032007_1_082.jpg","0",,,"2016-05-15T00:00:00.000Z","0",,,,,"1104962","WPD"
"POINT (-97.735950057894 30.300284232759)","106087","0","1","70902","2014614","112",,"1931-12-01T00:00:00.000Z","1931","SSM",,"JHOLDER","2010-07-08T00:00:00.000Z","DWARDEN","2022-01-05T08:31:57.000Z","DWARDEN","WLR","J25","555X","672020","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3116208.0914","10082514.574","DIG07","SUB-M",,"598.11999512","N","CONCRETE","596.28997803","27","6","T","4","26","24","19","GRADE","30","18","22","NOTPRESENT","50","G3","FAIR","5afc98a5-422d-4a55-9135-82a32a887719","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","3","N","LPUGH","2008-10-21T00:00:00.000Z",,"07052007_2_004.jpg","0",,,,"0",,,,,"1104906","WPD"
"POINT (-97.766609320528 30.27700575687)","105819","0","1","71009","1954130","206","unique combination inlet with grate on top, where manhole would be",,,"NO_SOURCE",,"MAMARAL","2018-05-31T11:51:12.000Z","DWARDEN","2018-10-26T17:25:51.000Z","DWARDEN","JOH","H23","584Q","275300","CITY","CITY","PHYS_INSP","DEM","GPS","3106726.6517","10073827.624","DIG07","SUB-M",,"491.8999939","N","CONCRETE","489.1499939","32","6","T","4","67","27","17","GRADE","50","36","33","NOTPRESENT","50","G3","MARKED","c8e5974e-cb8d-4cc3-b576-e236793fe90e","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2",,"JOSHUA BRIDGES","2007-08-14T00:00:00.000Z",,"08142007_2_009.jpg","0",,,,"0",,,,,"1104788","WPD"
"POINT (-97.730912604821 30.258280947775)","105921","0","1","62440","1105490","290",,"1931-08-18T00:00:00.000Z","1931","SSM","1958","GDELANO","2015-04-23T11:52:20.000Z","GDELANO","2015-04-23T11:55:35.000Z",,"LBL","J21","615B","107000","CITY","CITY","SSM","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"465.42001343","N","NODATA",,,,"N",,"36",,,"NODATA",,,,"NODATA",,"NODATA","NODATA","b74592dd-7799-44b1-b4fc-8ef7571d744a","ENTERED","2022-03-11T21:12:41.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.730482175786 30.256497057645)","105791","0","1","62598","1105490","202",,"1931-06-18T00:00:00.000Z","1931","SSM",,"GDELANO","2015-04-21T16:21:14.000Z","GDELANO","2015-04-21T16:23:43.000Z",,"LBL","J21","615B","245523","CITY","CITY","NO_SOURCE","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"464.92001343","N","NODATA",,,,"N",,,,,"NODATA",,,,"NODATA",,"NODATA","NODATA","e704310f-b62a-4c85-aac4-72d47af4ada2","ENTERED","2022-03-11T21:12:41.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.731909036208 30.275075004104)","106098","0","1","702515","1769842","285",,,,"NO_SOURCE",,"CGORE","2014-05-29T08:25:42.000Z","DWARDEN","2017-08-31T13:37:17.000Z","RODAVILA","WLR","J23","585P","3365592","OTHER","OTHER","NO_SOURCE","NO_SOURCE","PLANNOEL",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,,,,"NODATA",,,,"NODATA",,"NODATA","NODATA","279b1004-d9d9-488d-a4a7-7feec2176b07","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.82677830269 30.305560775522)","106151","0","1","106466","2083090","210",,"1985-11-26T00:00:00.000Z","1985","APPLANEL",,"MAMARAL","2016-02-22T15:19:56.000Z","MAMARAL","2019-04-03T13:43:48.000Z",,"BEE","E25","553S","194738","OTHER","OTHER","PHYS_INSP","DEM","GPS_AERIAL","3087504.67","10083777.035","DIG08","SUB-M",,"799.72998047","N","CONCRETE","797.55999756","80","7","T","3","72","31",,"GRADE","72","24","26","NOTPRESENT","50","G3","NOTMARKED","321b3c1d-3b10-4da1-b18d-92c8fd4c19db","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","DANIEL WHEAT",,,"12012008_5_009.jpg","0",,,,"0",,,,,"1105006","WPD"
"POINT (-97.742459409414 30.284999757797)","105953","0","1","71005","52787","7",,"1935-10-19T00:00:00.000Z","1935","PLANNOEL",,"MBRANNAN","2010-02-05T00:00:00.000Z","MBRANNAN","2010-02-05T00:00:00.000Z","DLEWIS","SHL","J23","585J","475124","CITY","CITY","PHYS_INSP","DEM","GPS","3114280.0592","10076910.811","DIG07","SUB-M",,"572.79998779","N","CONCRETE","569.13000488","33","5","T","4","30","20","18","SAG","30","18","44","NOTPRESENT","50","S3","MARKED","096e0d49-dd5e-4631-9b86-64c2d3db24b9","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LPUGH","2008-10-30T00:00:00.000Z",,"08272007_2_059.jpg","0",,,,"0",,,,,"1104799","WPD"
"POINT (-97.755015940309 30.286160539868)","106139","0","1","70993","2267094","92",,"1934-04-19T00:00:00.000Z","1934","PLANNOEL",,"DLEWIS","2008-10-29T00:00:00.000Z","GDELANO","2022-05-12T16:10:05.000Z","GDELANO","SHL","H24","584H","393710","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3110222.5481","10076891.103","DIG07","SUB-M",,"495.42001343","N","CONCRETE","491.42001343","72","8","T","6","60","29","25","SAG","60","18","48","NOTPRESENT","50","S3","MARKED","2cd7e135-956e-4c55-90bf-6afad43248a5","ENTERED","2022-05-13T05:23:41.000Z","ACTIVE","2","N",,,,"08102007_2_028.jpg","0",,,,"0",,,,,"1104835","WPD"
"POINT (-97.745462735325 30.267899061302)","105833","0","1","95904","2046290","288","This inlet was apparenly buried but chamber and grate still exist.","1931-11-17T00:00:00.000Z","1931","SSM",,"DLEWIS","2009-04-23T00:00:00.000Z","MAMARAL","2018-12-14T14:43:46.000Z","LPUGH","LBL","J22","585S","624374","CITY","CITY","SSM","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"487.45999146","N","NODATA",,,,"N",,"36",,,"NODATA",,,,"NODATA",,"NODATA","NODATA","6af03ecb-0b58-4fb9-911a-9a062c47fe63","ENTERED","2022-03-11T21:12:41.000Z","INACTIVE","0","N",,,,,,,,,"0",,,,,,
