"masterincidentnumber","calendaryear","month","dayofmonth","call_type","problem","battalion","jurisdiction","responsearea","prioritydescription","response_status","districts","location_1"
"14004870","2014","Jan","14","Fire","ELEC - Electrical Fire","B5","AFD","00-2402","3F","Left Blank","-","(30192171, 97735499)"
"14004902","2014","Jan","15","Fire","GRASS - Small Grass Fire","B5","AFD","00-0702","3F","Code 3","-","(30252988, 97712781)"
"14004966","2014","Jan","15","Fire","AUTO - Auto Fire","B3","AFD","00-1803","2F","Code 3","-","(30317053, 97704065)"
"14005003","2014","Jan","15","Fire","AUTO - Auto Fire","B5","AFD","00-2404","2F","Code 3","-","(30156851, 97729833)"
"14005109","2014","Jan","15","Fire","GRASS - Small Grass Fire","B4","AFD","00-1704","3F","Code 3","-","(30234838, 97821532)"
"14005214","2014","Jan","16","Fire","ELEC - Electrical Fire","B5","AFD","00-3502","3F","Code 3","-","(30229422, 97743267)"
"14005299","2014","Jan","16","Fire","TRASH - Trash Fire","B5","AFD","00-3502","3F","Code 3","-","(30220781, 97742353)"
"14005311","2014","Jan","16","Fire","ELEC - Electrical Fire","B5","AFD","00-3502","3F","Code 3","-","(30216677, 97735237)"
"14005333","2014","Jan","16","Fire","TRASH - Trash Fire","B2","AFD","00-4504","3F","Code 3","-","(30491211, 97792033)"
"14005397","2014","Jan","16","Fire","GRASS - Small Grass Fire","B5","AFD","00-1501","3F","Code 3","-","(30259722, 97693356)"
"14005438","2014","Jan","16","Fire","AUTO - Auto Fire","B2","AFD","00-2104","2F","Code 3","-","(30374925, 97739799)"
"14005445","2014","Jan","16","Fire","TRASH - Trash Fire","B4","AFD","00-1701","3F","Code 1","-","(30218802, 97766501)"
"14005701","2014","Jan","17","Fire","TRASH - Trash Fire","B2","AFD","00-3802","3F","Code 3","-","(30455444, 97825791)"
"14005733","2014","Jan","17","Fire","AUTO - Auto Fire","B4","AFD","00-2705","2F","Code 3","-","(30205115, 97863478)"
"14005744","2014","Jan","17","Fire","BOXL- Structure Fire","B3","AFD","00-1802","1F","Code 3","-","(30312881, 97689418)"
"14005788","2014","Jan","17","Fire","AUTO - Auto Fire","B5","AFD","00-2201","2F","Code 3","-","(30225888, 97720395)"
"14005853","2014","Jan","17","Fire","AUTO - Auto Fire","B4","AFD","00-1710","2F","Code 3","-","(30196655, 97765705)"
"14005857","2014","Jan","18","Fire","ELEC - Electrical Fire","B3","AFD","00-1802","3F","Left Blank","-","(30306745, 97671532)"
"14005872","2014","Jan","18","Fire","TRASH - Trash Fire","B4","AFD","00-1702","3F","Code 1","-","(30216615, 97775657)"
"14005884","2014","Jan","18","Fire","ELEC - Electrical Fire","B3","AFD","00-1803","3F","Code 3","-","(30310451, 97705983)"
"14005923","2014","Jan","18","Fire","TRASH - Trash Fire","B3","AFD","00-1803","3F","Code 3","-","(30312995, 97699561)"
"14005941","2014","Jan","18","Fire","ELEC - Electrical Fire","B3","AFD","00-2601","3F","Code 3","-","(30298567, 97623247)"
"14005942","2014","Jan","18","Fire","ELEC - Electrical Fire","B5","AFD","00-0601","3F","Code 3","-","(30248926, 97748651)"
"14006017","2014","Jan","18","Fire","ELEC - Electrical Fire","B4","AFD","00-3201","3F","Code 3","-","(30273675, 97799785)"
"14006080","2014","Jan","18","Fire","TRASH - Trash Fire","B4","AFD","00-1703","3F","Code 3","-","(30223209, 97779345)"
"14006085","2014","Jan","18","Fire","ELEC - Electrical Fire","B3","AFD","00-1803","3F","Code 3","-","(30318815, 97702876)"
"14006093","2014","Jan","18","Fire","TRASH - Trash Fire","B1","AFD","00-0302","3F","Code 3","-","(30308297, 97755189)"
"14006104","2014","Jan","18","Fire","TRASH - Trash Fire","B3","AFD","00-4001","3F","Code 3","-","(30396736, 97657201)"
"14006113","2014","Jan","18","Fire","BBQ - Unsafe Cooking","B4","AFD","00-1707","4F","Code 3","-","(30225913, 97762265)"
"14006157","2014","Jan","18","Fire","ELEC - Electrical Fire","B3","AFD","00-1403","3F","Code 3","-","(30291779, 97715234)"
"14006174","2014","Jan","18","Fire","GRASS - Small Grass Fire","B1","AFD","00-0201","3F","Code 3","-","(30282546, 97744833)"
"14006190","2014","Jan","18","Fire","DUMP - Dumpster Fire","B4","AFD","00-2005","3F","Code 3","-","(30208727, 97785266)"
"14006204","2014","Jan","18","Fire","AUTO - Auto Fire","B3","AFD","00-4001","2F","Code 3","-","(30407863, 97673951)"
"14006209","2014","Jan","18","Fire","BOXL- Structure Fire","B3","AFD","00-2601","1F","Code 3","-","(30295828, 97628178)"
"14006240","2014","Jan","19","Fire","ELEC - Electrical Fire","B2","AFD","00-3908","3F","Code 3","-","(30390995, 97837418)"
"14006247","2014","Jan","19","Fire","TRASH - Trash Fire","B3","AFD","00-3003","3F","Code 3","-","(30377182, 97676715)"
"14006317","2014","Jan","19","Fire","TRASH - Trash Fire","B5","AFD","00-1502","3F","Code 3","-","(30237387, 97685314)"
"14006369","2014","Jan","19","Fire","AUTO - Auto Fire","B3","AFD","00-4001","2F","Code 3","-","(30405335, 97651361)"
"14006405","2014","Jan","19","Fire","TRASH - Trash Fire","B1","AFD","00-0101","3F","Code 3","-","(30267033, 97739203)"
"14006484","2014","Jan","19","Fire","DUMP - Dumpster Fire","B5","AFD","00-2201","3F","Code 3","-","(30228929, 97721476)"
"14006498","2014","Jan","19","Fire","TRASH - Trash Fire","B1","AFD","00-0101","3F","Code 3","-","(30254397, 97735225)"
"14006602","2014","Jan","20","Fire","ELEC - Electrical Fire","B3","AFD","00-0804","3F","Code 3","-","(30350281, 97718512)"
"14006686","2014","Jan","20","Fire","ELEC - Electrical Fire","B1","AFD","00-1204","3F","Code 3","-","(30327426, 97733785)"
"14006744","2014","Jan","20","Fire","TRASH - Trash Fire","B5","AFD","00-2403","3F","Code 3","-","(30179644, 97756716)"
"14006749","2014","Jan","20","Fire","TRASH - Trash Fire","B5","AFD","00-0501","3F","Code 3","-","(30269335, 97689514)"
"14006795","2014","Jan","20","Fire","TRASH - Trash Fire","B1","AFD","00-0302","3F","Code 3","-","(30299306, 97750649)"
"14006814","2014","Jan","20","Fire","AUTO - Auto Fire","B3","AFD","00-3005","2F","Code 3","-","(30368205, 97689251)"
"14006836","2014","Jan","21","Fire","GRASS - Small Grass Fire","B4","AFD","00-3608","3F","Left Blank","-","(30159384, 97789566)"
"14006876","2014","Jan","21","Fire","GRASS - Small Grass Fire","B3","AFD","00-1403","3F","Code 3","-","(30282438, 97704725)"
"14006860","2014","Jan","21","Fire","TRASH - Trash Fire","B3","AFD","00-2601","3F","Code 3","-","(0.0, 0.0)"
"14006904","2014","Jan","21","Fire","TRASH - Trash Fire","B5","AFD","00-0601","3F","Code 3","-","(30248028, 97735759)"
"14006905","2014","Jan","21","Fire","TRASH - Trash Fire","B1","AFD","00-0101","3F","Left Blank","-","(30254085, 97736511)"
"14006950","2014","Jan","21","Fire","ELEC - Electrical Fire","B2","AFD","00-3904","3F","Code 3","-","(30399549, 97850814)"
"14006951","2014","Jan","21","Fire","GRASS - Small Grass Fire","B2","AFD","00-2104","3F","Code 3","-","(30361203, 97744023)"
"14006952","2014","Jan","21","Fire","GRASS - Small Grass Fire","B2","AFD","00-2104","3F","Code 3","-","(30361299, 97744438)"
"14006953","2014","Jan","21","Fire","GRASS - Small Grass Fire","B2","AFD","00-2101","3F","Left Blank","-","(30355435, 97746525)"
"14006962","2014","Jan","21","Fire","TRASH - Trash Fire","B5","AFD","00-0601","3F","Code 3","-","(30248028, 97735759)"
"14006985","2014","Jan","21","Fire","TRASH - Trash Fire","B3","AFD","00-2303","3F","Code 3","-","(30329801, 97676213)"
"14007031","2014","Jan","21","Fire","ELEC - Electrical Fire","B2","AFD","00-3904","3F","Code 3","-","(30399549, 97850814)"
"14007032","2014","Jan","21","Fire","TRASH - Trash Fire","B5","AFD","00-2401","3F","Code 1","-","(30191571, 97739939)"
"14007041","2014","Jan","21","Fire","AUTO - Auto Fire","B2","AFD","00-2103","2F","Code 3","-","(30385016, 97766748)"
"14007098","2014","Jan","21","Fire","DUMP - Dumpster Fire","B1","AFD","00-0301","3F","Code 3","-","(30291373, 97745987)"
"14007159","2014","Jan","22","Fire","ELEC - Electrical Fire","B5","AFD","00-4209","3F","Left Blank","-","(30173566, 97614132)"
"14007258","2014","Jan","22","Fire","ELEC - Electrical Fire","B3","AFD","00-2601","3F","Code 3","-","(30297333, 97628681)"
"14007296","2014","Jan","22","Fire","GRASS - Small Grass Fire","B5","AFD","00-0601","3F","Code 3","-","(30236704, 97748804)"
"14007297","2014","Jan","22","Fire","GRASS - Small Grass Fire","B5","AFD","00-0602","3F","Left Blank","-","(30236704, 97748804)"
"14007301","2014","Jan","22","Fire","GRASS - Small Grass Fire","B3","AFD","00-1802","3F","Code 3","-","(30301488, 97694025)"
"14007359","2014","Jan","22","Fire","TRASH - Trash Fire","B4","AFD","00-2004","3F","Code 3","-","(30212462, 97802372)"
"14007369","2014","Jan","22","Fire","BBQ - Unsafe Cooking","B4","AFD","00-1101","4F","Code 1","-","(30254957, 97764143)"
"14007424","2014","Jan","22","Fire","TRASH - Trash Fire","B4","AFD","00-1705","3F","Code 3","-","(30236222, 97794571)"
"14007463","2014","Jan","22","Fire","DUMP - Dumpster Fire","B5","AFD","00-2202","3F","Code 3","-","(30231368, 97725365)"
"14007649","2014","Jan","23","Fire","AUTO - Auto Fire","B3","AFD","00-1407","2F","Code 3","-","(30311207, 97713391)"
"14007848","2014","Jan","23","Fire","ELEC - Electrical Fire","B3","AFD","00-3004","3F","Code 3","-","(30394254, 97671294)"
"14007919","2014","Jan","24","Fire","BBQ - Unsafe Cooking","B5","AFD","00-2202","4F","Left Blank","-","(30231368, 97725365)"
"14008042","2014","Jan","24","Fire","DUMP - Dumpster Fire","B3","AFD","00-2803","3F","Code 3","-","(30410555, 97695846)"
"14008106","2014","Jan","24","Fire","ELEC - Electrical Fire","B5","AFD","00-2403","3F","Code 1","-","(30188225, 97764379)"
"14008136","2014","Jan","24","Fire","AUTO - Auto Fire","B2","AFD","00-2103","2F","Code 3","-","(30385016, 97766748)"
"14008174","2014","Jan","24","Fire","TRASH - Trash Fire","B3","AFD","00-0805","3F","Code 3","-","(30371126, 97732556)"
"14008178","2014","Jan","24","Fire","TRASH - Trash Fire","B5","AFD","00-2403","3F","Code 1","-","(30172202, 97752259)"
"14008216","2014","Jan","24","Fire","TRASH - Trash Fire","B3","AFD","00-3001","3F","Code 3","-","(30383324, 97707467)"
"14008240","2014","Jan","24","Fire","DUMP - Dumpster Fire","B1","AFD","00-0303","3F","Code 3","-","(30295095, 97736312)"
"14008257","2014","Jan","24","Fire","AUTO - Auto Fire","B3","AFD","00-0805","2F","Code 3","-","(30358311, 97735539)"
"14008403","2014","Jan","25","Fire","ELEC - Electrical Fire","B1","AFD","00-1202","3F","Code 3","-","(30322776, 97740529)"
"14008420","2014","Jan","25","Fire","AUTO - Auto Fire","B3","AFD","00-1401","2F","Code 3","-","(30306342, 97708141)"
"14008462","2014","Jan","25","Fire","AUTO - Auto Fire","B2","AFD","00-3402","2F","Code 3","-","(30460005, 97812181)"
"14008551","2014","Jan","25","Fire","TRASH - Trash Fire","B3","AFD","00-2302","3F","Code 3","-","(30350775, 97675987)"
"14008569","2014","Jan","25","Fire","ELEC - Electrical Fire","B2","AFD","00-3910","3F","Left Blank","-","(30326947, 97920218)"
"14008572","2014","Jan","25","Fire","BBQ - Unsafe Cooking","B3","AFD","00-0801","4F","Code 1","-","(30375791, 97711007)"
"14008610","2014","Jan","25","Fire","DUMP - Dumpster Fire","B5","AFD","00-2202","3F","Code 3","-","(30235959, 97728493)"
