"class","fiscal_year","number_of_projects_aegb_rated","number_of_projects_leed_reviewed","total_square_footage_aegb_rated_projects","number_of_residential_units_aegb_rated","number_of_smart_housing_units_aegb_rated","estimated_energy_savings_mbtu","estimated_demand_savings_kw","estimated_electric_energy_savings_kwh","estimated_gas_savings_ccf","indoor_potable_water_reduction_gallons","irrigation_potable_water_reduction_gallons_month_of_july","process_portable_water_reduction_1000_gallons_","construction_waste_diverted_from_landfill_tons","number_of_aegb_rated_residential_units_outside_ae_service","number_of_aegb_rated_units_in_s_m_a_r_t_developments_outside_ae_service","projects_sq_ft_outside_ae_service","start_date","end_date"
"Commercial","2007","16","0","720137","0","0","27158","1514","3716","1511.73","2316","12649",,"3752",,,,"2006-10-01T00:00:00.000","2007-09-30T00:00:00.000"
"Multifamily","2007","9","0","1590010","1288","1267",,"801",,,,,,,,,,"2006-10-01T00:00:00.000","2007-09-30T00:00:00.000"
"Single Family","2007","981","0","1869786","981","834",,"817","1470",,,,,,,,,"2006-10-01T00:00:00.000","2007-09-30T00:00:00.000"
"Commercial","2008","17","0","2328639","988","0","72976","4774","13377","2891.86","11255","40153",,"62120",,,,"2007-10-01T00:00:00.000","2008-09-30T00:00:00.000"
"Multifamily","2008","10","0","1877331","1607","1017",,"1301",,,,,,,,,,"2007-10-01T00:00:00.000","2008-09-30T00:00:00.000"
"Single Family","2008","1021","0","1927860","1021","617",,"850","1529",,,,,,"2",,,"2007-10-01T00:00:00.000","2008-09-30T00:00:00.000"
"Commercial","2009","27","3","2637973","1392","191","42665","4813","11934","1750.94","14153","11509",,"32443",,,,"2008-10-01T00:00:00.000","2009-09-30T00:00:00.000"
"Multifamily","2009","8","0","2069179","1721","218",,"950","1812",,"1164",,,"926",,,,"2008-10-01T00:00:00.000","2009-09-30T00:00:00.000"
"Single Family","2009","712","0","1248848","712","389",,"593","1067",,,,,,,,,"2008-10-01T00:00:00.000","2009-09-30T00:00:00.000"
"Commercial","2010","19","2","2295234","1296","433","19419","1650","5299","251.24","32349","103314",,"17771",,,,"2009-10-01T00:00:00.000","2010-09-30T00:00:00.000"
"Multifamily","2010","7","0","1550817","970","36",,"504","641",,"3008","17761",,"2605",,,,"2009-10-01T00:00:00.000","2010-09-30T00:00:00.000"
"Single Family","2010","722","0","1315484","722","304",,"601","1082",,,,,,,,,"2009-10-01T00:00:00.000","2010-09-30T00:00:00.000"
"Commercial","2011","20","0","1417141","291","0","25629","1729","7503","135.78","5818","30751",,"11579",,,,"2010-10-01T00:00:00.000","2011-09-20T00:00:00.000"
"Multifamily","2011","5","0","407991","370","334",,"90","208",,"5575","2975",,"4844",,,,"2010-10-01T00:00:00.000","2011-09-20T00:00:00.000"
"Single Family","2011","585","0","988650","585","369",,"341","200",,,,,,"15",,,"2010-10-01T00:00:00.000","2011-09-20T00:00:00.000"
"Commercial","2012","12","0","1410984","341","0","8009","1382","1747","243.79","4054","4457",,"10612",,,,"2011-10-01T00:00:00.000","2012-09-30T00:00:00.000"
"Multifamily","2012","5","0","721401","711","711",,"191","1813",,"5205","1822",,"28731",,,,"2011-10-01T00:00:00.000","2012-09-30T00:00:00.000"
"Single Family","2012","347","0","603204","347","263",,"207","121",,,,,,"9","0",,"2011-10-01T00:00:00.000","2012-09-30T00:00:00.000"
"Commercial","2013","14","1","1525054","300","0","53590","3019","10428","1859.12","5950","7528",,"14191",,,,"2012-10-01T00:00:00.000","2013-09-30T00:00:00.000"
"Multifamily","2013","12","0","1648527","1548","696",,"1176","3751",,"13540","630",,"9293",,,,"2012-10-01T00:00:00.000","2013-09-30T00:00:00.000"
"Single Family","2013","616","0","1146171","616","514",,"362","211",,,,,,"12",,,"2012-10-01T00:00:00.000","2013-09-30T00:00:00.000"
"Commercial","2014","19","3","3040720","1618","824","62485","3450","9419","755.72","19720","13618",,"23443",,,,"2013-10-01T00:00:00.000","2014-09-30T00:00:00.000"
"Multifamily","2014","13","0","2359673","2067","411",,"1053","4788",,"20127","4099",,"18042",,,,"2013-10-01T00:00:00.000","2014-09-30T00:00:00.000"
"Single Family","2014","729","0","1981188","729","623",,"481","944",,,,,,"56","0",,"2013-10-01T00:00:00.000","2014-09-30T00:00:00.000"
"Commercial","2015","19","2","2938440","358","0","50023","4046","11783","1193.96","6823","19980",,"29744",,,,"2014-10-01T00:00:00.000","2015-09-30T00:00:00.000"
"Multifamily","2015","14","0","3305387","2554","1045",,"1724","6135",,"23053","5076",,"24665",,,,"2014-10-01T00:00:00.000","2015-09-30T00:00:00.000"
"Single Family","2015","701","0","1764677","701","376",,"513","928",,,,,,"162","0",,"2014-10-01T00:00:00.000","2015-09-30T00:00:00.000"
"Commercial","2016","14","2","3000045","824","125","59672","2677","9396","2052.11","11551","2945",,"15756",,,,"2015-10-01T00:00:00.000","2016-09-30T00:00:00.000"
"Multifamily","2016","11","0","3061867","2738","1001",,"1420","4073","132.95","21525","8160",,"15327",,,,"2015-10-01T00:00:00.000","2016-09-30T00:00:00.000"
"Single Family","2016","628","0","1740048","628","438",,"532","799",,,,,,"147","0",,"2015-10-01T00:00:00.000","2016-09-30T00:00:00.000"
"Commercial","2017","25","3","2113280","639","0","43856","2746","11388","531.93","8463","64212","798","16365",,,,"2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Multifamily","2017","11","0","1653233","1462","813",,"1068","2731","264.76","13101","23894",,"6696",,,,"2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Single Family","2017","649","0","2164187","649","400",,"504","816",,,,,,"355","168",,"2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Commercial","2018","26","2","5404363","901","250","81540","5040","10762","3130.45","22427","4426","3917","39331",,,,"2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Multifamily","2018","14","0","3139624","2658","1629","19269","1460","5078","240.3","21128","9694",,"14171",,,,"2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Single Family","2018","669","0","1555919","669","270",,"531","846",,,,,,"226","0","428368","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Commercial","2019","27","3","4642408","1359","140","55565","2674","6566","2148.19","15182","16145","31905","33208",,,,"2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Multifamily","2019","12","0","1795745","1617","1117","6572","474","1322","232.75","15267","10984",,"5676",,,,"2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Single Family","2019","785","0","1909337","785","358",,"661","1056",,,,,,"228","0","476584","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Commercial","2020","21","4","4220531","416","0","56901","5743","13315","1672.97","12321","19055","14281","61775",,,,"2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Multifamily","2020","15","0","4252634","3233","965","22681","1509","3887","1024.25","26776","10608",,"20485","240",,,"2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Single Family","2020","700","0","2259780","700","411",,"493","812",,,,,,"496","0","1032721","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Commercial","2021","27","2","5830685","1796","1021","30441","3988","9927","249.14","28717","15897","4894","1244939",,,,"2020-09-01T00:00:00.000","2021-09-30T00:00:00.000"
"Multifamily","2021","14","0","2893444","2458","1619","12390","969","3151","292.16","18813","10025",,"11290",,,,"2020-09-01T00:00:00.000","2021-09-30T00:00:00.000"
"Single Family","2021","359","0","708559","359","176",,"283","439",,,,,,"575","0","1181435","2020-09-01T00:00:00.000","2021-09-30T00:00:00.000"
