"year","metric"
"2012-09-30T00:00:00.000","0.1506"
"2013-09-30T00:00:00.000","0.203"
"2014-09-30T00:00:00.000","0.208"
"2015-09-30T00:00:00.000","0.231"
"2016-09-30T00:00:00.000","0.298"
"2017-09-30T00:00:00.000","0.364"
"2018-09-30T00:00:00.000","0.375"
"2019-09-30T00:00:00.000","0.38"
"2020-09-30T00:00:00.000","0.41"
"2021-09-30T00:00:00.000","0.47"
