"fiscal_year_2","avg_no_of_payment_arrangements_per_month","residential_peak_per_fiscal_year"
"2006-01-01T00:00:00.000","6160","4900000"
"2007-01-01T00:00:00.000","7301","7700000"
"2008-01-01T00:00:00.000","11366","9500000"
"2009-01-01T00:00:00.000","11984","10300000"
"2010-01-01T00:00:00.000","12389","9100000"
"2011-01-01T00:00:00.000","13175","9000000"
"2012-01-01T00:00:00.000","7032","8005643"
"2013-01-01T00:00:00.000","10871","20235423"
"2014-01-01T00:00:00.000","22049","29864421"
"2015-01-01T00:00:00.000","26587","32039176"
"2016-01-01T00:00:00.000","22321","23239060"
"2017-01-01T00:00:00.000","20870","16445769"
"2018-01-01T00:00:00.000","20322","12519642"
"2019-01-01T00:00:00.000","21235","12522153"
