"fiscal_year","residential","secondary_1","secondary_2","secondary_3","primary_1","primary_2","lighting","contract_tes_trans_highload","total_billed_kwh"
"FY2019","4577217969","319012162","2749155606","2441653105","298847225","852641636","57485610","2150473737","13446487050"
"FY2018","4613473017","313475543","2766367386","2372395840","373505280","780017938","56827703","2133739322","13409802029"
"FY2017","4353609791","308984303","2302953743","2799977646","316536761","758006943","56666831","2085942913","12982678931"
"FY2016","4243567040","310598522","953367747","4119850829","262977768","769212837","56615029","2157733311","12873923083"
