"no","fiscal_year","average_speed","year_date","date_created"
"1","2016","14.1","2016-01-01T00:00:00.000","2020-12-03T00:00:00.000"
"2","2017","13.9","2017-01-01T00:00:00.000","2020-12-03T00:00:00.000"
"3","2018","14.1","2018-01-01T00:00:00.000","2020-12-03T00:00:00.000"
"4","2019","13.8","2019-01-10T00:00:00.000","2020-12-03T00:00:00.000"
"5","2020","13.9","2020-01-01T00:00:00.000","2020-12-03T00:00:00.000"
"6","2021","14.1","2021-01-01T00:00:00.000","2022-05-06T00:00:00.000"
