"fiscal_year","month","households_served"
"2008","September","97"
"2008","August","91"
"2008","July","86"
"2008","June","80"
"2008","May","78"
"2008","April","72"
"2008","March","72"
"2008","February","73"
"2008","January","71"
"2008","December","96"
"2008","November","99"
"2008","October","91"
"2009","September","99"
"2009","August","96"
"2009","July","101"
"2009","June","105"
"2009","May","104"
"2009","April","104"
"2009","March","103"
"2009","February","99"
"2009","January","99"
"2009","December","93"
"2009","November","96"
"2009","October","104"
"2010","September","97"
"2010","August","99"
"2010","July","95"
"2010","June","101"
"2010","May","90"
"2010","April","95"
"2010","March","92"
"2010","February","89"
"2010","January","88"
"2010","December","125"
"2010","November","119"
"2010","October","112"
"2011","September","201"
"2011","August","198"
"2011","July","180"
"2011","June","166"
"2011","May","161"
"2011","April","155"
"2011","March","147"
"2011","February","138"
"2011","January","132"
"2011","December","125"
"2011","November","119"
"2011","October","194"
"2012","September","203"
"2012","August","199"
"2012","July","200"
"2012","June","195"
"2012","May","197"
"2012","April","192"
"2012","March","190"
"2012","February","193"
"2012","January","188"
"2012","December","172"
"2012","November","194"
"2012","October","189"
"2013","September","245"
"2013","July","238"
"2013","May","228"
"2013","April","222"
"2013","March","211"
"2013","February","209"
"2013","January","204"
"2013","December","208"
"2013","November","198"
"2013","October","193"
"2013","August","231"
"2013","June","233"
"2014","March","289"
"2014","December","259"
"2014","June","299"
"2014","November","248"
"2014","September","329"
"2014","October","288"
"2014","February","337"
"2014","August","323"
"2014","April","294"
"2014","January","273"
"2014","July","315"
"2014","May","291"
"2015","October","308"
"2015","March","312"
"2015","August","327"
"2015","July","320"
"2015","February","304"
"2015","April","322"
"2015","June","322"
"2015","December","305"
"2015","September","344"
"2015","January","298"
"2015","May","321"
"2015","November","314"
"2016","October","350"
"2016","November","354"
"2016","December","370"
"2016","January","379"
"2016","February","399"
"2016","March","342"
"2016","April","358"
"2016","May","374"
"2016","June","380"
"2016","July","387"
"2016","August","362"
"2016","September","366"
"2017","October","441"
"2017","November","459"
"2017","December","489"
"2017","January","508"
"2017","February","574"
"2017","March","505"
"2017","April","517"
"2017","May","526"
"2017","June","494"
"2017","July","580"
"2017","August","628"
"2017","September","620"
"2018","October","525"
"2018","November","546"
"2018","December","559"
"2018","January","573"
"2018","February","598"
"2018","March","478"
"2018","April","488"
"2018","May","533"
"2018","June","543"
"2018","July","544"
"2018","August","556"
"2018","September","571"
"2019","October","819"
"2019","November","900"
"2019","December","740"
"2019","January","734"
"2019","February","698"
"2019","March","759"
"2019","April","752"
"2019","May","681"
"2019","June","695"
"2019","July","729"
"2019","August","725"
"2019","September","711"
