"id","sensor_id","location_name","location","timestamp","voltage_y","voltage_x","voltage_ratio","air_temp_secondary","temp_surface","condition_code_displayed","condition_code_measured","condition_text_displayed","condition_text_measured","friction_code_displayed","friction_code_measured","friction_value_displayed","friction_value_measured","dirty_lens_score","grip_text","relative_humidity","air_temp_primary","air_temp_tertiary","status_code"
"440008","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-19T02:52:52.000","1718","1741","0.987","-0.19","2.41","1","1","DRY","DRY","3","3","0.7","0.7","4","GOOD","83.07","-0.53","8.21","101"
"420028","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-08T05:35:25.000","2302","2331","0.987","-1.97","0.55","1","1","DRY","DRY","2","2","0.8","0.8","0","GOOD","94.52","-2.33","6.1","101"
"420029","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-08T05:35:25.000","2993","2795","1.071","12.69","100.1","1","1","DRY","DRY","2","2","0.82","0.82","0","GOOD","43.5","12.57","21.29","-102"
"420030","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-08T05:36:26.000","2299","2337","0.984","-1.97","0.47","1","1","DRY","DRY","2","2","0.8","0.8","0","GOOD","94.56","-2.35","6.11","101"
"420031","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-08T05:36:26.000","2990","2838","1.054","12.69","100.1","1","1","DRY","DRY","2","2","0.82","0.82","0","GOOD","43.5","12.57","21.28","-102"
"410561","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T16:25:44.000","919","971","0.947","9.41","10.31","2","2","WT1","WT1","5","5","0.5","0.5","4","FAIR","91.55","9.14","18.5","101"
"410562","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T16:25:44.000","988","747","1.322","10.75","11.27","2","2","WT1","WT1","10","10","0.63","0.63","4","GOOD","76.21","10.77","29.52","-102"
"410563","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T16:26:44.000","919","969","0.948","9.41","10.23","2","2","WT1","WT1","5","5","0.5","0.5","4","FAIR","91.72","9.14","18.48","101"
"410564","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T16:26:44.000","1032","723","1.427","10.77","11.21","2","2","WT1","WT1","10","10","0.63","0.63","4","GOOD","75.71","10.77","29.51","-102"
"410565","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T16:27:45.000","906","962","0.942","9.41","10.31","2","2","WT1","WT1","5","5","0.5","0.5","4","FAIR","91.9","9.14","18.46","101"
"410566","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T16:27:45.000","1034","786","1.315","10.63","11.21","2","2","WT1","WT1","10","10","0.63","0.63","4","GOOD","75.5","10.71","29.44","-102"
"410567","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T16:28:45.000","932","979","0.951","9.41","10.25","2","2","WT1","WT1","5","5","0.5","0.5","4","FAIR","91.63","9.11","18.45","101"
"410568","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T16:28:45.000","1022","759","1.346","10.73","11.23","2","2","WT1","WT1","10","10","0.63","0.63","4","GOOD","75.92","10.74","29.39","-102"
"420032","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-08T05:37:26.000","3065","2790","1.098","12.69","100.1","1","1","DRY","DRY","2","2","0.82","0.82","0","GOOD","43.5","12.57","21.29","-102"
"420033","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-08T05:38:26.000","2984","2863","1.042","12.69","100.1","1","1","DRY","DRY","2","2","0.82","0.82","0","GOOD","43.5","12.57","21.29","-102"
"420034","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-08T05:39:27.000","3048","2822","1.08","12.69","100.1","1","1","DRY","DRY","2","2","0.82","0.82","0","GOOD","43.5","12.57","21.27","-102"
"429884","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-13T20:53:28.000","1858","1841","1.009","6.27","9.15","1","1","DRY","DRY","2","2","0.8","0.8","0","GOOD","71.39","5.86","15.02","101"
"410345","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T14:37:14.000","868","723","1.201","11.03","12.23","2","2","WT1","WT1","8","8","0.5","0.5","4","FAIR","94.07","10.74","20.13","101"
"410346","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T14:37:14.000","877","379","2.316","11.99","12.63","3","3","WT2","WT2","13","13","0.51","0.51","4","FAIR","77.43","12.04","30.23","-102"
"410347","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T14:38:14.000","860","737","1.166","11.03","12.37","2","2","WT1","WT1","8","8","0.5","0.5","4","FAIR","94.29","10.72","20.11","101"
"410348","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T14:38:14.000","853","354","2.41","11.97","12.71","3","3","WT2","WT2","13","13","0.51","0.51","4","FAIR","77.86","12.01","30.14","-102"
"410349","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-02T14:39:15.000","877","766","1.145","11.07","12.31","2","2","WT1","WT1","8","8","0.5","0.5","4","FAIR","95.26","10.75","20.09","101"
"410350","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-02T14:39:15.000","846","335","2.529","11.91","12.59","3","3","WT2","WT2","13","13","0.51","0.51","4","FAIR","77.95","11.96","30.11","-102"
"429885","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-13T20:54:29.000","1863","1850","1.007","6.21","9.01","1","1","DRY","DRY","2","2","0.8","0.8","0","GOOD","72.19","5.84","14.98","101"
"440009","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-19T02:53:52.000","1719","1740","0.988","-0.19","2.43","1","1","DRY","DRY","3","3","0.7","0.7","4","GOOD","83.56","-0.53","8.2","101"
"440010","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-19T02:54:52.000","1720","1740","0.989","-0.21","2.39","1","1","DRY","DRY","3","3","0.7","0.7","4","GOOD","83.66","-0.55","8.19","101"
"449464","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-24T04:42:15.000","799","957","0.834","-1.39","-0.31","2","3","WT1","WT2","5","5","0.5","0.5","4","FAIR","91.08","-1.59","4.52","101"
"449465","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-24T04:42:31.000","1524","1553","0.981","-1.03","100.1","1","1","DRY","DRY","4","4","0.77","0.77","4","GOOD","82.59","-1.15","17.17","-102"
"449466","2","FM 2222 RD / LAKEWOOD DR","POINT (-97.7877274 30.3589134)","2022-02-24T04:43:15.000","814","951","0.856","-1.43","-0.39","2","2","WT1","WT1","5","5","0.5","0.5","4","FAIR","91.2","-1.58","5.11","101"
"449467","1","11TH ST / 35 SVRD","POINT (-97.7324753 30.2703285)","2022-02-24T04:43:34.000","1535","1575","0.974","-1.03","100.1","1","1","DRY","DRY","4","4","0.77","0.77","4","GOOD","82.59","-1.15","17.18","-102"
