"fiscal_year","date","number_of_customers","customer_service_charge_savings","electric_bill_discount_10_savings","community_benefit_charge_discount_savings","totals","kwh_charge_savings","kwh"
"2006","2006-09-01T00:00:00.000","5379","32274",,,,,
"2006","2006-08-01T00:00:00.000","5736","34416",,,,,
"2006","2006-07-01T00:00:00.000","6067","36402",,,,,
"2006","2006-06-01T00:00:00.000","6177","37062",,,,,
"2006","2006-05-01T00:00:00.000","5751","34506",,,,,
"2006","2006-04-01T00:00:00.000","4644","27864",,,,,
"2006","2006-03-01T00:00:00.000","4377","26262",,,,,
"2006","2006-02-01T00:00:00.000","4444","26664",,,,,
"2006","2006-01-01T00:00:00.000","4470","26820",,,,,
"2006","2005-12-01T00:00:00.000","4447","26682",,,,,
"2006","2005-11-01T00:00:00.000","4367","26202",,,,,
"2006","2005-10-01T00:00:00.000","3649","21894",,,,,
"2007","2007-09-01T00:00:00.000","4739","28434",,,,,
"2007","2007-08-01T00:00:00.000","4878","29268",,,,,
"2007","2007-07-01T00:00:00.000","5054","30324",,,,,
"2007","2007-06-01T00:00:00.000","5195","31170",,,,,
"2007","2007-05-01T00:00:00.000","5139","30834",,,,,
"2007","2007-04-01T00:00:00.000","5094","30564",,,,,
"2007","2007-03-01T00:00:00.000","5108","30648",,,,,
"2007","2007-02-01T00:00:00.000","5191","31146",,,,,
"2007","2007-01-01T00:00:00.000","5229","31374",,,,,
"2007","2006-12-01T00:00:00.000","5292","31752",,,,,
"2007","2006-11-01T00:00:00.000","5337","32022",,,,,
"2007","2006-10-01T00:00:00.000","5353","32118",,,,,
"2008","2008-09-01T00:00:00.000","4002","24012",,,,,
"2008","2008-08-01T00:00:00.000","3985","23910",,,,,
"2008","2008-07-01T00:00:00.000","3680","22080",,,,,
"2008","2008-06-01T00:00:00.000","3377","20262",,,,,
"2008","2008-05-01T00:00:00.000","3224","19344",,,,,
"2008","2008-04-01T00:00:00.000","3566","21396",,,,,
"2008","2008-03-01T00:00:00.000","3635","21810",,,,,
"2008","2008-02-01T00:00:00.000","3978","23868",,,,,
"2008","2008-01-01T00:00:00.000","4514","27084",,,,,
"2008","2007-12-01T00:00:00.000","4686","28116",,,,,
"2008","2007-11-01T00:00:00.000","4712","28272",,,,,
"2008","2007-10-01T00:00:00.000","4704","28224",,,,,
"2009","2009-09-01T00:00:00.000","6410","38460",,,,"163853",
"2009","2009-08-01T00:00:00.000","6003","36018",,,,"182054",
"2009","2009-07-01T00:00:00.000","5749","34494",,,,"164112",
"2009","2009-06-01T00:00:00.000","5738","34428",,,,"141330",
"2009","2009-05-01T00:00:00.000","5717","34302",,,,"112366",
"2009","2009-04-01T00:00:00.000","5044","30264",,,,"97318",
"2009","2009-03-01T00:00:00.000","4609","27654",,,,"93469",
"2009","2009-02-01T00:00:00.000","4541","27246",,,,"91605",
"2009","2009-01-01T00:00:00.000","4483","26898",,,,"108084",
"2009","2008-12-01T00:00:00.000","4501","27006",,,,"66716",
"2009","2008-11-01T00:00:00.000","4527","27162",,,,"73602",
"2009","2008-10-01T00:00:00.000","4323","25938",,,,"134504",
"2010","2010-09-01T00:00:00.000","9849","59094",,,,"234063","13768417"
"2010","2010-08-01T00:00:00.000","9772","58632",,,,"211146","12420329"
"2010","2010-07-01T00:00:00.000","9747","58482",,,,"193485","11381447"
"2010","2010-06-01T00:00:00.000","8939","53634",,,,"153247","9014529"
"2010","2010-05-01T00:00:00.000","8816","52896",,,,"130273","7663125"
"2010","2010-04-01T00:00:00.000","8641","51846",,,,"100373","5904292"
"2010","2010-03-01T00:00:00.000","8493","50958",,,,"95215","5600864"
"2010","2010-02-01T00:00:00.000","8395","50370",,,,"117610","6918262"
"2010","2010-01-01T00:00:00.000","8227","49362",,,,"137939","8114062"
"2010","2009-12-01T00:00:00.000","8164","48984",,,,"128999","7588170"
"2010","2009-11-01T00:00:00.000","7611","45666",,,,"120035","7060882"
"2010","2009-10-01T00:00:00.000","6529","39174",,,,"163076","9592683"
"2011","2011-09-01T00:00:00.000","8762","52572",,,,"247475","14557349"
"2011","2011-08-01T00:00:00.000","7879","47274",,,,"239806","14106240"
"2011","2011-07-01T00:00:00.000","7570","45420",,,,"231141","13596510"
"2011","2011-06-01T00:00:00.000","7324","43944",,,,"175610","10330025"
"2011","2011-05-01T00:00:00.000","8374","50244",,,,"109261","6427111"
"2011","2011-04-01T00:00:00.000","8214","49284",,,,"94754","5573768"
"2011","2011-03-01T00:00:00.000","8125","48750",,,,"117965","6939126"
"2011","2011-02-01T00:00:00.000","7938","47628",,,,"117041","6884782"
"2011","2011-01-01T00:00:00.000","9095","54570",,,,"145008","8529871"
"2011","2010-12-01T00:00:00.000","9949","59694",,,,"108858","6403432"
"2011","2010-11-01T00:00:00.000","9940","59640",,,,"91550","5385271"
"2011","2010-10-01T00:00:00.000","9879","59274",,,,"105426","6201501"
"2012","2012-09-01T00:00:00.000","6622","40038",,,,"153822","9048336"
"2012","2012-08-01T00:00:00.000","6550","39660",,,,"158079","9298752"
"2012","2012-07-01T00:00:00.000","6359","38334",,,,"156810","9224095"
"2012","2012-06-01T00:00:00.000","6153","37362",,,,"115043","6767220"
"2012","2012-05-01T00:00:00.000","6530","39558",,,,"80391","4728863"
"2012","2012-04-01T00:00:00.000","6752","40716",,,,"58029","3413452"
"2012","2012-03-01T00:00:00.000","6798","41112",,,,"52254","3073747"
"2012","2012-02-01T00:00:00.000","6812","40710",,,,"54878","3228101"
"2012","2012-01-01T00:00:00.000","6232","37752",,,,"70991","4175969"
"2012","2011-12-01T00:00:00.000","6168","37212",,,,"57841","3402409"
"2012","2011-11-01T00:00:00.000","7000","42138",,,,"53029","3119349"
"2012","2011-10-01T00:00:00.000","7313","43998",,,,"72439","4261116"
"2013","2013-09-01T00:00:00.000","16955","165600","253522","36551","455673","89534","5266704"
"2013","2013-08-01T00:00:00.000","12164","118930","207943","29344","356217","96109","5653466"
"2013","2013-07-01T00:00:00.000","11833","115670","182023","26197","323889","87238","5131636"
"2013","2013-06-01T00:00:00.000","11657","114120","143669","21583","279373","68769","4045219"
"2013","2013-05-01T00:00:00.000","11443","111440","71016","14974","197430","41669","2451104"
"2013","2013-04-01T00:00:00.000","11220","109300","57738","12661","179700","40679","2392857"
"2013","2013-03-01T00:00:00.000","11242","109580","57355","12496","179431","43192","2540697"
"2013","2013-02-01T00:00:00.000","11555","112260","61002","13161","186423","52974","3116146"
"2013","2013-01-01T00:00:00.000","12187","114590","98937","19095","232622","68873","4051334"
"2013","2012-12-01T00:00:00.000","11460","109340","60447","13096","182882","61888","3640467"
"2013","2012-11-01T00:00:00.000","10385","98250","61991","13069","173310","59917","3524521"
"2013","2012-10-01T00:00:00.000","8639","84720","65417","13264","163400","85221","5012982"
"2014","2014-09-01T00:00:00.000","42840","420390","680729","94094","1195212","104466","6145062"
"2014","2014-08-01T00:00:00.000","42930","421690","662106","91929","1175725","102938","6055165"
"2014","2014-07-01T00:00:00.000","43094","423710","616345","86831","1126887","98786","5810945"
"2014","2014-06-01T00:00:00.000","43250","426250","482446","71365","980061","89588","5269901"
"2014","2014-05-01T00:00:00.000","43213","425454","271187","52565","749206","63595","3740875"
"2014","2014-04-01T00:00:00.000","36220","355170","190212","37916","583298","55107","3241562"
"2014","2014-03-01T00:00:00.000","36201","354600","218560","41624","614784","60116","3536264"
"2014","2014-02-01T00:00:00.000","28122","275870","221145","39411","536425","74328","4372236"
"2014","2014-01-01T00:00:00.000","26940","263150","250877","43265","557292","77981","4587106"
"2014","2013-12-01T00:00:00.000","27079","264540","209768","37784","512093","67112","3947750"
"2014","2013-11-01T00:00:00.000","27053","263970","148621","29547","442139","63341","3725918"
"2014","2013-10-01T00:00:00.000","26724","261050","216083","41568","518701","93812","5518361"
"2015","2015-09-01T00:00:00.000","40931","397270","636359","86215","1119844","128641","7567106"
"2015","2015-08-01T00:00:00.000","40987","396650","710315","94182","1201148","139034","8178476"
"2015","2015-07-01T00:00:00.000","41785","404630","612558","83633","1100821","138354","8138471"
"2015","2015-06-01T00:00:00.000","41680","405660","448646","65698","920004","120648","7096944"
