"atd_location_id","dms_id","dms_direction","turn_on_date","dms_status","comment","modified_date","created_date","dms_message","message_time","location_latitude","location_longitude","location_name","id","location"
"LOC18-012455","18","NORTHBOUND",,"DESIRED","need to relocate utilities","2018-05-30T00:15:00.000Z","2018-02-16T06:00:00.000Z",,"2018-02-16T06:00:00.000Z",,,"3200 BLK S CONGRESS AVE","5a87385ae0a07c0e2b1353b0","POINT (-97.759429 30.230606)"
"LOC16-007200","19","EASTBOUND",,"DESIRED",,"2018-05-30T00:15:00.000Z","2018-02-16T06:00:00.000Z",,"2018-02-16T06:00:00.000Z",,," LAKE AUSTIN BLVD / HEARN ST","5a87399b8eb7ff7fd33928b1","POINT (-97.773179 30.278539)"
"LOC17-010515","2","EASTBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[fo1][pt40][jp3]SCHOOL IS IN SESSION
[fo1][pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,,"500 BLK S MOPAC EXPY SVRD NB","59a5746408237c4016742734","POINT (-97.776778 30.268416)"
"LOC16-007260","3","EASTBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z",,"2022-08-29T02:19:00.000Z",,,"1000 BLK W CESAR CHAVEZ ST (H&B Trail Underpass)","59a58995feeaec2db5558075","POINT (-97.759929 30.268652)"
"LOC17-010520","4","EASTBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[fo1][pt40][jp3]SCHOOL IS IN SESSION
[fo1][pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,,"1600 BLK W 5TH ST","59a58ba75db9dc2db4557f1c","POINT (-97.763824 30.274172)"
"LOC17-010550","12","NORTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[fo1][pt40][jp3]SCHOOL IS IN SESSION
[fo1][pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,,"1100 BLK S 1ST ST","59a5912bc9bf232e6523dffd","POINT (-97.753329 30.253027)"
"LOC16-006210","13","NORTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[pt40][jp3]SCHOOL IS IN SESSION
[pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,," LAMAR BLVD / DICKSON DR","59a59280e0694041381e069b","POINT (-97.779913 30.245348)"
"LOC17-010555","14","NORTHBOUND",,"TURNED_ON","This sign must be programmed at the site. There is no remote communications link currently available","2018-05-30T00:15:00.000Z","2017-08-29T05:00:00.000Z",,,,,"4900 BLK S 1ST ST","59a5a6002fab923f6b207a20","POINT (-97.777494 30.213795)"
"LOC18-012440","15","SOUTHBOUND",,"REMOVED",,"2018-05-30T00:15:00.000Z","2018-02-16T06:00:00.000Z",,"2018-02-16T06:00:00.000Z",,,"4600 BLK AIRPORT BLVD","5a8714622017630a23f82c00","POINT (-97.715819 30.30625)"
"LOC18-012445","16","EASTBOUND",,"DESIRED",,"2018-05-30T00:15:00.000Z","2018-02-16T06:00:00.000Z",,"2018-02-16T06:00:00.000Z",,,"4001 BLK SOUTHWEST PKWY","5a8733058dd5140cc925deaa","POINT (-97.82774 30.239689)"
"LOC18-012450","17","EASTBOUND",,"DESIRED",,"2018-05-30T00:15:00.000Z","2018-02-16T06:00:00.000Z",,"2018-02-16T06:00:00.000Z",,,"2900 BLK BEE CAVES RD","5a87375f836aae72e4ba2049","POINT (-97.792571 30.270541)"
"LOC17-010420","5","NORTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z",,"2022-08-29T02:21:00.000Z",,," LAMAR BLVD / N LAMAR SB TO W 15TH RAMP","59a58c1d2fab923f6b205f4e","POINT (-97.750472 30.279604)"
"LOC17-010525","6","SOUTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z",,"2022-08-29T02:21:00.000Z",,,"2000 BLK N LAMAR BLVD","59a58ca6a95f082db6b9a058","POINT (-97.753302 30.286562)"
"LOC17-010530","7","SOUTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[fo1][pt40][jp3]SCHOOL IS IN SESSION
[fo1][pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,,"4814 BLK N LAMAR BLVD","59a58e0c2ec2693eedbf5598","POINT (-97.731816 30.31727)"
"LOC17-010535","8","SOUTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[fo1][pt40][jp3]SCHOOL IS IN SESSION
[fo1][pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,,"1300 BLK GUADALUPE ST","59a58edffe77b42ddf7fd779","POINT (-97.743496 30.276358)"
"LOC17-010540","9","SOUTHBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z","[fo1][pt40][jp3]SCHOOL IS IN SESSION
[fo1][pt40][jp3]LOOK OUT FOR STUDENTS","2022-08-29T02:20:00.000Z",,,"7500 BLK N LAMAR BLVD","59a58f602ec2693eedbf56fb","POINT (-97.715549 30.343334)"
"LOC17-010425","10","WESTBOUND",,"TURNED_ON",,"2022-08-29T02:21:00.000Z","2017-08-29T05:00:00.000Z",,"2022-08-29T02:20:00.000Z",,,"700 BLK E CESAR CHAVEZ ST","59a59020e0694041381e03cc","POINT (-97.737262 30.261476)"
