"fiscal_year","numerator","denominator","percent_of_clients_referred"
"2020-09-30T00:00:00.000","131","166","79"
"2019-09-30T00:00:00.000","251","308","82"
"2018-09-30T00:00:00.000","271","296","78"
"2017-09-30T00:00:00.000","297","358","83"
"2019-09-30T00:00:00.000","251","308","82"
"2018-09-30T00:00:00.000","271","296","78"
"2017-09-30T00:00:00.000","297","358","83"
"2016-09-30T00:00:00.000","228","266","86"
"2016-09-30T00:00:00.000","228","266","86"
