"house_no","fraction","hse_suff","street_nam","street_typ","st_dir","unit_no","city","state","zip","collection_day","collection_week"
"1610",,"B","WILLOW","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"1705",,,"ROSEWOOD","AVE",,,"AUSTIN","TX","78702","FRIDAY","A"
"1201",,,"8TH","ST","W","UNIT 201","AUSTIN","TX","78703","FRIDAY","A"
"1118",,,"DESIRABLE","DR",,,"AUSTIN","TX","78721","FRIDAY","A"
"1305",,,"EXPOSITION","BLVD",,"UNIT 4","AUSTIN","TX","78703","FRIDAY","A"
"1807",,,"16TH","ST","E",,"AUSTIN","TX","78702","FRIDAY","A"
"704",,,"WALLER","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"1610",,"A","WILLOW","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"1412",,,"WILLOW","ST",,"UNIT 1","AUSTIN","TX","78702","FRIDAY","A"
"1401",,,"HOLLY","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"1617",,,"HOLLY","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"1811",,,"CANTERBURY","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"3301",,,"GOVALLE","AVE",,,"AUSTIN","TX","78702","FRIDAY","A"
"1902",,,"GARDEN","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"2307",,,"12TH","ST","W",,"AUSTIN","TX","78703","FRIDAY","A"
"2207",,,"QUARRY","RD",,,"AUSTIN","TX","78703","FRIDAY","A"
"1301",,,"MERIDEN","LN",,,"AUSTIN","TX","78703","FRIDAY","A"
"2411",,,"WILLOW","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"2212",,,"WILLOW","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"5901",,,"JAIN","LN",,"UNIT 1","AUSTIN","TX","78721","FRIDAY","A"
"1032",,,"GARDNER","RD",,,"AUSTIN","TX","78721","FRIDAY","A"
"1712",,,"11TH","ST","W",,"AUSTIN","TX","78703","FRIDAY","A"
"747",,"B","GUNTER","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"2619",,,"SANTA ROSA","ST",,,"AUSTIN","TX","78702","FRIDAY","A"
"2714",,,"3RD","ST","E",,"AUSTIN","TX","78702","FRIDAY","A"
"1800",,,"FOREST","TRL",,,"AUSTIN","TX","78703","FRIDAY","A"
"1714",,,"SUMMIT","VW",,"UNIT 1","AUSTIN","TX","78703","FRIDAY","A"
