"animal_id","name","datetime","monthyear","date_of_birth","outcome_type","outcome_subtype","animal_type","sex_upon_outcome","age_upon_outcome","breed","color"
"A857750","*Maggie","2022-08-11T07:49:00.000","2022-08-11T07:49:00.000","2022-04-18T00:00:00.000","Adoption","Foster","Cat","Spayed Female","3 months","Domestic Shorthair","Orange Tabby"
"A696449","Bandit","2022-08-10T18:52:00.000","2022-08-10T18:52:00.000","2012-02-04T00:00:00.000","Return to Owner",,"Dog","Neutered Male","10 years","Boxer/Labrador Retriever","Brown/Black"
"A862625","*Temperance Brennan","2022-08-10T18:50:00.000","2022-08-10T18:50:00.000","2022-05-28T00:00:00.000","Adoption",,"Cat","Spayed Female","2 months","Domestic Shorthair Mix","White/Black"
"A862041","*Costello","2022-08-10T18:44:00.000","2022-08-10T18:44:00.000","2022-02-21T00:00:00.000","Adoption",,"Dog","Neutered Male","5 months","Australian Cattle Dog Mix","Blue Merle/White"
"A862926","*Lisa Ann","2022-08-10T18:42:00.000","2022-08-10T18:42:00.000","2022-05-02T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Shorthair Mix","Black/White"
"A863259","Dottie","2022-08-10T18:42:00.000","2022-08-10T18:42:00.000","2021-08-07T00:00:00.000","Return to Owner",,"Dog","Intact Female","1 year","Rottweiler/Australian Cattle Dog","Black/Tricolor"
"A862028","*Chiffon","2022-08-10T18:40:00.000","2022-08-10T18:40:00.000","2022-05-14T00:00:00.000","Adoption",,"Cat","Spayed Female","2 months","Domestic Shorthair Mix","Blue Tabby"
"A860712","*Uno","2022-08-10T18:26:00.000","2022-08-10T18:26:00.000","2022-05-11T00:00:00.000","Adoption",,"Cat","Spayed Female","2 months","Domestic Shorthair","Cream Tabby/White"
"A862885",,"2022-08-10T18:18:00.000","2022-08-10T18:18:00.000","2022-04-02T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair","Black/White"
"A862586","*Pleakley","2022-08-10T18:04:00.000","2022-08-10T18:04:00.000","2022-05-09T00:00:00.000","Adoption",,"Dog","Neutered Male","3 months","Labrador Retriever/Harrier","Tan"
"A863063","Gypsy","2022-08-10T18:01:00.000","2022-08-10T18:01:00.000","2021-10-04T00:00:00.000","Adoption",,"Dog","Spayed Female","10 months","Basenji","Tricolor"
"A863058",,"2022-08-10T17:37:00.000","2022-08-10T17:37:00.000","2022-04-04T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair","Black"
"A858553","*Tortilla","2022-08-10T17:29:00.000","2022-08-10T17:29:00.000","2022-04-02T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair Mix","Black"
"A858551","*Queso","2022-08-10T17:29:00.000","2022-08-10T17:29:00.000","2022-04-02T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair Mix","Blue Tabby"
"A860726","*Ash","2022-08-10T17:25:00.000","2022-08-10T17:25:00.000","2022-06-02T00:00:00.000","Adoption",,"Cat","Spayed Female","2 months","Domestic Medium Hair Mix","Black"
"A863081","*Gilgamesh","2022-08-10T17:13:00.000","2022-08-10T17:13:00.000","2021-10-04T00:00:00.000","Transfer","Partner","Dog","Intact Male","10 months","Labrador Retriever","Chocolate"
"A862929","*Johnny Boy","2022-08-10T17:12:00.000","2022-08-10T17:12:00.000","2022-04-02T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair Mix","Black"
"A862927","*Norma Jean","2022-08-10T17:12:00.000","2022-08-10T17:12:00.000","2022-05-02T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Shorthair Mix","Brown Tabby"
"A863214",,"2022-08-10T17:03:00.000","2022-08-10T17:03:00.000","2022-06-06T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","German Shepherd Mix","Brown/Black"
"A862622","*Sorin","2022-08-10T17:00:00.000","2022-08-10T17:00:00.000","2022-03-28T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair","Black"
"A859905","*Willow","2022-08-10T16:52:00.000","2022-08-10T16:52:00.000","2022-05-20T00:00:00.000","Adoption",,"Cat","Spayed Female","2 months","Domestic Shorthair Mix","Brown Tabby/White"
"A859900","*Sky","2022-08-10T16:52:00.000","2022-08-10T16:52:00.000","2022-05-20T00:00:00.000","Adoption",,"Cat","Neutered Male","2 months","Domestic Shorthair Mix","White/Black"
"A861196","*Napoleon","2022-08-10T16:51:00.000","2022-08-10T16:51:00.000","2022-05-07T00:00:00.000","Adoption",,"Cat","Neutered Male","3 months","Domestic Shorthair Mix","Brown Tabby"
"A862545","*Rosie","2022-08-10T16:49:00.000","2022-08-10T16:49:00.000","2021-01-27T00:00:00.000","Adoption",,"Cat","Spayed Female","1 year","Domestic Shorthair","Brown Tabby"
"A863055","Oliver (Spaghetti Boy)","2022-08-10T16:40:00.000","2022-08-10T16:40:00.000","2022-04-04T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair","Black Tabby/White"
"A862309","*Picosa","2022-08-10T16:39:00.000","2022-08-10T16:39:00.000","2018-07-24T00:00:00.000","Transfer","Partner","Dog","Intact Female","4 years","Yorkshire Terrier","Gray/Black"
"A863101","Penny","2022-08-10T16:38:00.000","2022-08-10T16:38:00.000","2019-08-06T00:00:00.000","Transfer","Partner","Dog","Intact Female","3 years","Staffordshire Mix","Blue/White"
"A863102","Star","2022-08-10T16:38:00.000","2022-08-10T16:38:00.000","2015-08-04T00:00:00.000","Transfer","Partner","Dog","Spayed Female","7 years","Staffordshire Mix","Tan/White"
"A742657","Ty","2022-08-10T16:38:00.000","2022-08-10T16:38:00.000","2013-01-25T00:00:00.000","Return to Owner",,"Dog","Intact Male","9 years","Chihuahua Shorthair","Tan"
"A862489","*Oreobun","2022-08-10T16:37:00.000","2022-08-10T16:37:00.000","2020-07-26T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 years","Pit Bull Mix","White/Black"
"A861557","A861557","2022-08-10T16:37:00.000","2022-08-10T16:37:00.000","2013-07-25T00:00:00.000","Transfer","Partner","Dog","Intact Male","9 years","German Shepherd","Tan/Black"
"A862740","*Gretta","2022-08-10T16:36:00.000","2022-08-10T16:36:00.000","2019-07-30T00:00:00.000","Adoption",,"Dog","Spayed Female","3 years","German Shepherd","Sable"
"A862449","Jack","2022-08-10T16:27:00.000","2022-08-10T16:27:00.000","2022-04-08T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair Mix","Black"
"A862737","A862737","2022-08-10T16:24:00.000","2022-08-10T16:24:00.000","2022-05-30T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","Labrador Retriever Mix","Brown Brindle"
"A861967","A861967","2022-08-10T16:08:00.000","2022-08-10T16:08:00.000","2022-06-05T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Labrador Retriever Mix","Buff/White"
"A862934","*Eliza","2022-08-10T16:07:00.000","2022-08-10T16:07:00.000","2022-04-02T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair","Brown Tabby"
"A863085",,"2022-08-10T16:01:00.000","2022-08-10T16:01:00.000","2022-05-04T00:00:00.000","Adoption",,"Cat","Neutered Male","3 months","Domestic Shorthair Mix","Orange Tabby"
"A862544","*Dip","2022-08-10T15:52:00.000","2022-08-10T15:52:00.000","2022-03-27T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair","Silver Tabby"
"A863060","A863060","2022-08-10T15:45:00.000","2022-08-10T15:45:00.000","2022-05-26T00:00:00.000","Adoption",,"Cat","Neutered Male","2 months","Domestic Medium Hair","Brown Tabby/White"
"A686265","Mikey","2022-08-10T14:19:00.000","2022-08-10T14:19:00.000","2014-04-20T00:00:00.000","Adoption",,"Dog","Neutered Male","8 years","Black Mouth Cur Mix","Fawn/White"
"A863317","Sky","2022-08-10T11:42:00.000","2022-08-10T11:42:00.000","2021-08-08T00:00:00.000","Transfer","Partner","Cat","Spayed Female","1 year","Domestic Shorthair","Black/White"
"A863186","A863186","2022-08-10T11:35:00.000","2022-08-10T11:35:00.000","2022-05-07T00:00:00.000","Transfer","Partner","Dog","Intact Female","3 months","Bruss Griffon Mix","Black/White"
"A861233","*Heath","2022-08-10T11:29:00.000","2022-08-10T11:29:00.000","2020-07-09T00:00:00.000","Adoption",,"Cat","Neutered Male","2 years","Domestic Shorthair","Black"
"A861926","A861926","2022-08-10T11:17:00.000","2022-08-10T11:17:00.000","2022-03-19T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair Mix","Black/White"
"A859514","*Sweetie","2022-08-10T08:46:00.000","2022-08-10T08:46:00.000","2010-06-20T00:00:00.000","Adoption","Foster","Dog","Spayed Female","12 years","Pit Bull","Tan/White"
"A862168","*Ricco","2022-08-10T08:38:00.000","2022-08-10T08:38:00.000","2022-03-22T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Domestic Shorthair","Blue"
"A858505","*Frankie","2022-08-10T08:34:00.000","2022-08-10T08:34:00.000","2019-12-01T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Tan"
"A603886","Mineu","2022-08-10T08:30:00.000","2022-08-10T08:30:00.000","2008-06-18T00:00:00.000","Adoption","Foster","Cat","Spayed Female","14 years","Domestic Shorthair","Tortie"
"A860201","*Peaches","2022-08-10T08:26:00.000","2022-08-10T08:26:00.000","2022-05-20T00:00:00.000","Adoption","Foster","Cat","Spayed Female","2 months","Domestic Shorthair","Orange Tabby/White"
"A859540","*Eddie","2022-08-10T08:22:00.000","2022-08-10T08:22:00.000","2022-04-20T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Orange Tabby/White"
"A857968","*Donut","2022-08-10T08:16:00.000","2022-08-10T08:16:00.000","2022-04-06T00:00:00.000","Adoption","Foster","Cat","Spayed Female","4 months","Domestic Shorthair","Black"
"A858073","*Tux","2022-08-10T08:12:00.000","2022-08-10T08:12:00.000","2022-04-25T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Black/White"
"A861616","*Pep Boy","2022-08-10T08:07:00.000","2022-08-10T08:07:00.000","2022-06-05T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","White/Blue"
"A861189","*Brie","2022-08-10T08:04:00.000","2022-08-10T08:04:00.000","2022-05-25T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","Chihuahua Shorthair","Sable/White"
"A861188","*Mascarpone","2022-08-10T08:01:00.000","2022-08-10T08:01:00.000","2022-05-25T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair","White/Tan"
"A861186","*Havarti","2022-08-10T07:55:00.000","2022-08-10T07:55:00.000","2022-05-25T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","Chihuahua Shorthair","Black/Tan"
"A861185","*Cheddar","2022-08-10T07:50:00.000","2022-08-10T07:50:00.000","2022-05-25T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","Chihuahua Shorthair","Black/Tan"
"A858990","A858990","2022-08-10T07:43:00.000","2022-08-10T07:43:00.000","2022-05-14T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Orange Tabby"
"A857970","*Cake","2022-08-10T07:38:00.000","2022-08-10T07:38:00.000","2022-04-06T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Domestic Shorthair","Blue Tabby/White"
"A860576","*Geraldine","2022-08-10T07:31:00.000","2022-08-10T07:31:00.000","2020-06-30T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 years","Labrador Retriever/Plott Hound","Brown Brindle/Black"
"A861036","*Arlo","2022-08-10T07:26:00.000","2022-08-10T07:26:00.000","2022-04-07T00:00:00.000","Adoption","Foster","Dog","Neutered Male","4 months","Labrador Retriever/Collie Smooth","Tan"
"A860187","Stacy","2022-08-10T07:23:00.000","2022-08-10T07:23:00.000","2022-02-24T00:00:00.000","Adoption","Foster","Dog","Neutered Male","5 months","German Shepherd Mix","Brown Brindle"
"A857409","*Irvin","2022-08-09T19:39:00.000","2022-08-09T19:39:00.000","2020-05-16T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Pit Bull","Tan/White"
"A861961",,"2022-08-09T19:04:00.000","2022-08-09T19:04:00.000","2022-05-10T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","Doberman Pinsch/Pit Bull","Brown"
"A862707","*Camille","2022-08-09T18:18:00.000","2022-08-09T18:18:00.000","2022-05-09T00:00:00.000","Adoption",,"Dog","Spayed Female","3 months","Australian Cattle Dog Mix","Brown/Tricolor"
"A862629","*Angela","2022-08-09T18:08:00.000","2022-08-09T18:08:00.000","2021-07-28T00:00:00.000","Adoption",,"Dog","Spayed Female","1 year","Australian Kelpie Mix","Red"
"A863207","A863207","2022-08-09T18:04:00.000","2022-08-09T18:04:00.000","2021-08-06T00:00:00.000","Transfer","Partner","Other","Intact Female","1 year","Rabbit Sh Mix","White/Black"
"A863113","A863113","2022-08-09T17:54:00.000","2022-08-09T17:54:00.000","2022-06-04T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","German Shepherd","Black/Tan"
"A862964","A862964","2022-08-09T17:36:00.000","2022-08-09T17:36:00.000","2022-05-27T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","Labrador Retriever/German Shepherd","Black/Brown"
"A862963","A862963","2022-08-09T17:23:00.000","2022-08-09T17:23:00.000","2022-05-27T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","Labrador Retriever/German Shepherd","Black/Brown"
"A862940","Tito","2022-08-09T17:10:00.000","2022-08-09T17:10:00.000","2019-08-03T00:00:00.000","Adoption",,"Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Buff"
"A859323","A859323","2022-08-09T16:58:00.000","2022-08-09T16:58:00.000","2022-05-19T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Orange Tabby"
"A862697","*Georgina","2022-08-09T16:47:00.000","2022-08-09T16:47:00.000","2021-09-29T00:00:00.000","Adoption",,"Dog","Spayed Female","10 months","Labrador Retriever Mix","Black"
"A856353","*Remus","2022-08-09T16:42:00.000","2022-08-09T16:42:00.000","2018-05-02T00:00:00.000","Adoption","Foster","Dog","Neutered Male","4 years","Rottweiler Mix","Black/Tan"
"A862840","Marsh","2022-08-09T16:33:00.000","2022-08-09T16:33:00.000","2022-02-01T00:00:00.000","Adoption",,"Dog","Neutered Male","6 months","Australian Cattle Dog","Blue Tick/Black"
"A858172","*Gerald","2022-08-09T16:23:00.000","2022-08-09T16:23:00.000","2021-07-26T00:00:00.000","Adoption",,"Dog","Neutered Male","1 year","German Shepherd Mix","Black/Brown"
"A858934","Kimmy","2022-08-09T16:12:00.000","2022-08-09T16:12:00.000","2010-06-06T00:00:00.000","Adoption",,"Cat","Spayed Female","12 years","Domestic Shorthair","Blue/White"
"A862257",,"2022-08-09T16:07:00.000","2022-08-09T16:07:00.000","2022-06-08T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","Pit Bull Mix","White/Black"
"A859665","*Apple","2022-08-09T16:06:00.000","2022-08-09T16:06:00.000","2022-05-06T00:00:00.000","Adoption","Foster","Cat","Spayed Female","3 months","Domestic Shorthair Mix","Brown Tabby"
"A862935","*Elizabeth","2022-08-09T15:57:00.000","2022-08-09T15:57:00.000","2022-04-17T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Shorthair","Brown Tabby"
"A859410","*Lucas","2022-08-09T15:34:00.000","2022-08-09T15:34:00.000","2022-04-28T00:00:00.000","Adoption",,"Cat","Neutered Male","3 months","Domestic Shorthair","Black/White"
"A859411","*Dustin","2022-08-09T15:34:00.000","2022-08-09T15:34:00.000","2022-04-28T00:00:00.000","Adoption",,"Cat","Neutered Male","3 months","Domestic Shorthair","Blue/White"
"A858207","*Sugar Snap","2022-08-09T15:31:00.000","2022-08-09T15:31:00.000","2022-03-26T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair Mix","Blue Tabby/White"
"A863174",,"2022-08-09T15:04:00.000","2022-08-09T15:04:00.000","2020-08-05T00:00:00.000","Euthanasia","Suffering","Cat","Intact Male","2 years","Domestic Shorthair","Gray/White"
"A862011",,"2022-08-09T14:11:00.000","2022-08-09T14:11:00.000","2020-07-20T00:00:00.000","Transfer","Partner","Cat","Intact Female","2 years","Domestic Shorthair","Tortie"
"A862509","*Apollonia","2022-08-09T14:11:00.000","2022-08-09T14:11:00.000","2021-07-27T00:00:00.000","Transfer","Partner","Cat","Spayed Female","1 year","Domestic Longhair","Orange Tabby/White"
"A861283","*Pinkman","2022-08-09T14:11:00.000","2022-08-09T14:11:00.000","2018-07-11T00:00:00.000","Transfer","Partner","Cat","Neutered Male","4 years","Domestic Shorthair","Cream Tabby/White"
"A861654","*Ola","2022-08-09T14:10:00.000","2022-08-09T14:10:00.000","2022-05-15T00:00:00.000","Transfer","Partner","Cat","Intact Female","2 months","Domestic Medium Hair","Blue Tabby/White"
"A862216","*Gus","2022-08-09T14:10:00.000","2022-08-09T14:10:00.000","2020-07-22T00:00:00.000","Transfer","Partner","Cat","Intact Male","2 years","Domestic Shorthair","Brown Tabby"
"A861512","Coco","2022-08-09T14:10:00.000","2022-08-09T14:10:00.000","2020-07-13T00:00:00.000","Transfer","Partner","Cat","Spayed Female","2 years","Domestic Shorthair","White/Gray"
"A861653","*Maeve","2022-08-09T14:10:00.000","2022-08-09T14:10:00.000","2022-04-30T00:00:00.000","Transfer","Partner","Cat","Intact Female","3 months","Domestic Medium Hair","Blue/White"
"A861806","*Hamilton","2022-08-09T14:10:00.000","2022-08-09T14:10:00.000","2022-05-03T00:00:00.000","Transfer","Partner","Cat","Intact Male","3 months","Domestic Shorthair","Blue Tabby/White"
