"fiscal_year","trade_craft","requested_wos","completed_wos"
"2015","Contracts","629","490"
"2016","Contracts","629","466"
"2017","Contracts","546","602"
"2015","Electrical","1313","1138"
"2016","Electrical","1317","1157"
"2017","Electrical","1570","1305"
"2015","Fire Alarm System","205","122"
"2016","Fire Alarm System","416","336"
"2017","Fire Alarm System","521","457"
"2015","General Maintenance/Carpentry","3593","2913"
"2016","General Maintenance/Carpentry","3937","3349"
"2017","General Maintenance/Carpentry","4019","3301"
"2015","Generators","140","131"
"2016","Generators","144","125"
"2017","Generators","194","148"
"2015","Graffiti","72","67"
"2016","Graffiti","69","53"
"2017","Graffiti","76","83"
"2015","Heating/Ventilation /Air Conditioning","3594","2383"
"2016","Heating/Ventilation /Air Conditioning","3539","2978"
"2017","Heating/Ventilation /Air Conditioning","3466","2929"
"2015","Key and Lock","458","412"
"2016","Key and Lock","622","360"
"2017","Key and Lock","790","498"
"2015","Plumbing","780","676"
"2016","Plumbing","1213","931"
"2017","Plumbing","1467","1139"
"2015","Special Projects","79","48"
"2016","Special Projects","167","137"
"2017","Special Projects","111","125"
