"fiscal_year","overhead_primary_miles","overhead_secondary_miles","underground_primary_miles","underground_secondary_miles","poles","overhead_transformers","underground_transformers","switch_gear","risers","man_holes","pull_boxes","service_boxes","transmission_lines_miles","distribution_substations","transmission_substations"
"2000-01-01T00:00:00.000","2334","3139","1968","1855","127441","40566","25095","175","9458","802","22881","30246",,,
"2001-01-01T00:00:00.000","2345","3144","2037","1906","129742","40913","26257","195","10114","897","24295","31787",,,
"2002-01-01T00:00:00.000","2349","3150","2203","1937","131800","41333","27462","219","10569","1049","25573","34663",,,
"2003-01-01T00:00:00.000","2360","3172","2284","2233","134027","41473","28945","225","10950","1109","26523","36737",,,
"2004-01-01T00:00:00.000","2363","3183","2356","2406","136393","41609","29082","246","11316","1414","27471","39331",,,
"2005-01-01T00:00:00.000","2364","3185","2443","2568","139423","41834","30153","272","11723","1862","28696","41891",,,
"2006-01-01T00:00:00.000","2368","3172","2534","2702","141466","42117","31120","290","12260","1952","29764","44276","608","54","9"
"2007-01-01T00:00:00.000","2363","3164","2621","2808","142939","42268","32052","315","12810","2070","30833","46081","619","56","11"
"2008-01-01T00:00:00.000","2362","3127","2832","2868","145535","42475","33539","281","13536","2173","32640","48683","619","56","11"
"2009-01-01T00:00:00.000","2366","3127","2866","2920","148025","42633","34144","306","14004","2341","33577","51009","619","56","11"
"2010-01-01T00:00:00.000","2370","3105","2898","2946","148516","42757","34285","309","14136","2364","33772","51487","619","56","11"
"2011-01-01T00:00:00.000","2375","3075","2922","2990","149208","42943","34609","321","14399","2452","34294","52119","618","56","11"
"2012-01-01T00:00:00.000","2376","3027","2964","3031","149910","43094","34995","347","14610","2599","34901","52789","619","60","12"
"2013-01-01T00:00:00.000","2375","2986","3006","3062","150835","43268","35623","362","14905","2746","35818","52088","624","60","14"
"2014-01-01T00:00:00.000","2374","2889","3066","3100","151181","43408","36254","377","15192","2829","36765","52776","624","60","14"
"2015-01-01T00:00:00.000","2380","2724","3175","3163","152329","43490","37474","419","15694","3021","38590","54219","624","60","14"
"2016-01-01T00:00:00.000","2387","2631","3265","3235","153738","43593","38858","437","16128","3133","40111","55331",,"61",
