"fiscal_year","actuarial_value_of_assets","actuarial_value_of_assets_1","actuarial_value_of_assets_2","total_actuarial_values_of","actuarial_accrued_liability","actuarial_accrued_liability_1","actuarial_accrued_liability_2","total_actuarial_accrued","total_funded_ratio"
"2014-12-31T00:00:00.000","2193881221","789433224","653192335","3636506780","3094055712","868146375","968340394","4930542481","0.738"
"2015-12-31T00:00:00.000","2308087140","828920231","689767838","3826775209","3391796116","921875579","1036118138","5349789833","0.715"
"2016-12-31T00:00:00.000","2423269015","866512111","732020913","4021802039","3591376306","981771267","1106505413","5679652986","0.708"
"2017-12-31T00:00:00.000","2592460631","916931534","779484342","4288876507","3797823303","1038118085","1185017294","6020958682","0.712"
"2018-12-31T00:00:00.000","2695388392","954574840","807978988","4457942220","3989560137","1084533608","1389660616","6463754361","0.69"
"2019-12-31T00:00:00.000","2848950000","1001980211","852294229","4703224440","4487884062","1154365629","1459529788","7101779479","0.662"
"2020-12-31T00:00:00.000","3069233497","1079202794","904436131","5052872422","4701215166","1233739575","1542174418","7477129159","0.676"
