"naics_code","industry","jobs_2018","earnings_per_job_2018","change_of_earnings_per_job","total_earnings","national_lq_2018","white","black_or_african_american","amer_indian_or_ak_native","asian","hawaiian_or_other_pac_island","hispanic_or_latino","two_or_more_races","male","female","_0_24_age","_25_34_age","_35_44_age","_45_54_age","_55_64_age","_65_99_age","date_reported"
"323111","Commercial printing (except screen and books)","1538","67231","0.077","103459135","0.82","901","104","3","75","1","437","18","978","560","81","274","353","427","294","110","2019-12-31T00:00:00.000"
"323113","Commercial screen printing","393","43307","0.036","17023469","0.82","231","27","1","21","0","109","4","251","142","20","68","90","110","75","30","2019-12-31T00:00:00.000"
"323117","Books printing","21","33225","-0.361","719764","0.23","13","1","0","2","0","5","0","14","7","1","2","6","8","5","1","2019-12-31T00:00:00.000"
"323120","Support activities for printing","82","44221","-0.033","3651035","0.6","50","6","0","5","0","21","1","54","29","4","13","19","24","15","7","2019-12-31T00:00:00.000"
"327110","Pottery, ceramics, and plumbing fixture manufacturing","135","66210","0.127","9001367","1.06","84","4","3","7","0","34","3","94","42","2","10","22","40","52","10","2019-12-31T00:00:00.000"
"327212","Other pressed and blown glass and glassware manufacturing","55","53392","0.105","2944189","0.58","32","5","0","2","0","16","0","33","23","2","14","15","11","10","3","2019-12-31T00:00:00.000"
"332323","Ornamental and architectural metal work manufacturing","129","50582","0.011","6529746","0.54","75","7","0","4","0","41","2","101","28","9","27","30","33","22","8","2019-12-31T00:00:00.000"
"339910","Jewelry and silverware manufacturing","422","84790","-0.133","35823051","1.71","274","15","4","17","2","106","4","252","170","17","83","91","87","95","50","2019-12-31T00:00:00.000"
"339992","Musical instrument manufacturing","129","58660","0.002","7577716","1.37","83","5","1","5","0","35","1","77","52","5","27","29","27","28","13","2019-12-31T00:00:00.000"
"423940","Jewelry, watch, precious stone, and precious metal merchant wholesalers","344","64775","0.015","22303896","0.95","206","25","2","9","0","99","3","231","113","19","63","103","69","51","39","2019-12-31T00:00:00.000"
"424920","Book, periodical, and newspaper merchant wholesalers","142","30057","0.02","4297939","0.55","93","9","0","6","0","33","1","84","59","8","28","23","34","28","22","2019-12-31T00:00:00.000"
"443142","Electronic stores","1044","93886","0.144","98062419","1.5","566","76","4","76","1","303","18","690","355","168","311","280","170","88","27","2019-12-31T00:00:00.000"
"448310","Jewelry stores","1068","46431","-0.008","49617371","1.22","511","160","3","77","1","295","21","336","733","163","286","222","156","136","107","2019-12-31T00:00:00.000"
"451130","Sewing, needlework, and piece goods stores","271","18232","-0.027","4944246","0.62","189","7","1","4","0","67","3","133","138","31","63","53","50","28","45","2019-12-31T00:00:00.000"
"451140","Musical instrument and supplies stores","257","44589","-0.002","11474400","1.04","164","13","1","4","0","69","7","170","88","56","55","37","27","52","31","2019-12-31T00:00:00.000"
"451211","Book stores","560","25356","0.051","14221148","1.16","338","28","1","33","1","140","20","229","332","193","134","74","83","51","25","2019-12-31T00:00:00.000"
"453920","Art dealers","395","37722","0.114","14920098","1.05","243","17","1","9","0","114","13","196","200","54","101","65","69","65","41","2019-12-31T00:00:00.000"
"511110","Newspaper publishers","748","53988","-0.061","40408039","0.79","550","34","1","19","1","136","8","417","332","29","159","132","191","175","63","2019-12-31T00:00:00.000"
"511120","Periodical publishers","710","41424","-0.015","29449179","1.1","571","41","1","27","1","60","10","304","407","17","104","171","147","153","119","2019-12-31T00:00:00.000"
"511130","Book publishers","976","94844","0.066","92638471","2.43","743","50","2","38","2","128","15","449","528","32","210","247","219","178","91","2019-12-31T00:00:00.000"
"511191","Greeting card publishers","1","157104","2.919","172246","0.04","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","2019-12-31T00:00:00.000"
"511199","All other publishers","128","55263","-0.096","7086516","1.65","104","8","0","5","0","10","2","55","73","1","19","31","27","28","22","2019-12-31T00:00:00.000"
"512110","Motion picture and video production","2678","79776","0.028","213658620","1.74","1846","172","7","98","8","482","65","1890","788","420","847","616","451","256","88","2019-12-31T00:00:00.000"
"512120","Motion picture and video distribution","14","72594","0.434","1060540","0.32","13","0","0","0","0","2","0","13","2","0","6","4","3","1","0","2019-12-31T00:00:00.000"
"512131","Motion picture theaters (except drive-Ins)","2144","33703","0.094","72267658","2.74","1400","146","9","105","3","445","36","1411","733","357","661","540","328","180","78","2019-12-31T00:00:00.000"
"512132","Drive-in motion picture theaters *","22","29710","0.209","681075","1.55","19","1","0","1","0","3","0","19","4","1","9","6","5","2","0","2019-12-31T00:00:00.000"
"512191","Teleproduction and other postproduction services","248","57547","-0.29","14320040","1.74","181","15","0","6","1","38","8","187","62","36","81","52","46","26","7","2019-12-31T00:00:00.000"
"512199","Other motion picture and video industries","22","39848","-0.147","887320","0.96","19","1","0","0","0","3","0","20","3","2","8","5","5","2","0","2019-12-31T00:00:00.000"
"512230","Music publishers","90","71724","0.004","6456212","1.91","67","6","0","2","0","13","2","70","20","6","24","26","17","14","4","2019-12-31T00:00:00.000"
"512240","Sound recording studios","332","25237","0.042","8388290","3.44","243","25","0","7","0","48","10","265","67","33","82","88","60","53","16","2019-12-31T00:00:00.000"
"512250","Record Production and Distribution","64","62491","-0.099","4011851","1.16","49","4","0","1","0","9","1","49","15","4","17","19","12","9","2","2019-12-31T00:00:00.000"
"512290","Other sound recording industries","72","43793","-0.013","3196325","2.33","54","5","0","1","0","10","2","59","14","5","19","20","13","12","3","2019-12-31T00:00:00.000"
"515111","Radio networks","132","34969","-0.045","4621890","0.93","80","20","0","1","0","23","7","103","29","6","29","29","32","28","8","2019-12-31T00:00:00.000"
"515112","Radio stations","529","74695","-0.009","39559161","1.14","339","55","1","7","1","109","18","353","176","35","141","120","117","94","24","2019-12-31T00:00:00.000"
"515120","Television broadcasting","707","70111","-0.041","49590671","0.93","463","59","1","10","2","153","19","444","263","50","200","162","150","117","28","2019-12-31T00:00:00.000"
"515210","Cable and other subscription programming","21","84741","0.207","1780234","0.07","15","2","0","0","0","4","0","18","3","0","3","5","8","5","1","2019-12-31T00:00:00.000"
"519110","News syndicates","120","93084","0.028","11216624","1.72","85","5","0","8","0","19","3","73","48","10","52","34","15","6","3","2019-12-31T00:00:00.000"
"519120","Libraries and archives","59","24352","-0.078","1440844","0.31","37","2","0","5","0","15","0","30","29","19","14","3","8","4","11","2019-12-31T00:00:00.000"
"541420","Industrial design services","231","58548","0.019","13579642","1.35","159","13","1","9","0","46","5","90","142","8","57","47","61","31","27","2019-12-31T00:00:00.000"
"541430","Graphic design services","2040","49336","-0.003","100671671","1.81","1377","115","5","80","1","422","40","799","1242","91","495","413","536","268","237","2019-12-31T00:00:00.000"
"541490","Other specialized design services","461","43796","-0.02","20213227","2.2","313","26","1","18","0","94","9","181","281","19","113","94","121","61","54","2019-12-31T00:00:00.000"
"541810","Advertising agencies","3232","86310","0.006","278966862","2.18","2394","143","7","153","3","484","48","1599","1633","341","897","763","597","409","226","2019-12-31T00:00:00.000"
"541921","Photography studios, portrait","1634","26446","0.022","43235942","1.47","1115","91","1","53","4","320","50","624","1011","156","465","414","258","232","110","2019-12-31T00:00:00.000"
"541922","Commercial photography","580","41909","-0.036","24338150","1.41","396","32","0","19","2","114","18","220","361","53","165","148","92","83","39","2019-12-31T00:00:00.000"
"611610","Fine arts schools (private)","1853","15975","0.192","29606961","1.28","1377","68","4","134","1","224","44","624","1230","283","440","308","316","268","238","2019-12-31T00:00:00.000"
"711110","Theater companies and dinner theaters","733","27217","0.048","19973127","1.24","539","38","2","19","0","122","13","410","324","61","243","147","115","108","61","2019-12-31T00:00:00.000"
"711120","Dance companies","176","27107","0.316","4775593","1.49","131","10","0","4","0","29","3","97","79","13","59","34","29","27","16","2019-12-31T00:00:00.000"
"711130","Musical groups and artists","1054","25850","-0.118","27246599","1.73","754","65","5","27","0","187","16","554","500","86","342","172","178","162","115","2019-12-31T00:00:00.000"
"711190","Other performing arts companies","156","23563","-0.185","3691861","2.17","118","8","0","4","0","25","2","88","68","12","53","32","25","23","12","2019-12-31T00:00:00.000"
"711310","Promoters of performing arts, sports, and similar events with facilities","307","36427","0","11215619","0.42","223","17","1","8","0","55","4","162","146","22","114","62","45","37","29","2019-12-31T00:00:00.000"
"711320","Promoters of performing arts, sports, and similar events without facilities","731","34747","0.027","25413707","1.47","520","45","3","19","0","133","10","376","355","56","253","123","118","101","81","2019-12-31T00:00:00.000"
