"house_no","fraction","hse_suff","street_nam","street_typ","st_dir","unit_no","city","state","zip","collection_day","collection_week"
"9013",,,"SAUTELLE","LN",,,"AUSTIN","TX","78749","MONDAY","A"
"7500",,,"SHADOWRIDGE","RUN",,"UNIT 54","AUSTIN","TX","78749","MONDAY","A"
"6400",,,"VIA CORRETO","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"3115",,,"SACBE","CV",,,"AUSTIN","TX","78745","MONDAY","A"
"3101",,,"DAVIS","LN",,"UNIT 80-8002","AUSTIN","TX","78748","MONDAY","A"
"3101",,,"DAVIS","LN",,"UNIT 83-8301","AUSTIN","TX","78748","MONDAY","A"
"3101",,,"DAVIS","LN",,"UNIT 86-8601","AUSTIN","TX","78748","MONDAY","A"
"8606",,,"BISBEE","CT",,,"AUSTIN","TX","78745","MONDAY","A"
"8502",,,"BISBEE","CT",,,"AUSTIN","TX","78745","MONDAY","A"
"7802",,,"NAIRN","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"5803",,,"FITCHWOOD","LN",,,"AUSTIN","TX","78749","MONDAY","A"
"5911",,,"PECANWOOD","LN",,,"AUSTIN","TX","78749","MONDAY","A"
"6105",,,"MESA GRANDE","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"8406",,,"GANTTCREST","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"9206",,,"SOMMERLAND","WAY",,,"AUSTIN","TX","78749","MONDAY","A"
"8508",,,"DUNSMERE","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"6509",,,"ABILENE","TRL",,,"AUSTIN","TX","78749","MONDAY","A"
"2902",,"A","KESTREL","DR",,,"AUSTIN","TX","78745","MONDAY","A"
"7608",,,"VAIL VALLEY","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"6732",,,"PONCHA","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"6729",,,"PONCHA","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"6206",,,"OLIVER LOVING","TRL",,,"AUSTIN","TX","78749","MONDAY","A"
"3312",,,"ELIJA","ST",,,"AUSTIN","TX","78745","MONDAY","A"
"6804",,,"TERRA OAK","CIR",,,"AUSTIN","TX","78749","MONDAY","A"
"211",,"B","WILLIAM CANNON","DR","W",,"AUSTIN","TX","78745","MONDAY","A"
"8207",,,"ISAAC PRYOR","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"2516",,,"DOVEMEADOW","DR",,,"AUSTIN","TX","78744","MONDAY","A"
"7912",,,"SIRINGO","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"8604",,,"PINEY CREEK","BND",,,"AUSTIN","TX","78745","MONDAY","A"
"5510",,,"CAMP FIRE","TRL",,,"AUSTIN","TX","78749","MONDAY","A"
"8801",,,"COLLINGWOOD","DR",,,"AUSTIN","TX","78748","MONDAY","A"
"7722",,,"CROFTWOOD","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"8204",,,"SIRINGO","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"8113",,,"SIRINGO","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"6437",,,"CLAY ALLISON","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"6413",,,"CLAY ALLISON","PASS",,,"AUSTIN","TX","78749","MONDAY","A"
"8505",,,"BARASINGA","TRL",,,"AUSTIN","TX","78749","MONDAY","A"
"7108",,,"WANDERING OAK","RD",,,"AUSTIN","TX","78749","MONDAY","A"
"6412",,,"RUXTON","LN",,,"AUSTIN","TX","78749","MONDAY","A"
"6821",,,"GREYCLOUD","DR",,,"AUSTIN","TX","78745","MONDAY","A"
"5434",,,"WALNUT GROVE","DR",,,"AUSTIN","TX","78744","MONDAY","A"
"7209",,,"BARNSDALE","WAY",,,"AUSTIN","TX","78745","MONDAY","A"
"7712",,,"FOREST WOOD","RD",,,"AUSTIN","TX","78745","MONDAY","A"
"5304",,,"KORTH","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"7801",,,"WHITSUN","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"8102",,,"APPOMATTOX","DR",,,"AUSTIN","TX","78745","MONDAY","A"
"6710",,,"SKYNOOK","DR",,,"AUSTIN","TX","78745","MONDAY","A"
"7702",,,"CLOUDBERRY","CIR",,,"AUSTIN","TX","78745","MONDAY","A"
"7709",,,"ELDERBERRY","DR",,,"AUSTIN","TX","78745","MONDAY","A"
"7701",,,"EVALINE","LN",,,"AUSTIN","TX","78745","MONDAY","A"
"3712",,,"KANDY","DR",,,"AUSTIN","TX","78749","MONDAY","A"
"601",,"B","THELMA","DR",,,"AUSTIN","TX","78745","MONDAY","A"
"2108",,,"LEAR","LN",,,"AUSTIN","TX","78745","MONDAY","A"
"2100",,,"LEAR","LN",,,"AUSTIN","TX","78745","MONDAY","A"
"3204",,,"EVANSTON","LN",,,"AUSTIN","TX","78745","MONDAY","A"
"8907",,,"VERONA","TRL",,,"AUSTIN","TX","78749","MONDAY","A"
"7604",,,"MELVILLE","CV",,,"AUSTIN","TX","78749","MONDAY","A"
