"incidentnumber","calendaryear","month","incdate","call_type","problem","responsearea","jurisdiction","prioritydescription","council_district","location"
"20139377","2020","Dec","2020-12-29T00:00:00.000","Fire","AUTO - Auto Fire","00-0701","AFD","2F","3","POINT (-97.726512 30.250488)"
"18050381","2018","May","2018-05-20T00:00:00.000","Fire","TRASH - Trash Fire","00-0501","AFD","3F","3","POINT (-97.689561 30.2648)"
"20046163","2020","May","2020-05-01T00:00:00.000","Fire","AUTO - Auto Fire","00-3111","AFD","2F","10","POINT (-97.830313 30.324665)"
"18011035","2018","Jan","2018-01-29T00:00:00.000","Fire","GRASS - Small Grass Fire","00-4004","AFD","3F","7","POINT (-97.673044 30.399162)"
"21108798","2021","Jul","2021-07-28T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0702","AFD","3F","3","POINT (-97.709495 30.260127)"
"18078725","2018","Aug","2018-08-01T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-2101","AFD","4F","10","POINT (-97.747989 30.360689)"
"18063497","2018","Jun","2018-06-23T00:00:00.000","Fire","AUTO - Auto Fire","00-3808","AFD","2F","6","POINT (-97.789477 30.447386)"
"19107413","2019","Sep","2019-09-27T00:00:00.000","Fire","GRASS - Small Grass Fire","00-1604","AFD","3F","4","POINT (-97.720395 30.325712)"
"21105734","2021","Jul","2021-07-22T00:00:00.000","Fire","TRASH - Trash Fire","00-0102","AFD","3F","9","POINT (-97.745856 30.263762)"
"21138228","2021","Sep","2021-09-24T00:00:00.000","Fire","GRASS - Small Grass Fire","00-4901","AFD","3F","5","POINT (-97.804291 30.119551)"
"19081831","2019","Jul","2019-07-28T00:00:00.000","Fire","AUTO - Auto Fire","00-4901","AFD","2F","5","POINT (-97.808477 30.109604)"
"21128248","2021","Sep","2021-09-05T00:00:00.000","Fire","GRASS - Small Grass Fire","00-2501","AFD","3F","6","POINT (-97.746443 30.419103)"
"19037322","2019","Apr","2019-04-10T00:00:00.000","Fire","TRASH - Trash Fire","00-4508","AFD","3F","6","POINT (-97.750993 30.457727)"
"18053553","2018","May","2018-05-28T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-0302","AFD","4F","9","POINT (-97.752769 30.288534)"
"20059891","2020","Jun","2020-06-07T00:00:00.000","Fire","TRASH - Trash Fire","00-2805","AFD","3F","7","POINT (-97.719649 30.405965)"
"18027064","2018","Mar","2018-03-17T00:00:00.000","Fire","TRASH - Trash Fire","00-0303","AFD","3F","9","POINT (-97.741772 30.296994)"
"20091862","2020","Aug","2020-08-27T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0801","AFD","3F","4","POINT (-97.716764 30.378418)"
"21051963","2021","Mar","2021-03-28T00:00:00.000","Fire","TRASH - Trash Fire","04-4409","AFD","3F","6","POINT (-97.724217 30.453143)"
"20015643","2020","Feb","2020-02-09T00:00:00.000","Fire","TRASH - Trash Fire","00-2801","AFD","3F","7","POINT (-97.702774 30.422688)"
"18049236","2018","May","2018-05-17T00:00:00.000","Fire","BOX -Structure Fire","00-2903","AFD","1F","5","POINT (-97.834069 30.182672)"
"20007535","2020","Jan","2020-01-19T00:00:00.000","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","POINT (-97.722846 30.234103)"
"18113225","2018","Nov","2018-11-01T00:00:00.000","Fire","TRASH - Trash Fire","00-1706","AFD","3F","3","POINT (-97.773385 30.232211)"
"21100620","2021","Jul","2021-07-11T00:00:00.000","Fire","BOX -Structure Fire","00-3701","AFD","1F","8","POINT (-97.87578 30.234695)"
"20030610","2020","Mar","2020-03-16T00:00:00.000","Fire","AUTO - Auto Fire","00-1601","AFD","2F","7","POINT (-97.736971 30.342901)"
"19051399","2019","May","2019-05-15T00:00:00.000","Fire","DUMP - Dumpster Fire","00-0801","AFD","3F","4","POINT (-97.719776 30.370409)"
"21101659","2021","Jul","2021-07-13T00:00:00.000","Fire","BOXS - Still Box Alarm","00-3502","AFD","1F","3","POINT (-97.73653 30.232048)"
"19043708","2019","Apr","2019-04-26T00:00:00.000","Fire","AUTO - Auto Fire","04-2808","AFD","2F","-","POINT (-97.694703 30.46065)"
"19105957","2019","Sep","2019-09-23T00:00:00.000","Fire","DUMP - Dumpster Fire","00-4001","AFD","3F","7","POINT (-97.657683 30.402362)"
"20017665","2020","Feb","2020-02-14T00:00:00.000","Fire","BOXL- Structure Fire","00-3605","AFD","1F","2","POINT (-97.801058 30.179513)"
"20001228","2020","Jan","2020-01-03T00:00:00.000","Fire","BRUSH - Brush Fire","00-2205","AFD","1F","3","POINT (-97.690591 30.229194)"
"18124922","2018","Dec","2018-12-03T00:00:00.000","Fire","GRASS - Small Grass Fire","00-4005","AFD","3F","7","POINT (-97.656726 30.435036)"
"20045729","2020","Apr","2020-04-30T00:00:00.000","Fire","BOXS - Still Box Alarm","00-1803","AFD","1F","1","POINT (-97.690617 30.317823)"
"21068327","2021","May","2021-05-04T00:00:00.000","Fire","ELEC - Electrical Fire","00-0301","AFD","3F","9","POINT (-97.749159 30.290146)"
"21041226","2021","Mar","2021-03-03T00:00:00.000","Fire","TRASH - Trash Fire","00-3501","AFD","3F","2","POINT (-97.749262 30.21559)"
"20134274","2020","Dec","2020-12-16T00:00:00.000","Fire","BOXS - Still Box Alarm","00-3001","AFD","1F","4","POINT (-97.693551 30.376847)"
"18118779","2018","Nov","2018-11-15T00:00:00.000","Fire","AUTO - Auto Fire","00-4002","AFD","2F","1","POINT (-97.636117 30.376925)"
"19132564","2019","Nov","2019-11-26T00:00:00.000","Fire","TRASH - Trash Fire","00-1504","AFD","3F","1","POINT (-97.696337 30.268324)"
"20042218","2020","Apr","2020-04-20T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0503","AFD","3F","1","POINT (-97.698351 30.289175)"
"19040215","2019","Apr","2019-04-17T00:00:00.000","Fire","GRASS - Small Grass Fire","00-1704","AFD","3F","8","POINT (-97.822714 30.235545)"
"20120475","2020","Nov","2020-11-10T00:00:00.000","Fire","DUMP - Dumpster Fire","00-0102","AFD","3F","9","POINT (-97.740375 30.267395)"
"21149095","2021","Oct","2021-10-18T00:00:00.000","Fire","BOXS - Still Box Alarm","00-2806","AFD","1F","7","POINT (-97.709626 30.429395)"
"19029215","2019","Mar","2019-03-20T00:00:00.000","Fire","TRASH - Trash Fire","00-3203","AFD","3F","8","POINT (-97.786929 30.257353)"
"19057553","2019","May","2019-05-30T00:00:00.000","Fire","TRASH - Trash Fire","00-0603","AFD","3F","9","POINT (-97.753554 30.238795)"
"18022715","2018","Mar","2018-03-05T00:00:00.000","Fire","AUTO - Auto Fire","00-1705","AFD","2F","5","POINT (-97.792424 30.236289)"
"20031573","2020","Mar","2020-03-19T00:00:00.000","Fire","TRASH - Trash Fire","00-1705","AFD","3F","5","POINT (-97.791694 30.231658)"
"18002459","2018","Jan","2018-01-06T00:00:00.000","Fire","BOX -Structure Fire","00-3501","AFD","1F","2","POINT (-97.717761 30.212728)"
"19003454","2019","Jan","2019-01-10T00:00:00.000","Fire","BOX -Structure Fire","00-2102","AFD","1F","10","POINT (-97.759392 30.368119)"
"21165658","2021","Nov","2021-11-23T00:00:00.000","Fire","BOXS - Still Box Alarm","00-1206","AFD","1F","9","POINT (-97.738095 30.312725)"
"20058872","2020","Jun","2020-06-05T00:00:00.000","Fire","BOX -Structure Fire","04-2606","AFD","1F","-","POINT (-97.63915 30.284059)"
"21176730","2021","Dec","2021-12-18T00:00:00.000","Fire","TRASH - Trash Fire","00-1804","AFD","3F","4","POINT (-97.686621 30.332223)"
"19131992","2019","Nov","2019-11-24T00:00:00.000","Fire","TRASH - Trash Fire","00-3404","AFD","3F","6","POINT (-97.792106 30.481267)"
"18034711","2018","Apr","2018-04-07T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-3005","AFD","4F","-","POINT (-97.68551 30.376135)"
"19031860","2019","Mar","2019-03-27T00:00:00.000","Fire","AUTO - Auto Fire","00-2202","AFD","2F","3","POINT (-97.731545 30.229971)"
"20051983","2020","May","2020-05-17T00:00:00.000","Fire","TRASH - Trash Fire","00-0604","AFD","3F","9","POINT (-97.755656 30.261818)"
"20088477","2020","Aug","2020-08-19T00:00:00.000","Fire","GRASS - Small Grass Fire","00-2903","AFD","3F","5","POINT (-97.823807 30.173724)"
"19001057","2019","Jan","2019-01-03T00:00:00.000","Fire","ELEC - Electrical Fire","00-1804","AFD","3F","4","POINT (-97.694344 30.33412)"
"21169938","2021","Dec","2021-12-03T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-4001","AFD","4F","7","POINT (-97.667154 30.398842)"
"18025620","2018","Mar","2018-03-12T00:00:00.000","Fire","TRASH - Trash Fire","00-3501","AFD","3F","2","POINT (-97.734581 30.205126)"
"18102496","2018","Oct","2018-10-04T00:00:00.000","Fire","GRASS - Small Grass Fire","00-2801","AFD","3F","7","POINT (-97.673768 30.414257)"
"20032529","2020","Mar","2020-03-22T00:00:00.000","Fire","AUTO - Auto Fire","00-2402","AFD","2F","2","POINT (-97.743034 30.194521)"
"20101065","2020","Sep","2020-09-21T00:00:00.000","Fire","BOX -Structure Fire","00-0601","AFD","1F","9","POINT (-97.740484 30.238272)"
"21043915","2021","Mar","2021-03-08T00:00:00.000","Fire","GRASS - Small Grass Fire","00-3403","AFD","3F","6","POINT (-97.806437 30.477282)"
"18127548","2018","Dec","2018-12-09T00:00:00.000","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","POINT (-97.7248 30.236186)"
"19090666","2019","Aug","2019-08-18T00:00:00.000","Fire","TRASH - Trash Fire","00-0202","AFD","3F","9","POINT (-97.747284 30.279157)"
"21077116","2021","May","2021-05-23T00:00:00.000","Fire","TRASH - Trash Fire","00-0102","AFD","3F","9","POINT (-97.745856 30.263762)"
"19037126","2019","Apr","2019-04-10T00:00:00.000","Fire","BOX -Structure Fire","00-3701","AFD","1F","8","POINT (-97.867891 30.256362)"
"21134269","2021","Sep","2021-09-17T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0702","AFD","3F","-","POINT (-97.711544 30.264201)"
"19122236","2019","Nov","2019-11-01T00:00:00.000","Fire","BOX -Structure Fire","00-4901","AFD","1F","5","POINT (-97.808579 30.109382)"
"19082640","2019","Jul","2019-07-30T00:00:00.000","Fire","TRASH - Trash Fire","00-3801","AFD","3F","6","POINT (-97.780078 30.439546)"
"19027739","2019","Mar","2019-03-16T00:00:00.000","Fire","AUTO - Auto Fire","00-4001","AFD","2F","7","POINT (-97.672815 30.41713)"
"20113808","2020","Oct","2020-10-24T00:00:00.000","Fire","BOX -Structure Fire","00-3701","AFD","1F","8","POINT (-97.872064 30.253072)"
"19053028","2019","May","2019-05-19T00:00:00.000","Fire","BOX -Structure Fire","00-2101","AFD","1F","10","POINT (-97.747989 30.360689)"
"21158082","2021","Nov","2021-11-07T00:00:00.000","Fire","TRASH - Trash Fire","00-1708","AFD","3F","3","POINT (-97.764184 30.222457)"
"20001888","2020","Jan","2020-01-05T00:00:00.000","Fire","TRASH - Trash Fire","00-0501","AFD","3F","1","POINT (-97.671971 30.278372)"
"21168164","2021","Nov","2021-11-29T00:00:00.000","Fire","BOXS - Still Box Alarm","00-4103","AFD","1F","1","POINT (-97.641563 30.329103)"
"20127353","2020","Nov","2020-11-28T00:00:00.000","Fire","BOX -Structure Fire","00-1601","AFD","1F","7","POINT (-97.73486 30.342945)"
"19070568","2019","Jun","2019-06-30T00:00:00.000","Fire","AUTO - Auto Fire","00-2304","AFD","2F","4","POINT (-97.690722 30.34089)"
"21096442","2021","Jul","2021-07-02T00:00:00.000","Fire","BOXHI - HIRISE Structure Fire","00-0102","AFD","1F","9","POINT (-97.748611 30.269682)"
"20076617","2020","Jul","2020-07-19T00:00:00.000","Fire","TRASH - Trash Fire","00-2206","AFD","3F","3","POINT (-97.70121 30.224037)"
"18085297","2018","Aug","2018-08-19T00:00:00.000","Fire","GRASS - Small Grass Fire","00-4608","AFD","3F","5","POINT (-97.833305 30.158755)"
"18030653","2018","Mar","2018-03-27T00:00:00.000","Fire","ELEC - Electrical Fire","00-1905","AFD","3F","10","POINT (-97.767301 30.323716)"
"21063013","2021","Apr","2021-04-22T00:00:00.000","Fire","AUTO - Auto Fire","00-0804","AFD","2F","7","POINT (-97.713456 30.349346)"
"20090343","2020","Aug","2020-08-24T00:00:00.000","Fire","DUMP - Dumpster Fire","00-4001","AFD","3F","7","POINT (-97.666522 30.417639)"
"18049949","2018","May","2018-05-19T00:00:00.000","Fire","GRASS - Small Grass Fire","00-2607","AFD","3F","1","POINT (-97.661021 30.305935)"
"19016618","2019","Feb","2019-02-15T00:00:00.000","Fire","TRASH - Trash Fire","00-0901","AFD","3F","9","POINT (-97.725494 30.303385)"
"21160873","2021","Nov","2021-11-13T00:00:00.000","Fire","BOXS - Still Box Alarm","00-1603","AFD","1F","4","POINT (-97.707071 30.325075)"
"18044710","2018","May","2018-05-06T00:00:00.000","Fire","DUMP - Dumpster Fire","00-0303","AFD","3F","9","POINT (-97.734104 30.2919)"
"21040758","2021","Mar","2021-03-02T00:00:00.000","Fire","AUTO - Auto Fire","00-4101","AFD","2F","1","POINT (-97.608898 30.349148)"
"21134722","2021","Sep","2021-09-18T00:00:00.000","Fire","BOXL- Structure Fire","00-3502","AFD","1F","3","POINT (-97.735607 30.217202)"
"19083370","2019","Aug","2019-08-01T00:00:00.000","Fire","BOXL- Structure Fire","00-1701","AFD","1F","3","POINT (-97.765541 30.220323)"
"19030400","2019","Mar","2019-03-23T00:00:00.000","Fire","TRASH - Trash Fire","00-1802","AFD","3F","-","POINT (-97.689421 30.306201)"
