"fiscal_year_end_date","fiscal_year","percent_fair_to_execellent","target_percent"
"2016-09-30T00:00:00.000","FY2016","0.4868","0.796"
"2017-09-30T00:00:00.000","FY2017","0.4459","0.796"
"2018-09-30T00:00:00.000","FY2018","0.5141","0.74"
"2019-09-30T00:00:00.000","FY2019","0.4703","0.73"
"2020-09-30T00:00:00.000","FY2020","0.496","0.74"
"2021-09-30T00:00:00.000","FY2021","0.5308","0.752"
