"fiscal_year","cycles_swept","cycles_swept_target","percentage_of_cycles_swept","notes","fiscal_year_start_date"
"2017","36.53","12","3.04",,"2016-10-01T00:00:00.000"
"2018","29.21","12","2.43",,"2017-10-01T00:00:00.000"
"2019","21.12","12","1.76",,"2018-10-01T00:00:00.000"
"2020","32.64","24","1.36",,"2019-10-01T00:00:00.000"
"2021","27.49","24","1.15",,"2020-10-01T00:00:00.000"
