"fiscal_year","total_renewable_energy_resources","installed_rooftop_solar_capacity_minus_losses_mw","total_renewable_energy_purchased_annually_kwh","greenchoice_sales_kwh","renewable_energy_to_fuel_charge_kwh","wind_mw","utility_scale_solar_mw","biomass_mw"
"2006-01-01T00:00:00.000","6","1","662745030","606206182","54538848",,,
"2007-01-01T00:00:00.000","5.8","1.4","649266500","634964958","14301542",,,
"2008-01-01T00:00:00.000","6.6","2.3","797480831","730868214","66162617",,,
"2009-01-01T00:00:00.000","10","3.5","1279082866","828592825","450490041",,,
"2010-01-01T00:00:00.000","10","4.6","1245230733","862764289","382466444",,,
"2011-01-01T00:00:00.000","10","6.2","1246081470","719458823","526622647",,,
"2012-01-01T00:00:00.000","15","8.3","2082217224","744442709","1337774515","633.9","30","111.8"
"2013-01-01T00:00:00.000","21","13.5","2656952000","863956193","1794979367","850.9","30","111.8"
"2014-01-01T00:00:00.000","22","22.3","2895912363","683986607","2211925756","840.9","30","111.8"
"2015-01-01T00:00:00.000","23","27.5","3126034327","637462000","2488572327","1340.90","30","111.8"
"2016-01-01T00:00:00.000","29.8","43.4","3990199296","733070000","3257129296","1345.30","187.5","107.8"
"2017-09-30T00:00:00.000","36","50.8",,"817202198",,"1253.50","305.5","107.8"
"2018-09-30T00:00:00.000",,"63",,"758586254",,"1219","465.6","107.8"
"2019-01-01T00:00:00.000",,,,,,"1219","630.0","114.0"
